date,value
2015-01-02,27.03
2015-01-09,25.87
2015-01-16,25.678
2015-01-23,26.57
2015-01-30,26.701
2015-02-06,27.5001
2015-02-13,28.2608
2015-02-20,28.8399
2015-02-27,29.345
2015-03-06,28.6999
2015-03-13,28.34
2015-03-20,30.368
2015-03-27,29.275
2015-04-03,29.63
2015-04-10,30.21
2015-04-17,31.06
2015-04-24,32.85
2015-05-01,31.82
2015-05-08,32.25
2015-05-15,32.68
2015-05-22,31.89
2015-05-29,30.65
2015-06-05,30.48
2015-06-12,30.56
2015-06-19,30.2658
2015-06-26,30.7912
2015-07-03,29.4599
2015-07-10,29.747
2015-07-17,29.22
2015-07-24,28.28
2015-07-31,28.0
2015-08-07,27.77
2015-08-14,27.3389
2015-08-21,25.03
2015-08-28,26.01
2015-09-04,25.04
2015-09-11,26.06
2015-09-18,24.9401
2015-09-25,23.5499
2015-10-02,23.41
2015-10-09,26.9351
2015-10-16,26.6101
2015-10-23,26.44
2015-10-30,25.8395
2015-11-06,26.245
2015-11-13,25.5101
2015-11-20,24.735
2015-11-27,25.05
2015-12-04,24.45
2015-12-11,24.4
2015-12-18,23.3685
2015-12-25,23.95
2016-01-01,23.3701
2016-01-08,21.1701
2016-01-15,20.865
2016-01-22,20.0501
2016-01-29,20.72
2016-02-05,20.53
2016-02-12,20.0896
2016-02-19,20.0896
2016-02-26,21.1686
2016-03-04,23.48
2016-03-11,22.74
2016-03-18,23.44
2016-03-25,23.8401
2016-04-01,24.45
2016-04-08,24.8
2016-04-15,24.8605
2016-04-22,24.8605
2016-04-29,24.76
2016-05-06,24.76
2016-05-13,24.6005
2016-05-20,24.72
2016-05-27,25.09
2016-06-03,25.29
2016-06-10,24.88
2016-06-17,24.29
2016-06-24,22.5
2016-07-01,24.4262
2016-07-08,24.0509
2016-07-15,24.3401
2016-07-22,24.6884
2016-07-29,24.7823
2016-08-05,24.7823
2016-08-12,24.9861
2016-08-19,24.8156
2016-08-26,24.6249
2016-09-02,24.6249
2016-09-09,24.959
2016-09-16,24.959
2016-09-23,25.0
2016-09-30,24.881
2016-10-07,24.881
2016-10-14,24.881
2016-10-21,23.75
2016-10-28,23.75
2016-11-04,23.4278
2016-11-11,23.4278
2016-11-18,23.4278
2016-11-25,23.4278
2016-12-02,22.4408
2016-12-09,22.3
2016-12-16,22.3
2016-12-23,22.1
2016-12-30,22.541
2017-01-06,22.71
2017-01-13,22.71
2017-01-20,23.28
2017-01-27,23.62
2017-02-03,23.62
2017-02-10,23.87
2017-02-17,23.8147
2017-02-24,23.8147
2017-03-03,24.2899
2017-03-10,23.85
2017-03-17,23.91
2017-03-24,24.1813
2017-03-31,24.1813
2017-04-07,24.4852
2017-04-14,24.5796
2017-04-21,24.5796
2017-04-28,24.17
2017-05-05,24.17
2017-05-12,24.66
2017-05-19,24.5794
2017-05-26,24.5794
2017-06-02,24.86
2017-06-09,24.86
2017-06-16,24.86
2017-06-23,24.4767
2017-06-30,24.998
2017-07-07,24.96
2017-07-14,25.64
2017-07-21,25.64
2017-07-28,26.087
2017-08-04,26.38
2017-08-11,26.15
2017-08-18,26.0
2017-08-25,25.66
2017-09-01,26.43
2017-09-08,26.8213
2017-09-15,27.19
2017-09-22,26.9137
2017-09-29,26.9137
2017-10-06,27.03
2017-10-13,27.43
2017-10-20,27.3101
2017-10-27,27.6231
2017-11-03,27.6994
2017-11-10,27.8973
2017-11-17,27.76
2017-11-24,28.0426
2017-12-01,27.75
2017-12-08,27.7
2017-12-15,27.7
2017-12-22,27.5109
2017-12-29,28.1533
2018-01-05,29.1
2018-01-12,29.42
2018-01-19,30.0421
2018-01-26,29.96
2018-02-02,30.19
2018-02-09,27.8
2018-02-16,28.62
2018-02-23,28.6867
2018-03-02,28.2
2018-03-09,28.563
2018-03-16,28.65
2018-03-23,28.03
2018-03-30,27.81
2018-04-06,27.679
2018-04-13,28.2072
2018-04-20,28.369
2018-04-27,28.0
2018-05-04,28.0514
2018-05-11,28.708
2018-05-18,28.7446
2018-05-25,28.125
2018-06-01,27.6979
2018-06-08,28.37
2018-06-15,28.1339
2018-06-22,27.0017
2018-06-29,26.75
2018-07-06,26.4883
2018-07-13,26.7259
2018-07-20,26.7259
2018-07-27,27.3588
2018-08-03,27.2148
2018-08-10,27.081
2018-08-17,26.1821
2018-08-24,26.45
2018-08-31,26.76
2018-09-07,26.76
2018-09-14,26.76
2018-09-21,26.86
2018-09-28,27.42
2018-10-05,26.6277
2018-10-12,25.4
2018-10-19,25.43
2018-10-26,24.06
2018-11-02,24.86
2018-11-09,25.21
2018-11-16,24.56
2018-11-23,23.7622
2018-11-30,24.3467
2018-12-07,23.8
2018-12-14,23.5674
2018-12-21,22.4771
2018-12-28,22.6983
2019-01-04,23.2719
2019-01-11,23.7483
2019-01-18,24.1456
2019-01-25,24.2651
2019-02-01,24.7532
2019-02-08,24.5521
2019-02-15,25.16
2019-02-22,25.4536
2019-03-01,25.6281
2019-03-08,25.23
2019-03-15,25.9233
2019-03-22,25.6189
2019-03-29,25.8688
2019-04-05,26.0129
2019-04-12,25.9938
2019-04-19,25.85
2019-04-26,25.8
2019-05-03,25.915
2019-05-10,25.56
2019-05-17,25.8951
2019-05-24,26.085
2019-05-31,25.5152
2019-06-07,26.395
2019-06-14,26.315
2019-06-21,26.8912
2019-06-28,26.5404
2019-07-05,26.6976
2019-07-12,26.5777
2019-07-19,26.6
2019-07-26,26.5062
2019-08-02,26.0376
2019-08-09,26.1027
2019-08-16,25.835
2019-08-23,25.83
2019-08-30,26.1169
2019-09-06,26.584
2019-09-13,26.37
2019-09-20,26.5351
2019-09-27,26.35
2019-10-04,26.16
2019-10-11,26.4028
2019-10-18,26.425
2019-10-25,26.5523
2019-11-01,26.9346
2019-11-08,26.6752
2019-11-15,26.875
2019-11-22,26.8458
2019-11-29,27.1797
2019-12-06,27.2066
2019-12-13,27.4257
2019-12-20,27.8248
2019-12-27,28.0
2020-01-03,27.86
