date,value
2018-03-23,24.58
2018-03-30,24.4792
2018-04-06,24.0
2018-04-13,24.5799
2018-04-20,24.7499
2018-04-27,25.0
2018-05-04,25.03
2018-05-11,25.12
2018-05-18,25.25
2018-05-25,25.63
2018-06-01,25.54
2018-06-08,26.67
2018-06-15,26.63
2018-06-22,26.78
2018-06-29,26.66
2018-07-06,26.401
2018-07-13,26.55
2018-07-20,27.08
2018-07-27,26.95
2018-08-03,26.98
2018-08-10,27.38
2018-08-17,27.6101
2018-08-24,28.1904
2018-08-31,28.3442
2018-09-07,28.3207
2018-09-14,28.491
2018-09-21,28.55
2018-09-28,28.61
2018-10-05,27.47
2018-10-12,26.5785
2018-10-19,26.6603
2018-10-26,26.12
2018-11-02,27.26
2018-11-09,27.63
2018-11-16,26.69
2018-11-23,25.64
2018-11-30,26.77
2018-12-07,25.6946
2018-12-14,25.3812
2018-12-21,23.33
2018-12-28,24.2755
2019-01-04,24.7653
2019-01-11,25.507
2019-01-18,26.0611
2019-01-25,26.0743
2019-02-01,26.1913
2019-02-08,26.3245
2019-02-15,27.0844
2019-02-22,27.2087
2019-03-01,27.2529
2019-03-08,26.6
2019-03-15,27.2158
2019-03-22,27.3241
2019-03-29,27.8996
2019-04-05,28.5235
2019-04-12,28.6902
2019-04-19,29.07
2019-04-26,29.0676
2019-05-03,29.159
2019-05-10,28.4195
2019-05-17,28.1056
2019-05-24,27.6472
2019-05-31,27.0286
2019-06-07,28.2324
2019-06-14,28.8534
2019-06-21,29.1
2019-06-28,28.9211
2019-07-05,29.4815
2019-07-12,30.07
2019-07-19,29.7503
2019-07-26,30.005
2019-08-02,28.8053
2019-08-09,28.7959
2019-08-16,28.4339
2019-08-23,28.5
2019-08-30,29.47
2019-09-06,30.175
2019-09-13,30.4013
2019-09-20,29.7949
2019-09-27,29.687
2019-10-04,29.69
2019-10-11,30.1083
2019-10-18,30.3129
2019-10-25,30.2843
2019-11-01,30.261
2019-11-08,30.419
2019-11-15,30.617
2019-11-22,30.328
2019-11-29,30.7671
2019-12-06,30.717
2019-12-13,30.9725
2019-12-20,31.174
2019-12-27,31.3886
2020-01-03,31.3313
