date,value
2015-01-02,106.53
2015-01-09,107.97
2015-01-16,109.07
2015-01-23,109.24
2015-01-30,110.55
2015-02-06,107.86
2015-02-13,107.18
2015-02-20,106.6
2015-02-27,107.64
2015-03-06,105.49
2015-03-13,106.56
2015-03-20,108.31
2015-03-27,108.12
2015-04-03,108.42
2015-04-10,108.08
2015-04-17,108.98
2015-04-24,108.63
2015-05-01,106.78
2015-05-08,106.72
2015-05-15,106.73
2015-05-22,106.16
2015-05-29,106.92
2015-06-05,104.39
2015-06-12,104.56
2015-06-19,105.75
2015-06-26,104.09
2015-07-03,104.67
2015-07-10,104.64
2015-07-17,105.06
2015-07-24,105.8
2015-07-31,106.44
2015-08-07,106.43
2015-08-14,106.26
2015-08-21,107.65
2015-08-28,106.54
2015-09-04,106.97
2015-09-11,106.58
2015-09-18,107.19
2015-09-25,106.87
2015-10-02,108.31
2015-10-09,107.44
2015-10-16,108.03
2015-10-23,107.48
2015-10-30,107.02
2015-11-06,105.37
2015-11-13,105.8
2015-11-20,105.95
2015-11-27,106.36
2015-12-04,105.77
2015-12-11,106.95
2015-12-18,106.43
2015-12-25,105.97
2016-01-01,105.59
2016-01-08,107.15
2016-01-15,107.99
2016-01-22,107.87
2016-01-29,109.11
2016-02-05,109.75
2016-02-12,110.58
2016-02-19,110.49
2016-02-26,110.39
2016-03-04,109.12
2016-03-11,108.4
2016-03-18,109.34
2016-03-25,109.19
2016-04-01,110.14
2016-04-08,110.87
2016-04-15,110.56
2016-04-22,109.41
2016-04-29,110.0
2016-05-06,110.41
2016-05-13,110.89
2016-05-20,109.63
2016-05-27,109.6
2016-06-03,110.89
2016-06-10,111.45
2016-06-17,111.72
2016-06-24,112.21
2016-07-01,113.09
2016-07-08,113.8
2016-07-15,111.92
2016-07-22,112.12
2016-07-29,113.07
2016-08-05,111.88
2016-08-12,112.38
2016-08-19,111.86
2016-08-26,111.45
2016-09-02,111.5
2016-09-09,111.0
2016-09-16,111.09
2016-09-23,111.63
2016-09-30,111.88
2016-10-07,110.64
2016-10-14,110.21
2016-10-21,110.74
2016-10-28,109.97
2016-11-04,110.51
2016-11-11,107.12
2016-11-18,105.66
2016-11-25,105.38
2016-12-02,105.18
2016-12-09,104.59
2016-12-16,103.64
2016-12-23,103.96
2016-12-30,104.82
2017-01-06,105.09
2017-01-13,105.39
2017-01-20,104.82
2017-01-27,104.72
2017-02-03,104.81
2017-02-10,105.23
2017-02-17,105.19
2017-02-24,106.08
2017-03-03,104.57
2017-03-10,103.98
2017-03-17,104.73
2017-03-24,105.48
2017-03-31,105.59
2017-04-07,105.61
2017-04-14,106.94
2017-04-21,106.91
2017-04-28,106.6
2017-05-05,105.99
2017-05-12,106.19
2017-05-19,107.05
2017-05-26,107.0
2017-06-02,107.57
2017-06-09,107.26
2017-06-16,107.71
2017-06-23,107.8
2017-06-30,106.61
2017-07-07,105.77
2017-07-14,106.4
2017-07-21,107.14
2017-07-28,106.82
2017-08-04,106.93
2017-08-11,107.55
2017-08-18,107.57
2017-08-25,107.81
2017-09-01,107.76
2017-09-08,108.64
2017-09-15,107.69
2017-09-22,106.99
2017-09-29,106.52
2017-10-06,106.12
2017-10-13,106.86
2017-10-20,106.04
2017-10-27,105.85
2017-11-03,106.37
2017-11-10,105.83
2017-11-17,106.18
2017-11-24,106.28
2017-12-01,105.93
2017-12-08,105.91
2017-12-15,106.12
2017-12-22,105.04
2017-12-29,105.57
2018-01-05,105.15
2018-01-12,104.57
2018-01-19,103.79
2018-01-26,103.77
2018-02-02,102.22
2018-02-09,102.22
2018-02-16,102.01
2018-02-23,102.13
2018-03-02,102.07
2018-03-09,101.92
2018-03-16,102.37
2018-03-23,102.7
2018-03-30,103.19
2018-04-06,102.92
2018-04-13,102.58
2018-04-20,101.57
2018-04-27,101.59
2018-05-04,101.64
2018-05-11,101.41
2018-05-18,100.75
2018-05-25,101.9
2018-06-01,101.93
2018-06-08,101.71
2018-06-15,101.83
2018-06-22,102.11
2018-06-29,102.51
2018-07-06,102.61
2018-07-13,102.61
2018-07-20,102.22
2018-07-27,101.77
2018-08-03,101.72
2018-08-10,102.37
2018-08-17,102.5
2018-08-24,102.89
2018-08-31,102.61
2018-09-07,101.91
2018-09-14,101.52
2018-09-21,101.0
2018-09-28,101.17
2018-10-05,99.72
2018-10-12,100.29
2018-10-19,100.11
2018-10-26,101.14
2018-11-02,99.97
2018-11-09,100.17
2018-11-16,101.14
2018-11-23,101.31
2018-11-30,101.78
2018-12-07,102.82
2018-12-14,102.56
2018-12-21,103.22
2018-12-28,103.81
2019-01-04,104.4
2019-01-11,104.17
2019-01-18,103.43
2019-01-25,103.83
2019-02-01,104.1
2019-02-08,104.61
2019-02-15,104.44
2019-02-22,104.6
2019-03-01,103.57
2019-03-08,104.74
2019-03-15,105.09
2019-03-22,106.34
2019-03-29,106.67
2019-04-05,105.73
2019-04-12,105.27
2019-04-19,105.32
2019-04-26,105.91
2019-05-03,105.48
2019-05-10,106.12
2019-05-17,106.73
2019-05-24,107.37
2019-05-31,108.91
2019-06-07,109.23
2019-06-14,109.32
2019-06-21,109.54
2019-06-28,110.02
2019-07-05,109.59
2019-07-12,109.05
2019-07-19,109.62
2019-07-26,109.44
2019-08-02,111.15
2019-08-09,112.13
2019-08-16,113.61
2019-08-23,113.78
2019-08-30,114.01
2019-09-06,113.4
2019-09-13,110.5
2019-09-20,112.0
2019-09-27,112.38
2019-10-04,113.81
2019-10-11,111.9
2019-10-18,111.95
2019-10-25,111.58
2019-11-01,112.13
2019-11-08,110.24
2019-11-15,111.18
2019-11-22,111.69
2019-11-29,111.57
2019-12-06,110.97
2019-12-13,111.16
2019-12-20,110.28
2019-12-27,110.69
2020-01-03,111.47
