date,value
2015-01-02,55.21
2015-01-09,54.4
2015-01-16,55.39
2015-01-23,55.82
2015-01-30,55.79
2015-02-06,56.88
2015-02-13,58.11
2015-02-20,59.29
2015-02-27,59.3
2015-03-06,58.14
2015-03-13,57.54
2015-03-20,59.77
2015-03-27,59.295
2015-04-03,59.34
2015-04-10,60.42
2015-04-17,60.1
2015-04-24,61.38
2015-05-01,61.22
2015-05-08,61.73
2015-05-15,62.5498
2015-05-22,62.11
2015-05-29,60.86
2015-06-05,60.1
2015-06-12,60.64
2015-06-19,60.43
2015-06-26,60.22
2015-07-03,58.73
2015-07-10,58.84
2015-07-17,59.72
2015-07-24,58.53
2015-07-31,59.25
2015-08-07,59.14
2015-08-14,58.73
2015-08-21,55.06
2015-08-28,55.61
2015-09-04,53.01
2015-09-11,54.71
2015-09-18,54.18
2015-09-25,52.91
2015-10-02,53.85
2015-10-09,56.09
2015-10-16,56.36
2015-10-23,57.02
2015-10-30,56.18
2015-11-06,56.03
2015-11-13,54.64
2015-11-20,56.07
2015-11-27,55.88
2015-12-04,56.11
2015-12-11,53.76
2015-12-18,53.91
2015-12-25,54.89
2016-01-01,54.38
2016-01-08,50.89
2016-01-15,49.29
2016-01-22,50.32
2016-01-29,51.28
2016-02-05,49.71
2016-02-12,48.27
2016-02-19,49.87
2016-02-26,49.95
2016-03-04,52.22
2016-03-11,53.06
2016-03-18,53.31
2016-03-25,52.27
2016-04-01,52.51
2016-04-08,52.5
2016-04-15,54.04
2016-04-22,55.13
2016-04-29,54.2
2016-05-06,53.34
2016-05-13,52.91
2016-05-20,53.3
2016-05-27,54.46
2016-06-03,54.62
2016-06-10,53.22
2016-06-17,52.55
2016-06-24,49.93
2016-07-01,51.95
2016-07-08,51.37
2016-07-15,52.9
2016-07-22,52.96
2016-07-29,54.06
2016-08-05,53.75
2016-08-12,54.76
2016-08-19,54.69
2016-08-26,54.31
2016-09-02,55.25
2016-09-09,54.53
2016-09-16,53.64
2016-09-23,55.26
2016-09-30,55.14
2016-10-07,54.61
2016-10-14,53.74
2016-10-21,54.27
2016-10-28,53.85
2016-11-04,52.81
2016-11-11,53.08
2016-11-18,52.32
2016-11-25,52.87
2016-12-02,52.77
2016-12-09,54.5
2016-12-16,53.94
2016-12-23,53.51
2016-12-30,53.63
2017-01-06,54.84
2017-01-13,55.35
2017-01-20,55.23
2017-01-27,55.69
2017-02-03,55.91
2017-02-10,55.96
2017-02-17,56.3
2017-02-24,56.18
2017-03-03,56.69
2017-03-10,56.81
2017-03-17,57.86
2017-03-24,57.85
2017-03-31,57.95
2017-04-07,57.57
2017-04-14,57.4
2017-04-21,57.82
2017-04-28,59.52
2017-05-05,61.13
2017-05-12,60.79
2017-05-19,61.58
2017-05-26,61.59
2017-06-02,62.76
2017-06-09,61.86
2017-06-16,62.01
2017-06-23,60.81
2017-06-30,60.89
2017-07-07,60.56
