date,value
2015-01-02,42.32
2015-01-09,41.36
2015-01-16,42.3
2015-01-23,42.85
2015-01-30,42.73
2015-02-06,43.51
2015-02-13,44.5
2015-02-20,45.31
2015-02-27,45.29
2015-03-06,44.14
2015-03-13,43.3
2015-03-20,45.29
2015-03-27,44.84
2015-04-03,45.02
2015-04-10,45.57
2015-04-17,45.41
2015-04-24,46.26
2015-05-01,46.45
2015-05-08,46.94
2015-05-15,47.55
2015-05-22,47.09
2015-05-29,46.2
2015-06-05,45.45
2015-06-12,45.98
2015-06-19,45.85
2015-06-26,45.59
2015-07-03,43.96
2015-07-10,44.75
2015-07-17,45.2
2015-07-24,44.18
2015-07-31,44.79
2015-08-07,44.75
2015-08-14,44.34
2015-08-21,41.65
2015-08-28,41.81
2015-09-04,40.19
2015-09-11,41.49
2015-09-18,41.05
2015-09-25,39.67
2015-10-02,40.6
2015-10-09,42.37
2015-10-16,42.44
2015-10-23,42.74
2015-10-30,42.23
2015-11-06,41.97
2015-11-13,40.57
2015-11-20,41.56
2015-11-27,41.64
2015-12-04,41.65
2015-12-11,39.81
2015-12-18,39.77
2015-12-25,40.86
2016-01-01,40.11
2016-01-08,37.52
2016-01-15,36.39
2016-01-22,37.31
2016-01-29,37.96
2016-02-05,36.9
2016-02-12,36.04
2016-02-19,37.09
2016-02-26,36.95
2016-03-04,38.4
2016-03-11,39.2
2016-03-18,39.4
2016-03-25,38.4
2016-04-01,38.77
2016-04-08,38.68
2016-04-15,39.71
2016-04-22,40.38
2016-04-29,40.31
2016-05-06,39.2
2016-05-13,38.81
2016-05-20,39.16
2016-05-27,40.31
2016-06-03,40.26
2016-06-10,38.79
2016-06-17,38.53
2016-06-24,35.87
2016-07-01,37.79
2016-07-08,36.95
2016-07-15,38.19
2016-07-22,38.23
2016-07-29,38.95
2016-08-05,38.56
2016-08-12,39.4
2016-08-19,39.41
2016-08-26,39.09
2016-09-02,39.95
2016-09-09,39.32
2016-09-16,38.47
2016-09-23,39.51
2016-09-30,39.38
2016-10-07,38.94
2016-10-14,38.21
2016-10-21,38.51
2016-10-28,38.17
2016-11-04,37.27
2016-11-11,37.67
2016-11-18,36.89
2016-11-25,37.32
2016-12-02,37.24
2016-12-09,38.77
2016-12-16,38.7
2016-12-23,38.51
2016-12-30,38.81
2017-01-06,39.41
2017-01-13,39.69
2017-01-20,39.62
2017-01-27,40.04
2017-02-03,40.09
2017-02-10,39.92
2017-02-17,40.3
2017-02-24,40.1
2017-03-03,40.76
2017-03-10,40.83
2017-03-17,41.75
2017-03-24,41.72
2017-03-31,41.85
2017-04-07,41.55
2017-04-14,41.42
2017-04-21,41.65
2017-04-28,43.35
2017-05-05,44.87
2017-05-12,44.73
2017-05-19,45.47
2017-05-26,45.32
2017-06-02,45.98
2017-06-09,45.23
2017-06-16,45.23
2017-06-23,44.23
2017-06-30,44.32
2017-07-07,44.27
2017-07-14,45.28
2017-07-21,45.24
2017-07-28,45.39
2017-08-04,45.94
2017-08-11,44.86
2017-08-18,44.84
2017-08-25,45.39
2017-09-01,45.57
2017-09-08,46.02
2017-09-15,46.47
2017-09-22,46.78
2017-09-29,46.87
2017-10-06,46.75
2017-10-13,47.34
2017-10-20,47.02
2017-10-27,46.6
2017-11-03,47.07
2017-11-10,46.41
2017-11-17,46.33
2017-11-24,47.18
2017-12-01,46.87
2017-12-08,46.91
2017-12-15,46.79
2017-12-22,47.1
2017-12-29,47.26
2018-01-05,48.62
2018-01-12,49.39
2018-01-19,49.86
2018-01-26,50.71
2018-02-02,48.71
2018-02-09,46.13
2018-02-16,47.93
2018-02-23,47.75
2018-03-02,46.33
2018-03-09,47.33
2018-03-16,47.21
2018-03-23,45.53
2018-03-30,46.63
2018-04-06,46.68
2018-04-13,47.76
2018-04-20,47.96
2018-04-27,47.82
2018-05-04,47.62
2018-05-11,48.23
2018-05-18,47.92
2018-05-25,46.98
2018-06-01,46.72
2018-06-08,46.91
2018-06-15,46.85
2018-06-22,45.23
2018-06-29,44.71
2018-07-06,45.46
2018-07-13,45.55
2018-07-20,45.7
2018-07-27,46.04
2018-08-03,45.67
2018-08-10,44.56
2018-08-17,44.17
2018-08-24,45.14
2018-08-31,44.91
2018-09-07,43.7
2018-09-14,44.5
2018-09-21,45.78
2018-09-28,45.07
2018-10-05,44.08
2018-10-12,42.31
2018-10-19,42.28
2018-10-26,40.9
2018-11-02,42.25
2018-11-09,42.25
2018-11-16,41.77
2018-11-23,40.94
2018-11-30,41.52
2018-12-07,40.04
2018-12-14,39.92
2018-12-21,38.37
2018-12-28,39.01
2019-01-04,39.79
2019-01-11,40.5
2019-01-18,41.15
2019-01-25,41.3
2019-02-01,41.67
2019-02-08,41.28
2019-02-15,42.3
2019-02-22,42.64
2019-03-01,43.2
2019-03-08,42.43
2019-03-15,43.89
2019-03-22,43.13
2019-03-29,43.39
2019-04-05,44.44
2019-04-12,44.72
2019-04-19,44.86
2019-04-26,44.58
2019-05-03,44.9
2019-05-10,43.91
2019-05-17,43.68
2019-05-24,43.54
2019-05-31,42.53
2019-06-07,44.14
2019-06-14,43.89
2019-06-21,43.91
2019-06-28,44.07
2019-07-05,44.18
2019-07-12,43.87
2019-07-19,43.66
2019-07-26,43.77
2019-08-02,42.3
2019-08-09,42.0
2019-08-16,41.37
2019-08-23,41.32
2019-08-30,42.17
2019-09-06,43.04
2019-09-13,43.73
2019-09-20,43.49
2019-09-27,43.17
2019-10-04,42.35
2019-10-11,43.51
2019-10-18,44.16
2019-10-25,44.57
2019-11-01,45.16
2019-11-08,45.31
2019-11-15,45.4
2019-11-22,45.16
2019-11-29,45.39
2019-12-06,45.59
2019-12-13,46.43
2019-12-20,46.53
2019-12-27,47.0
2020-01-03,46.82
