date,value
2015-01-02,50.2
2015-01-09,47.21
2015-01-16,46.345
2015-01-23,46.76
2015-01-30,46.09
2015-02-06,49.19
2015-02-13,50.18
2015-02-20,49.73
2015-02-27,48.65
2015-03-06,47.66
2015-03-13,45.05
2015-03-20,46.49
2015-03-27,46.69
2015-04-03,47.81
2015-04-10,50.7
2015-04-17,52.01
2015-04-24,51.61
2015-05-01,53.95
2015-05-08,53.22
2015-05-15,52.28
2015-05-22,52.06
2015-05-29,50.56
2015-06-05,51.1
2015-06-12,50.71
2015-06-19,48.82
2015-06-26,48.52
2015-07-03,46.64
2015-07-10,45.3601
2015-07-17,43.8
2015-07-24,42.46
2015-07-31,42.53
2015-08-07,41.69
2015-08-14,42.1
2015-08-21,37.94
2015-08-28,41.31
2015-09-04,40.23
2015-09-11,39.28
2015-09-18,39.22
2015-09-25,37.72
2015-10-02,37.81
2015-10-09,42.79
2015-10-16,40.78
2015-10-23,41.22
2015-10-30,40.4399
2015-11-06,41.79
2015-11-13,39.7
2015-11-20,39.76
2015-11-27,40.7
2015-12-04,39.35
2015-12-11,36.57
2015-12-18,34.76
2015-12-25,37.03
2016-01-01,35.78
2016-01-08,32.09
2016-01-15,30.27
2016-01-22,30.76
2016-01-29,32.9
2016-02-05,31.8385
2016-02-12,29.9
2016-02-19,31.38
2016-02-26,32.12
2016-03-04,36.36
2016-03-11,36.72
2016-03-18,36.48
2016-03-25,35.11
2016-04-01,34.69
2016-04-08,35.04
2016-04-15,36.35
2016-04-22,39.33
2016-04-29,40.29
2016-05-06,37.35
2016-05-13,35.51
2016-05-20,36.27
2016-05-27,37.36
2016-06-03,37.14
2016-06-10,39.31
2016-06-17,38.96
2016-06-24,38.2
2016-07-01,39.61
2016-07-08,38.27
2016-07-15,39.0
2016-07-22,38.03
2016-07-29,37.57
2016-08-05,37.8
2016-08-12,37.85
2016-08-19,39.74
2016-08-26,38.25
2016-09-02,37.51
2016-09-09,37.15
2016-09-16,36.11
2016-09-23,36.45
2016-09-30,39.55
2016-10-07,40.44
2016-10-14,40.26
2016-10-21,40.82
2016-10-28,38.76
2016-11-04,37.34
2016-11-11,39.15
2016-11-18,40.77
2016-11-25,41.7
2016-12-02,44.93
2016-12-09,46.96
2016-12-16,46.17
2016-12-23,45.92
2016-12-30,45.45
2017-01-06,47.69
2017-01-13,46.37
2017-01-20,46.87
2017-01-27,46.62
2017-02-03,46.21
2017-02-10,45.46
2017-02-17,44.4
2017-02-24,43.81
2017-03-03,43.862
2017-03-10,41.38
2017-03-17,41.68
2017-03-24,40.43
2017-03-31,42.1
2017-04-07,42.06
2017-04-14,40.77
2017-04-21,39.02
2017-04-28,38.14
2017-05-05,37.71
2017-05-12,36.93
2017-05-19,38.08
2017-05-26,35.7
2017-06-02,35.16
2017-06-09,35.36
2017-06-16,34.82
2017-06-23,33.03
2017-06-30,33.75
2017-07-07,32.59
2017-07-14,34.46
2017-07-21,33.95
2017-07-28,34.11
2017-08-04,33.54
2017-08-11,31.05
2017-08-18,30.01
2017-08-25,30.54
2017-09-01,31.07
2017-09-08,31.63
2017-09-15,34.1
2017-09-22,35.09
2017-09-29,35.35
2017-10-06,34.49
2017-10-13,34.06
2017-10-20,32.38
2017-10-27,32.14
2017-11-03,33.5
2017-11-10,34.86
2017-11-17,32.69
2017-11-24,32.8
2017-12-01,34.41
2017-12-08,33.29
2017-12-15,32.89
2017-12-22,35.55
2017-12-29,35.92
2018-01-05,38.35
2018-01-12,40.3
2018-01-19,39.15
2018-01-26,39.35
2018-02-02,36.65
2018-02-09,32.41
2018-02-16,33.27
2018-02-23,34.06
2018-03-02,32.62
2018-03-09,34.21
2018-03-16,33.6
2018-03-23,32.95
2018-03-30,32.42
2018-04-06,32.59
2018-04-13,35.86
2018-04-20,36.58
2018-04-27,37.38
2018-05-04,37.16
2018-05-11,38.39
2018-05-18,40.18
2018-05-25,37.17
2018-06-01,37.24
2018-06-08,37.24
2018-06-15,35.57
2018-06-22,36.3
2018-06-29,36.51
2018-07-06,36.43
2018-07-13,36.77
2018-07-20,35.57
2018-07-27,36.09
2018-08-03,35.96
2018-08-10,36.16
2018-08-17,34.16
2018-08-24,35.76
2018-08-31,35.25
2018-09-07,33.23
2018-09-14,34.63
2018-09-21,35.63
2018-09-28,35.71
2018-10-05,36.29
2018-10-12,34.4
2018-10-19,33.02
2018-10-26,29.92
2018-11-02,29.48
2018-11-09,29.11
2018-11-16,27.67
2018-11-23,26.07
2018-11-30,25.99
2018-12-07,24.18
2018-12-14,22.4
2018-12-21,19.78
2018-12-28,20.45
2019-01-04,22.122
2019-01-11,23.78
2019-01-18,25.02
2019-01-25,24.87
2019-02-01,24.98
2019-02-08,24.1
2019-02-15,25.76
2019-02-22,25.42
2019-03-01,25.54
2019-03-08,23.54
2019-03-15,24.96
2019-03-22,24.77
2019-03-29,25.26
2019-04-05,26.33
2019-04-12,26.31
2019-04-19,26.34
2019-04-26,25.31
2019-05-03,24.02
2019-05-10,22.83
2019-05-17,22.41
2019-05-24,20.57
2019-05-31,19.51
2019-06-07,20.14
2019-06-14,19.63
2019-06-21,21.26
2019-06-28,21.69
2019-07-05,21.4
2019-07-12,21.84
2019-07-19,20.51
2019-07-26,21.0
2019-08-02,19.53
2019-08-09,17.9612
2019-08-16,17.04
2019-08-23,16.49
2019-08-30,17.2
2019-09-06,18.1
2019-09-13,19.3608
2019-09-20,19.24
2019-09-27,17.73
2019-10-04,16.76
2019-10-11,17.19
2019-10-18,16.68
2019-10-25,17.73
2019-11-01,17.56
2019-11-08,18.18
2019-11-15,17.54
2019-11-22,17.6
2019-11-29,17.62
2019-12-06,18.5
2019-12-13,19.49
2019-12-20,19.9
2019-12-27,20.21
2020-01-03,20.57
