date,value
2015-01-02,36.31
2015-01-09,36.582
2015-01-16,37.8
2015-01-23,38.47
2015-01-30,38.62
2015-02-06,39.5001
2015-02-13,40.5
2015-02-20,40.49
2015-02-27,40.45
2015-03-06,38.749
2015-03-13,37.65
2015-03-20,39.8
2015-03-27,39.23
2015-04-03,39.084
2015-04-10,39.36
2015-04-17,39.15
2015-04-24,39.3399
2015-05-01,39.37
2015-05-08,39.48
2015-05-15,40.86
2015-05-22,39.24
2015-05-29,38.5899
2015-06-05,37.48
2015-06-12,38.286
2015-06-19,37.731
2015-06-26,37.93
2015-07-03,37.14
2015-07-10,38.07
2015-07-17,39.1
2015-07-24,38.23
2015-07-31,38.66
2015-08-07,39.33
2015-08-14,40.22
2015-08-21,38.502
2015-08-28,37.87
2015-09-04,37.18
2015-09-11,38.15
2015-09-18,38.06
2015-09-25,38.9
2015-10-02,38.5
2015-10-09,39.15
2015-10-16,39.41
2015-10-23,40.27
2015-10-30,40.42
2015-11-06,38.52
2015-11-13,37.27
2015-11-20,38.35
2015-11-27,38.05
2015-12-04,38.24
2015-12-11,37.14
2015-12-18,37.17
2015-12-25,37.6401
2016-01-01,37.59
2016-01-08,35.49
2016-01-15,34.06
2016-01-22,34.49
2016-01-29,35.94
2016-02-05,34.99
2016-02-12,33.91
2016-02-19,35.29
2016-02-26,34.1315
2016-03-04,35.21
2016-03-11,36.3599
2016-03-18,37.55
2016-03-25,36.35
2016-04-01,37.46
2016-04-08,37.9
2016-04-15,37.2
2016-04-22,36.8285
2016-04-29,38.08
2016-05-06,37.94
2016-05-13,37.52
2016-05-20,37.75
2016-05-27,38.51
2016-06-03,38.72
2016-06-10,37.94
2016-06-17,37.19
2016-06-24,34.59
2016-07-01,35.61
2016-07-08,34.53
2016-07-15,35.5801
2016-07-22,36.18
2016-07-29,37.6247
2016-08-05,37.51
2016-08-12,37.7956
2016-08-19,37.77
2016-08-26,37.41
2016-09-02,38.18
2016-09-09,37.14
2016-09-16,36.31
2016-09-23,37.2221
2016-09-30,36.87
2016-10-07,34.3554
2016-10-14,33.9
2016-10-21,34.1304
2016-10-28,33.2734
2016-11-04,33.12
2016-11-11,32.2
2016-11-18,31.57
2016-11-25,31.88
2016-12-02,31.6769
2016-12-09,32.66
2016-12-16,32.03
2016-12-23,32.8
2016-12-30,33.27
2017-01-06,33.41
2017-01-13,33.0
2017-01-20,32.6012
2017-01-27,32.6201
2017-02-03,33.2569
2017-02-10,33.6537
2017-02-17,34.06
2017-02-24,33.99
2017-03-03,33.68
2017-03-10,33.12
2017-03-17,34.18
2017-03-24,33.9607
2017-03-31,34.11
2017-04-07,34.58
2017-04-14,34.9825
2017-04-21,34.9888
2017-04-28,36.0668
2017-05-05,36.77
2017-05-12,37.3601
2017-05-19,37.47
2017-05-26,37.6362
2017-06-02,38.72
2017-06-09,38.05
2017-06-16,38.5138
2017-06-23,37.3342
2017-06-30,37.2388
2017-07-07,36.715
2017-07-14,37.89
2017-07-21,38.2699
2017-07-28,38.28
2017-08-04,38.81
2017-08-11,38.1071
2017-08-18,38.204
2017-08-25,38.3506
2017-09-01,38.66
2017-09-08,39.42
2017-09-15,39.509
2017-09-22,39.0079
2017-09-29,38.73
2017-10-06,38.1024
2017-10-13,38.98
2017-10-20,38.6
2017-10-27,37.9405
2017-11-03,38.6404
2017-11-10,38.71
2017-11-17,39.23
2017-11-24,39.6401
2017-12-01,39.6211
2017-12-08,40.3499
2017-12-15,40.2736
2017-12-22,40.19
2017-12-29,41.18
2018-01-05,41.6699
2018-01-12,41.3399
2018-01-19,41.8701
2018-01-26,42.609
2018-02-02,41.07
2018-02-09,38.76
2018-02-16,40.26
2018-02-23,40.2801
2018-03-02,39.25
2018-03-09,40.395
2018-03-16,40.3
2018-03-23,40.01
2018-03-30,40.75
2018-04-06,40.8971
2018-04-13,41.3
2018-04-20,41.56
2018-04-27,41.48
2018-05-04,41.22
2018-05-11,41.65
2018-05-18,40.83
2018-05-25,40.47
2018-06-01,40.4604
2018-06-08,41.2998
2018-06-15,41.021
2018-06-22,39.95
2018-06-29,39.76
2018-07-06,40.4016
2018-07-13,40.09
2018-07-20,40.002
2018-07-27,40.104
2018-08-03,40.2879
2018-08-10,39.2796
2018-08-17,39.35
2018-08-24,40.0527
2018-08-31,40.13
2018-09-07,39.28
2018-09-14,39.6798
2018-09-21,39.6793
2018-09-28,38.843
2018-10-05,37.2351
2018-10-12,36.6722
2018-10-19,37.6452
2018-10-26,36.67
2018-11-02,36.9401
2018-11-09,37.6012
2018-11-16,37.2
2018-11-23,36.66
2018-11-30,36.32
2018-12-07,35.9299
2018-12-14,35.75
2018-12-21,34.39
2018-12-28,34.3142
2019-01-04,34.8518
2019-01-11,35.9655
2019-01-18,36.422
2019-01-25,37.19
2019-02-01,38.0259
2019-02-08,37.3012
2019-02-15,36.8352
2019-02-22,36.9809
2019-03-01,37.22
2019-03-08,37.3
2019-03-15,38.49
2019-03-22,38.25
2019-03-29,37.9274
2019-04-05,38.0731
2019-04-12,38.04
2019-04-19,37.663
2019-04-26,37.59
2019-05-03,37.6517
2019-05-10,38.1
2019-05-17,37.83
2019-05-24,37.8378
2019-05-31,37.37
2019-06-07,37.4
2019-06-14,37.48
2019-06-21,36.61
2019-06-28,36.2023
2019-07-05,36.86
2019-07-12,37.093
2019-07-19,36.7175
2019-07-26,36.64
2019-08-02,35.92
2019-08-09,35.9
2019-08-16,35.51
2019-08-23,35.81
2019-08-30,36.4339
2019-09-06,36.2747
2019-09-13,36.43
2019-09-20,37.1
2019-09-27,37.08
2019-10-04,37.08
2019-10-11,38.4021
2019-10-18,39.7205
2019-10-25,38.9857
2019-11-01,39.4824
