date,value
2015-01-02,38.49
2015-01-09,37.09
2015-01-16,36.71
2015-01-23,37.21
2015-01-30,36.85
2015-02-06,38.84
2015-02-13,39.94
2015-02-20,39.28
2015-02-27,38.68
2015-03-06,37.45
2015-03-13,36.28
2015-03-20,37.54
2015-03-27,37.17
2015-04-03,37.9
2015-04-10,39.035
2015-04-17,39.85
2015-04-24,39.88
2015-05-01,40.49
2015-05-08,39.83
2015-05-15,39.46
2015-05-22,39.12
2015-05-29,38.2
2015-06-05,37.83
2015-06-12,37.51
2015-06-19,37.15
2015-06-26,36.86
2015-07-03,35.96
2015-07-10,35.22
2015-07-17,34.52
2015-07-24,32.84
2015-07-31,33.01
2015-08-07,32.13
2015-08-14,33.07
2015-08-21,30.51
2015-08-28,31.46
2015-09-04,30.45
2015-09-11,30.23
2015-09-18,30.44
2015-09-25,29.56
2015-10-02,30.33
2015-10-09,33.11
2015-10-16,32.93
2015-10-23,32.53
2015-10-30,32.25
2015-11-06,32.75
2015-11-13,31.06
2015-11-20,31.46
2015-11-27,31.79
2015-12-04,30.57
2015-12-11,28.6
2015-12-18,27.76
2015-12-25,28.85
2016-01-01,28.14
2016-01-08,26.12
2016-01-15,24.79
2016-01-22,25.52
2016-01-29,26.79
2016-02-05,26.08
2016-02-12,25.71
2016-02-19,26.41
2016-02-26,26.89
2016-03-04,29.01
2016-03-11,29.66
2016-03-18,30.51
2016-03-25,29.44
2016-04-01,29.3
2016-04-08,30.03
2016-04-15,30.79
2016-04-22,32.55
2016-04-29,33.12
2016-05-06,31.6
2016-05-13,31.45
2016-05-20,31.85
2016-05-27,32.31
2016-06-03,32.52
2016-06-10,32.78
2016-06-17,32.65
2016-06-24,32.43
2016-07-01,33.6
2016-07-08,33.23
2016-07-15,33.94
2016-07-22,33.38
2016-07-29,33.29
2016-08-05,33.45
2016-08-12,34.02
2016-08-19,34.68
2016-08-26,33.93
2016-09-02,33.87
2016-09-09,33.88
2016-09-16,33.05
2016-09-23,33.29
2016-09-30,34.46
2016-10-07,34.02
2016-10-14,33.76
2016-10-21,34.16
2016-10-28,33.58
2016-11-04,32.8
2016-11-11,33.3401
2016-11-18,34.325
2016-11-25,35.04
2016-12-02,36.09
2016-12-09,36.8
2016-12-16,36.58
2016-12-23,36.31
2016-12-30,35.95
2017-01-06,36.67
2017-01-13,36.09
2017-01-20,36.16
2017-01-27,36.23
2017-02-03,35.99
2017-02-10,35.89
2017-02-17,35.26
2017-02-24,34.56
2017-03-03,34.76
2017-03-10,33.83
2017-03-17,34.09
2017-03-24,33.4
2017-03-31,34.27
2017-04-07,34.42
2017-04-14,33.98
2017-04-21,33.37
2017-04-28,33.23
2017-05-05,32.93
2017-05-12,33.08
2017-05-19,33.22
2017-05-26,32.56
2017-06-02,31.94
2017-06-09,32.28
2017-06-16,32.01
2017-06-23,31.49
2017-06-30,31.66
2017-07-07,31.15
2017-07-14,32.03
2017-07-21,32.13
2017-07-28,32.75
2017-08-04,32.29
2017-08-11,31.45
2017-08-18,30.83
2017-08-25,31.22
2017-09-01,31.83
2017-09-08,31.96
2017-09-15,32.87
2017-09-22,33.42
2017-09-29,33.67
2017-10-06,33.5
2017-10-13,33.51
2017-10-20,33.17
2017-10-27,32.91
2017-11-03,33.62
2017-11-10,34.05
2017-11-17,33.11
2017-11-24,33.37
2017-12-01,34.03
2017-12-08,33.79
2017-12-15,33.62
2017-12-22,35.06
2017-12-29,35.44
2018-01-05,36.73
2018-01-12,37.67
2018-01-19,37.14
2018-01-26,37.53
2018-02-02,35.12
2018-02-09,32.49
2018-02-16,33.59
2018-02-23,33.77
2018-03-02,32.73
2018-03-09,33.4
2018-03-16,33.11
2018-03-23,32.65
2018-03-30,33.1
2018-04-06,33.05
2018-04-13,34.95
2018-04-20,35.78
2018-04-27,35.67
2018-05-04,35.9
2018-05-11,37.07
2018-05-18,37.73
2018-05-25,36.23
2018-06-01,36.86
2018-06-08,37.07
2018-06-15,36.0
2018-06-22,36.54
2018-06-29,36.86
2018-07-06,36.96
2018-07-13,37.08
2018-07-20,36.4
2018-07-27,36.92
2018-08-03,36.58
2018-08-10,36.35
2018-08-17,35.07
2018-08-24,35.98
2018-08-31,35.78
2018-09-07,34.66
2018-09-14,35.32
2018-09-21,35.97
2018-09-28,35.85
2018-10-05,36.38
2018-10-12,34.42
2018-10-19,33.73
2018-10-26,31.36
2018-11-02,31.82
2018-11-09,32.08
2018-11-16,31.63
2018-11-23,30.22
2018-11-30,30.91
2018-12-07,30.11
2018-12-14,29.13
2018-12-21,26.52
2018-12-28,26.98
2019-01-04,28.43
2019-01-11,29.62
2019-01-18,30.46
2019-01-25,30.18
2019-02-01,30.89
2019-02-08,30.02
2019-02-15,31.38
2019-02-22,31.44
2019-03-01,31.44
2019-03-08,30.26
2019-03-15,31.19
2019-03-22,31.06
2019-03-29,31.38
2019-04-05,32.07
2019-04-12,32.28
2019-04-19,31.96
2019-04-26,31.64
2019-05-03,30.72
2019-05-10,30.5
2019-05-17,30.42
2019-05-24,29.38
2019-05-31,28.49
2019-06-07,29.49
2019-06-14,29.27
2019-06-21,30.43
2019-06-28,30.7
2019-07-05,30.53
2019-07-12,30.98
2019-07-19,30.36
2019-07-26,30.015
2019-08-02,29.14
2019-08-09,28.72
2019-08-16,27.99
2019-08-23,27.56
2019-08-30,28.41
2019-09-06,28.91
2019-09-13,29.73
2019-09-20,30.21
2019-09-27,29.3
2019-10-04,28.3
2019-10-11,28.53
2019-10-18,28.32
2019-10-25,29.34
2019-11-01,29.3
2019-11-08,29.71
2019-11-15,29.58
2019-11-22,29.36
2019-11-29,29.16
2019-12-06,29.59
2019-12-13,29.98
2019-12-20,29.59
2019-12-27,29.94
2020-01-03,30.09
