date,value
2017-07-14,50.31
2017-07-21,50.51
2017-07-28,50.61
2017-08-04,50.53
2017-08-11,50.53
2017-08-18,50.71
2017-08-25,50.64
2017-09-01,50.72
2017-09-08,50.87
2017-09-15,50.55
2017-09-22,50.47
2017-09-29,50.55
2017-10-06,50.47
2017-10-13,50.66
2017-10-20,50.7
2017-10-27,50.53
2017-11-03,50.61
2017-11-10,50.66
2017-11-17,50.43
2017-11-24,50.43
2017-12-01,50.43
2017-12-08,50.57
2017-12-15,50.49
2017-12-22,50.13
2017-12-29,50.13
2018-01-05,50.34
2018-01-12,50.34
2018-01-19,50.04
2018-01-26,49.96
2018-02-02,49.91
2018-02-09,49.13
2018-02-16,49.13
2018-02-23,49.13
2018-03-02,49.13
2018-03-09,48.61
2018-03-16,48.61
2018-03-23,48.51
2018-03-30,48.93
2018-04-06,48.7
2018-04-13,48.69
2018-04-20,48.31
2018-04-27,48.18
2018-05-04,47.91
2018-05-11,47.82
2018-05-18,47.66
2018-05-25,48.1
2018-06-01,48.01
2018-06-08,47.82
2018-06-15,47.98
2018-06-22,47.68
2018-06-29,47.91
2018-07-06,48.0
2018-07-13,48.28
2018-07-20,48.15
2018-07-27,48.19
2018-08-03,48.18
2018-08-10,48.29
2018-08-17,48.39
2018-08-24,48.53
2018-08-31,48.37
2018-09-07,47.94
2018-09-14,48.07
2018-09-21,47.97
2018-09-28,48.0
2018-10-05,47.44
2018-10-12,47.53
2018-10-19,47.31
2018-10-26,47.51
2018-11-02,47.04
2018-11-09,47.16
2018-11-16,47.02
2018-11-23,47.07
2018-11-30,46.97
2018-12-07,47.04
2018-12-14,47.2
2018-12-21,47.07
2018-12-28,47.22
2019-01-04,47.38
2019-01-11,47.64
2019-01-18,47.73
2019-01-25,47.96
2019-02-01,48.32
2019-02-08,48.52
2019-02-15,48.48
2019-02-22,48.54
2019-03-01,48.3
2019-03-08,48.6
2019-03-15,48.85
2019-03-22,49.42
2019-03-29,49.64
2019-04-05,49.4
2019-04-12,49.42
2019-04-19,49.4
2019-04-26,49.62
2019-05-03,49.42
2019-05-10,49.46
2019-05-17,49.67
2019-05-24,49.81
2019-05-31,50.28
2019-06-07,50.46
2019-06-14,50.69
2019-06-21,51.28
2019-06-28,51.58
2019-07-05,51.29
2019-07-12,51.12
2019-07-19,51.39
2019-07-26,51.58
2019-08-02,51.91
2019-08-09,52.11
2019-08-16,52.68
2019-08-23,52.89
2019-08-30,53.06
2019-09-06,52.79
2019-09-13,51.71
2019-09-20,52.51
2019-09-27,52.62
2019-10-04,52.89
2019-10-11,52.3
2019-10-18,52.5
2019-10-25,52.54
2019-11-01,52.64
2019-11-08,52.06
2019-11-15,52.4
2019-11-22,52.66
2019-11-29,52.8
2019-12-06,51.54
2019-12-13,51.81
2019-12-20,51.65
2019-12-27,51.8
2020-01-03,52.02
