date,value
2015-01-02,42.22
2015-01-09,41.54
2015-01-16,42.25
2015-01-23,42.49
2015-01-30,42.27
2015-02-06,42.17
2015-02-13,42.34
2015-02-20,42.3
2015-02-27,42.3
2015-03-06,40.89
2015-03-13,40.32
2015-03-20,42.26
2015-03-27,41.97
2015-04-03,42.29
2015-04-10,42.94
2015-04-17,42.97
2015-04-24,44.08
2015-05-01,43.9
2015-05-08,43.63
2015-05-15,44.21
2015-05-22,43.81
2015-05-29,43.12
2015-06-05,41.88
2015-06-12,41.81
2015-06-19,42.04
2015-06-26,41.52
2015-07-03,41.03
2015-07-10,40.96
2015-07-17,41.14
2015-07-24,40.05
2015-07-31,40.81
2015-08-07,40.6
2015-08-14,40.98
2015-08-21,39.19
2015-08-28,38.85
2015-09-04,37.28
2015-09-11,37.9
2015-09-18,38.03
2015-09-25,37.78
2015-10-02,38.54
2015-10-09,39.91
2015-10-16,40.43
2015-10-23,40.22
2015-10-30,39.35
2015-11-06,38.36
2015-11-13,37.44
2015-11-20,38.19
2015-11-27,37.68
2015-12-04,36.95
2015-12-11,35.71
2015-12-18,35.83
2015-12-25,36.35
2016-01-01,35.935
2016-01-08,34.35
2016-01-15,33.48
2016-01-22,34.8
2016-01-29,35.89
2016-02-05,35.79
2016-02-12,34.74
2016-02-19,35.93
2016-02-26,36.03
2016-03-04,37.3
2016-03-11,38.1
2016-03-18,38.64
2016-03-25,38.31
2016-04-01,38.86
2016-04-08,38.73
2016-04-15,39.27
2016-04-22,39.33
2016-04-29,39.97
2016-05-06,39.61
2016-05-13,39.54
2016-05-20,39.5
2016-05-27,39.8
2016-06-03,40.31
2016-06-10,40.05
2016-06-17,40.06
2016-06-24,38.46
2016-07-01,40.49
2016-07-08,40.45
2016-07-15,40.92
2016-07-22,41.22
2016-07-29,41.5201
2016-08-05,41.23
2016-08-12,41.7
2016-08-19,41.65
2016-08-26,40.94
2016-09-02,41.35
2016-09-09,41.18
2016-09-16,40.7
2016-09-23,41.66
2016-09-30,41.56
2016-10-07,39.95
2016-10-14,39.93
2016-10-21,40.43
2016-10-28,40.02
2016-11-04,39.2201
2016-11-11,37.9
2016-11-18,37.96
2016-11-25,38.62
2016-12-02,38.38
2016-12-09,39.19
2016-12-16,39.58
2016-12-23,39.12
2016-12-30,39.04
2017-01-06,39.6
2017-01-13,39.79
2017-01-20,39.77
2017-01-27,39.63
2017-02-03,39.95
2017-02-10,40.37
2017-02-17,40.325
2017-02-24,40.66
2017-03-03,40.94
2017-03-10,40.78
2017-03-17,41.55
2017-03-24,42.03
2017-03-31,42.32
2017-04-07,42.37
2017-04-14,42.55
2017-04-21,42.26
2017-04-28,42.94
2017-05-05,43.64
2017-05-12,43.39
2017-05-19,43.89
2017-05-26,44.48
2017-06-02,45.27
2017-06-09,44.95
2017-06-16,45.33
2017-06-23,44.1
2017-06-30,43.97
2017-07-07,43.6
2017-07-14,44.51
2017-07-21,45.22
2017-07-28,45.0
2017-08-04,45.65
2017-08-11,44.9
2017-08-18,45.29
2017-08-25,45.94
2017-09-01,46.14
2017-09-08,46.34
2017-09-15,46.14
2017-09-22,45.57
2017-09-29,45.26
2017-10-06,45.03
2017-10-13,45.8
2017-10-20,45.78
2017-10-27,45.32
2017-11-03,45.57
2017-11-10,45.67
2017-11-17,45.18
2017-11-24,45.96
2017-12-01,46.36
2017-12-08,46.16
2017-12-15,46.04
2017-12-22,44.99
2017-12-29,45.22
2018-01-05,45.92
2018-01-12,45.41
2018-01-19,45.76
2018-01-26,46.35
2018-02-02,44.6
2018-02-09,42.61
2018-02-16,44.09
2018-02-23,43.7
2018-03-02,42.54
2018-03-09,43.49
2018-03-16,43.24
2018-03-23,41.95
2018-03-30,42.85
2018-04-06,42.76
2018-04-13,43.28
2018-04-20,43.47
2018-04-27,43.86
2018-05-04,43.99
2018-05-11,44.01
2018-05-18,42.9
2018-05-25,42.86
2018-06-01,42.79
2018-06-08,42.41
2018-06-15,43.01
2018-06-22,42.52
2018-06-29,42.95
2018-07-06,43.92
2018-07-13,43.65
2018-07-20,43.58
2018-07-27,43.67
2018-08-03,43.53
2018-08-10,43.11
2018-08-17,42.9
2018-08-24,43.07
2018-08-31,42.62
2018-09-07,42.11
2018-09-14,42.39
2018-09-21,42.69
2018-09-28,42.12
2018-10-05,41.91
2018-10-12,40.88
2018-10-19,41.57
2018-10-26,40.49
2018-11-02,40.73
2018-11-09,41.42
2018-11-16,41.16
2018-11-23,40.49
2018-11-30,41.34
2018-12-07,41.21
2018-12-14,41.3
2018-12-21,39.1
2018-12-28,39.35
2019-01-04,40.15
2019-01-11,40.95
2019-01-18,41.5
2019-01-25,42.05
2019-02-01,42.58
2019-02-08,42.51
2019-02-15,43.12
2019-02-22,43.86
2019-03-01,43.9
2019-03-08,43.77
2019-03-15,44.59
2019-03-22,44.46
2019-03-29,44.8177
2019-04-05,45.18
2019-04-12,45.17
2019-04-19,44.82
2019-04-26,45.21
2019-05-03,45.18
2019-05-10,44.9
2019-05-17,45.07
2019-05-24,45.45
2019-05-31,44.71
2019-06-07,46.26
2019-06-14,46.3
2019-06-21,46.74
2019-06-28,46.2
2019-07-05,46.69
2019-07-12,46.91
2019-07-19,46.44
2019-07-26,45.72
2019-08-02,45.21
2019-08-09,45.18
2019-08-16,44.86
2019-08-23,44.68
2019-08-30,45.46
2019-09-06,46.35
2019-09-13,45.89
2019-09-20,46.15
2019-09-27,46.24
2019-10-04,46.31
2019-10-11,46.72
2019-10-18,46.84
2019-10-25,47.04
2019-11-01,47.63
2019-11-08,46.67
2019-11-15,47.08
2019-11-22,46.9
2019-11-29,46.81
2019-12-06,46.91
2019-12-13,47.72
2019-12-20,47.97
2019-12-27,48.08
2020-01-03,47.52
