date,value
2015-01-02,61.93
2015-01-09,62.68
2015-01-16,62.65
2015-01-23,63.68
2015-01-30,64.79
2015-02-06,62.75
2015-02-13,62.03
2015-02-20,61.75
2015-02-27,62.81
2015-03-06,61.0
2015-03-13,61.43
2015-03-20,62.7
2015-03-27,62.71
2015-04-03,62.58
2015-04-10,62.56
2015-04-17,62.88
2015-04-24,62.37
2015-05-01,60.39
2015-05-08,59.8
2015-05-15,59.47
2015-05-22,58.93
2015-05-29,59.41
2015-06-05,57.62
2015-06-12,57.47
2015-06-19,57.76
2015-06-26,56.56
2015-07-03,56.81
2015-07-10,56.71
2015-07-17,57.23
2015-07-24,57.81
2015-07-31,58.0
2015-08-07,58.15
2015-08-14,57.63
2015-08-21,58.03
2015-08-28,56.87
2015-09-04,57.28
2015-09-11,56.87
2015-09-18,57.35
2015-09-25,56.78
2015-10-02,57.09
2015-10-09,57.28
2015-10-16,57.82
2015-10-23,57.95
2015-10-30,57.5
2015-11-06,56.57
2015-11-13,56.48
2015-11-20,56.73
2015-11-27,56.85
2015-12-04,56.48
2015-12-11,56.49
2015-12-18,56.4
2015-12-25,56.0
2016-01-01,55.67
2016-01-08,56.13
2016-01-15,55.81
2016-01-22,55.6
2016-01-29,55.87
2016-02-05,55.61
2016-02-12,55.9
2016-02-19,56.01
2016-02-26,56.37
2016-03-04,56.66
2016-03-11,57.45
2016-03-18,58.46
2016-03-25,58.85
2016-04-01,59.27
2016-04-08,59.93
2016-04-15,59.88
2016-04-22,60.38
2016-04-29,60.38
2016-05-06,60.4
2016-05-13,60.42
2016-05-20,59.82
2016-05-27,59.85
2016-06-03,60.83
2016-06-10,61.6
2016-06-17,61.41
2016-06-24,61.49
2016-07-01,63.3
2016-07-08,64.41
2016-07-15,63.29
2016-07-22,63.54
2016-07-29,64.08
2016-08-05,62.91
2016-08-12,64.0
2016-08-19,63.57
2016-08-26,63.56
2016-09-02,63.57
2016-09-09,62.43
2016-09-16,61.96
2016-09-23,62.78
2016-09-30,63.26
2016-10-07,62.37
2016-10-14,61.83
2016-10-21,62.67
2016-10-28,61.42
2016-11-04,61.29
2016-11-11,58.7
2016-11-18,58.01
2016-11-25,58.09
2016-12-02,57.82
2016-12-09,57.65
2016-12-16,57.52
2016-12-23,58.26
2016-12-30,58.7
2017-01-06,59.41
2017-01-13,59.4
2017-01-20,58.85
2017-01-27,58.93
2017-02-03,58.53
2017-02-10,59.13
2017-02-17,59.21
2017-02-24,59.9
2017-03-03,59.01
2017-03-10,57.95
2017-03-17,58.62
2017-03-24,59.16
2017-03-31,59.24
2017-04-07,59.18
2017-04-14,60.01
2017-04-21,60.21
