date,value
2015-01-02,101.72
2015-01-09,101.2378
2015-01-16,98.85
2015-01-23,101.9401
2015-01-30,98.15
2015-02-06,101.13
2015-02-13,105.15
2015-02-20,106.48
2015-02-27,106.37
2015-03-06,104.95
2015-03-13,102.87
2015-03-20,106.03
2015-03-27,102.98
2015-04-03,102.47
2015-04-10,104.78
2015-04-17,103.23
2015-04-24,107.46
2015-05-01,106.69
2015-05-08,106.93
2015-05-15,107.7
2015-05-22,108.23
2015-05-29,107.86
2015-06-05,107.24
2015-06-12,106.69
2015-06-19,107.18
2015-06-26,105.72
2015-07-03,104.31
2015-07-10,103.77
2015-07-17,108.75
2015-07-24,107.01
2015-07-31,107.7
2015-08-07,106.72
2015-08-14,107.54
2015-08-21,100.14
2015-08-28,102.56
2015-09-04,99.64
2015-09-11,102.46
2015-09-18,102.38
2015-09-25,100.93
2015-10-02,102.17
2015-10-09,106.04
2015-10-16,107.42
2015-10-23,111.56
2015-10-30,111.6
2015-11-06,113.94
2015-11-13,109.0
2015-11-20,113.3686
2015-11-27,113.03
2015-12-04,114.49
2015-12-11,109.79
2015-12-18,109.26
2015-12-25,111.37
2016-01-01,110.69
2016-01-08,102.36
2016-01-15,99.44
2016-01-22,101.649
2016-01-29,103.2
2016-02-05,96.75
2016-02-12,96.4
2016-02-19,101.01
2016-02-26,102.91
2016-03-04,105.93
2016-03-11,106.89
2016-03-18,108.75
2016-03-25,108.4701
2016-04-01,111.5899
2016-04-08,109.34
2016-04-15,111.06
2016-04-22,109.58
2016-04-29,107.07
2016-05-06,106.98
2016-05-13,107.43
2016-05-20,108.77
2016-05-27,112.48
2016-06-03,112.5
2016-06-10,111.8
2016-06-17,110.22
2016-06-24,107.6
2016-07-01,110.22
2016-07-08,112.3
2016-07-15,114.46
2016-07-22,116.44
2016-07-29,118.19
2016-08-05,119.82
2016-08-12,120.12
2016-08-19,120.24
2016-08-26,120.24
2016-09-02,121.55
2016-09-09,118.97
2016-09-16,121.41
2016-09-23,122.66
2016-09-30,123.61
2016-10-07,123.54
2016-10-14,122.3414
2016-10-21,123.15
2016-10-28,122.66
2016-11-04,119.57
2016-11-11,121.38
2016-11-18,123.11
2016-11-25,124.44
2016-12-02,120.46
2016-12-09,125.55
2016-12-16,125.34
2016-12-23,125.48
2016-12-30,123.81
2017-01-06,127.2
2017-01-13,128.48
2017-01-20,128.39
2017-01-27,131.3
2017-02-03,131.24
2017-02-10,133.11
2017-02-17,135.24
2017-02-24,136.18
2017-03-03,136.455
2017-03-10,137.1
2017-03-17,138.34
2017-03-24,136.69
2017-03-31,138.46
2017-04-07,137.6899
2017-04-14,135.85
2017-04-21,138.4236
2017-04-28,142.06
2017-05-05,143.917
2017-05-12,145.17
2017-05-19,144.52
2017-05-26,148.32
2017-06-02,150.32
2017-06-09,147.08
2017-06-16,145.88
2017-06-23,149.17
2017-06-30,144.64
2017-07-07,145.6
2017-07-14,150.68
2017-07-21,152.6
2017-07-28,151.81
2017-08-04,151.21
2017-08-11,149.12
2017-08-18,149.0
2017-08-25,150.25
2017-09-01,153.95
2017-09-08,152.53
2017-09-15,154.91
2017-09-22,154.42
2017-09-29,155.28
2017-10-06,158.25
2017-10-13,160.24
2017-10-20,161.26
2017-10-27,166.06
2017-11-03,168.09
2017-11-10,167.9
2017-11-17,168.25
2017-11-24,171.6
2017-12-01,167.84
2017-12-08,167.79
2017-12-15,170.39
2017-12-22,169.95
