date,value
2015-01-02,37.01
2015-01-09,36.71
2015-01-16,35.86
2015-01-23,36.28
2015-01-30,34.96
2015-02-06,36.17
2015-02-13,37.85
2015-02-20,38.43
2015-02-27,38.73
2015-03-06,38.3
2015-03-13,37.77
2015-03-20,38.56
2015-03-27,37.21
2015-04-03,37.1978
2015-04-10,38.0305
2015-04-17,37.67
2015-04-24,38.969
2015-05-01,38.6164
2015-05-08,38.87
2015-05-15,39.31
2015-05-22,39.65
2015-05-29,39.9508
2015-06-05,40.06
2015-06-12,39.9088
2015-06-19,40.22
2015-06-26,38.89
2015-07-03,38.07
2015-07-10,37.9099
2015-07-17,38.8
2015-07-24,39.04
2015-07-31,39.45
2015-08-07,38.59
2015-08-14,38.77
2015-08-21,36.52
2015-08-28,36.94
2015-09-04,36.374
2015-09-11,36.51
2015-09-18,36.49
2015-09-25,36.12
2015-10-02,36.5
2015-10-09,37.8288
2015-10-16,37.825
2015-10-23,38.4
2015-10-30,38.24
2015-11-06,38.4
2015-11-13,36.45
2015-11-20,37.8002
2015-11-27,38.19
2015-12-04,38.66
2015-12-11,36.4499
2015-12-18,36.07
2015-12-25,37.12
2016-01-01,37.08
2016-01-08,33.89
2016-01-15,32.94
2016-01-22,33.06
2016-01-29,32.84
2016-02-05,31.15
2016-02-12,31.0152
2016-02-19,33.39
2016-02-26,35.18
2016-03-04,35.57
2016-03-11,35.95
2016-03-18,36.2
2016-03-25,35.66
2016-04-01,36.43
2016-04-08,35.41
2016-04-15,35.16
2016-04-22,35.76
2016-04-29,35.57
2016-05-06,33.9199
2016-05-13,34.21
2016-05-20,34.89
2016-05-27,35.65
2016-06-03,36.54
2016-06-10,36.21
2016-06-17,36.11
2016-06-24,34.51
2016-07-01,34.78
2016-07-08,35.93
2016-07-15,36.42
2016-07-22,37.03
2016-07-29,37.15
2016-08-05,37.97
2016-08-12,38.2
2016-08-19,38.99
2016-08-26,39.06
2016-09-02,39.88
2016-09-09,39.28
2016-09-16,39.62
2016-09-23,40.55
2016-09-30,40.97
2016-10-07,41.32
2016-10-14,39.51
2016-10-21,39.88
2016-10-28,39.72
2016-11-04,40.27
2016-11-11,43.03
2016-11-18,43.57
2016-11-25,43.64
2016-12-02,42.32
2016-12-09,44.28
2016-12-16,44.13
2016-12-23,44.05
2016-12-30,43.62
2017-01-06,44.07
2017-01-13,43.96
