date,value
2015-01-02,105.15
2015-01-09,105.3
2015-01-16,105.35
2015-01-23,105.42
2015-01-30,105.46
2015-02-06,105.17
2015-02-13,105.19
2015-02-20,105.37
2015-02-27,105.36
2015-03-06,105.13
2015-03-13,105.18
2015-03-20,105.4
2015-03-27,105.43
2015-04-03,105.48
2015-04-10,105.46
2015-04-17,105.67
2015-04-24,105.69
2015-05-01,105.51
2015-05-08,105.57
2015-05-15,105.63
2015-05-22,105.5
2015-05-29,105.51
2015-06-05,105.15
2015-06-12,105.15
2015-06-19,105.27
2015-06-26,105.17
2015-07-03,105.3
2015-07-10,105.17
2015-07-17,105.15
2015-07-24,105.1
2015-07-31,105.19
2015-08-07,104.89
2015-08-14,105.01
2015-08-21,105.11
2015-08-28,105.13
2015-09-04,105.09
2015-09-11,105.02
2015-09-18,105.1
2015-09-25,105.12
2015-10-02,105.17
2015-10-09,105.15
2015-10-16,105.31
2015-10-23,105.33
2015-10-30,105.26
2015-11-06,104.97
2015-11-13,105.04
2015-11-20,104.95
2015-11-27,105.01
2015-12-04,104.84
2015-12-11,104.86
2015-12-18,104.69
2015-12-25,104.55
2016-01-01,104.6
2016-01-08,104.74
2016-01-15,104.69
2016-01-22,104.72
2016-01-29,104.79
2016-02-05,104.76
2016-02-12,104.77
2016-02-19,104.78
2016-02-26,104.86
2016-03-04,104.81
2016-03-11,104.87
2016-03-18,105.15
2016-03-25,105.18
2016-04-01,105.24
2016-04-08,105.51
2016-04-15,105.53
2016-04-22,105.56
2016-04-29,105.68
2016-05-06,105.58
2016-05-13,105.59
2016-05-20,105.4
2016-05-27,105.41
2016-06-03,105.56
2016-06-10,105.69
2016-06-17,105.74
2016-06-24,105.86
2016-07-01,106.0
2016-07-08,106.04
2016-07-15,105.86
2016-07-22,105.87
2016-07-29,105.95
2016-08-05,105.87
2016-08-12,105.94
2016-08-19,105.91
2016-08-26,105.78
2016-09-02,105.78
2016-09-09,105.68
2016-09-16,105.73
2016-09-23,105.73
2016-09-30,105.76
2016-10-07,105.5
2016-10-14,105.59
2016-10-21,105.65
2016-10-28,105.58
2016-11-04,105.58
2016-11-11,105.2
2016-11-18,104.96
2016-11-25,104.95
2016-12-02,104.91
2016-12-09,104.92
2016-12-16,104.61
2016-12-23,104.74
2016-12-30,104.94
2017-01-06,104.85
2017-01-13,105.01
2017-01-20,104.97
2017-01-27,105.07
2017-02-03,105.05
2017-02-10,105.09
2017-02-17,105.11
2017-02-24,105.32
2017-03-03,105.01
2017-03-10,104.85
2017-03-17,105.01
2017-03-24,105.16
2017-03-31,105.23
2017-04-07,105.07
2017-04-14,105.27
2017-04-21,105.34
2017-04-28,105.33
2017-05-05,105.14
2017-05-12,105.26
2017-05-19,105.36
2017-05-26,105.34
2017-06-02,105.33
2017-06-09,105.23
2017-06-16,105.28
2017-06-23,105.33
2017-06-30,105.31
2017-07-07,105.14
2017-07-14,105.35
2017-07-21,105.48
2017-07-28,105.48
2017-08-04,105.36
2017-08-11,105.4
2017-08-18,105.46
2017-08-25,105.46
2017-09-01,105.42
2017-09-08,105.56
2017-09-15,105.39
2017-09-22,105.31
2017-09-29,105.35
2017-10-06,105.16
2017-10-13,105.28
2017-10-20,105.19
2017-10-27,105.25
2017-11-03,105.0
2017-11-10,104.94
2017-11-17,104.81
2017-11-24,104.87
2017-12-01,104.66
2017-12-08,104.64
2017-12-15,104.63
2017-12-22,104.5
2017-12-29,104.54
2018-01-05,104.46
2018-01-12,104.45
2018-01-19,104.32
2018-01-26,104.34
2018-02-02,104.12
2018-02-09,104.1
2018-02-16,103.95
2018-02-23,103.94
2018-03-02,103.74
2018-03-09,103.71
2018-03-16,103.66
2018-03-23,103.7
2018-03-30,103.8
2018-04-06,103.83
2018-04-13,103.76
2018-04-20,103.59
2018-04-27,103.75
2018-05-04,103.59
2018-05-11,103.6
2018-05-18,103.6
2018-05-25,103.89
2018-06-01,103.69
2018-06-08,103.59
2018-06-15,103.59
2018-06-22,103.62
2018-06-29,103.7
2018-07-06,103.62
2018-07-13,103.67
2018-07-20,103.68
2018-07-27,103.67
2018-08-03,103.63
2018-08-10,51.97
2018-08-17,51.95
2018-08-24,52.0
2018-08-31,51.99
2018-09-07,51.8
2018-09-14,51.83
2018-09-21,51.78
2018-09-28,51.83
2018-10-05,51.59
2018-10-12,51.62
2018-10-19,51.58
2018-10-26,51.72
2018-11-02,51.51
2018-11-09,51.49
2018-11-16,51.58
2018-11-23,51.56
2018-11-30,51.51
2018-12-07,51.48
2018-12-14,51.55
2018-12-21,51.47
2018-12-28,51.63
2019-01-04,51.7
2019-01-11,51.8
2019-01-18,51.89
2019-01-25,52.0
2019-02-01,52.12
2019-02-08,52.19
2019-02-15,52.19
2019-02-22,52.3
2019-03-01,52.18
2019-03-08,52.33
2019-03-15,52.5
2019-03-22,52.73
2019-03-29,52.82
2019-04-05,52.62
2019-04-12,52.64
2019-04-19,52.62
2019-04-26,52.81
