date,value
2019-06-14,25.0261
2019-06-21,25.6315
2019-06-28,25.6484
2019-07-05,26.456
2019-07-12,26.92
2019-07-19,26.94
2019-07-26,27.4199
2019-08-02,25.9894
2019-08-09,25.616
2019-08-16,25.0672
2019-08-23,24.7908
2019-08-30,25.14
2019-09-06,25.6339
2019-09-13,25.0485
2019-09-20,25.2311
2019-09-27,24.4468
2019-10-04,25.0734
2019-10-11,25.3107
2019-10-18,24.8787
2019-10-25,25.3891
2019-11-01,26.006
2019-11-08,26.518
2019-11-15,26.9834
2019-11-22,27.1955
2019-11-29,27.3519
2019-12-06,26.8089
2019-12-13,26.8246
2019-12-20,26.9326
2019-12-27,26.998
2020-01-03,27.26
