date,value
2015-01-02,151.95
2015-01-09,155.75
2015-01-16,156.83
2015-01-23,157.485
2015-01-30,154.62
2015-02-06,158.76
2015-02-13,163.48
2015-02-20,167.59
2015-02-27,168.4
2015-03-06,169.33
2015-03-13,172.54
2015-03-20,178.85
2015-03-27,172.81
2015-04-03,170.53
2015-04-10,178.16
2015-04-17,177.41
2015-04-24,179.21
2015-05-01,170.69
2015-05-08,172.45
2015-05-15,173.07
2015-05-22,175.01
2015-05-29,177.16
2015-06-05,177.15
2015-06-12,175.44
2015-06-19,178.12
2015-06-26,177.04
2015-07-03,175.58
2015-07-10,178.77
2015-07-17,184.01
2015-07-24,179.85
2015-07-31,181.61
2015-08-07,175.91
2015-08-14,174.83
2015-08-21,167.9291
2015-08-28,169.55
2015-09-04,162.5
2015-09-11,166.091
2015-09-18,171.04
2015-09-25,153.84
2015-10-02,153.81
2015-10-09,152.73
2015-10-16,155.24
2015-10-23,150.89
2015-10-30,155.76
2015-11-06,159.22
2015-11-13,155.56
2015-11-20,160.42
2015-11-27,164.39
2015-12-04,163.53
2015-12-11,158.94
2015-12-18,161.18
2015-12-25,162.77
2016-01-01,161.69
2016-01-08,147.48
2016-01-15,144.14
2016-01-22,147.1
2016-01-29,141.78
2016-02-05,137.59
2016-02-12,133.38
2016-02-19,138.35
2016-02-26,140.16
2016-03-04,138.98
2016-03-11,142.49
2016-03-18,133.4299
2016-03-25,135.58
2016-04-01,139.16
2016-04-08,144.25
2016-04-15,143.74
2016-04-22,148.82
2016-04-29,141.16
2016-05-06,133.82
2016-05-13,134.99
2016-05-20,141.52
2016-05-27,145.35
2016-06-03,148.16
2016-06-10,145.95
2016-06-17,141.27
2016-06-24,139.01
2016-07-01,146.01
2016-07-08,149.17
2016-07-15,151.05
2016-07-22,153.26
2016-07-29,155.64
2016-08-05,156.17
2016-08-12,154.98
2016-08-19,154.24
2016-08-26,149.88
2016-09-02,147.95
2016-09-09,147.45
2016-09-16,153.34
2016-09-23,156.22
2016-09-30,149.44
2016-10-07,149.33
2016-10-14,142.84
2016-10-21,143.385
2016-10-28,138.3
2016-11-04,132.06
2016-11-11,148.14
2016-11-18,144.9
2016-11-25,144.79
2016-12-02,138.4556
2016-12-09,138.89
2016-12-16,142.29
2016-12-23,142.64
2016-12-30,141.42
2017-01-06,146.45
2017-01-13,144.96
2017-01-20,140.38
2017-01-27,139.28
2017-02-03,145.81
2017-02-10,148.7
2017-02-17,153.21
2017-02-24,153.42
2017-03-03,154.91
2017-03-10,153.58
2017-03-17,151.67
2017-03-24,149.9299
2017-03-31,150.94
2017-04-07,152.4
2017-04-14,151.06
2017-04-21,148.32
2017-04-28,153.27
2017-05-05,150.65
2017-05-12,151.76
2017-05-19,148.6
2017-05-26,150.39
2017-06-02,152.61
2017-06-09,151.84
2017-06-16,151.37
2017-06-23,159.71
2017-06-30,155.13
2017-07-07,154.75
2017-07-14,156.43
2017-07-21,158.33
2017-07-28,155.6
2017-08-04,151.97
2017-08-11,148.15
2017-08-18,147.56
2017-08-25,149.93
2017-09-01,155.15
2017-09-08,156.94
2017-09-15,156.8
2017-09-22,155.8
2017-09-29,156.36
2017-10-06,160.14
2017-10-13,157.88
2017-10-20,158.68
2017-10-27,151.85
2017-11-03,152.42
2017-11-10,150.76
2017-11-17,150.5966
2017-11-24,151.08
2017-12-01,153.85
2017-12-08,153.5
2017-12-15,155.86
2017-12-22,154.55
2017-12-29,154.38
2018-01-05,157.2191
2018-01-12,160.42
2018-01-19,160.79
2018-01-26,165.4228
2018-02-02,155.03
2018-02-09,146.75
2018-02-16,155.22
2018-02-23,153.7
2018-03-02,150.46
2018-03-09,154.1
2018-03-16,153.46
2018-03-23,144.38
2018-03-30,147.54
2018-04-06,143.47
2018-04-13,147.94
2018-04-20,147.27
2018-04-27,146.76
2018-05-04,141.93
2018-05-11,147.34
2018-05-18,149.7
2018-05-25,148.32
2018-06-01,150.53
2018-06-08,154.67
2018-06-15,155.89
