date,value
2015-01-02,118.17
2015-01-09,120.16
2015-01-16,120.17
2015-01-23,121.96
2015-01-30,118.6
2015-02-06,120.9
2015-02-13,123.33
2015-02-20,125.18
2015-02-27,127.24
2015-03-06,126.47
2015-03-13,128.64
2015-03-20,134.41
2015-03-27,132.52
2015-04-03,132.52
2015-04-10,134.46
2015-04-17,133.07
2015-04-24,135.16
2015-05-01,129.21
2015-05-08,130.62
2015-05-15,133.32
2015-05-22,136.79
2015-05-29,138.56
2015-06-05,136.86
2015-06-12,137.48
2015-06-19,142.07
2015-06-26,145.11
2015-07-03,142.41
2015-07-10,141.61
2015-07-17,142.09
2015-07-24,138.29
2015-07-31,139.98
2015-08-07,139.51
2015-08-14,139.39
2015-08-21,134.38
2015-08-28,133.86
2015-09-04,130.21
2015-09-11,133.66
2015-09-18,134.37
2015-09-25,127.9
2015-10-02,125.6111
2015-10-09,125.75
2015-10-16,127.86
2015-10-23,121.45
2015-10-30,124.24
2015-11-06,126.36
2015-11-13,120.89
2015-11-20,122.36
2015-11-27,124.46
2015-12-04,124.19
2015-12-11,121.82
2015-12-18,122.06
2015-12-25,125.44
2016-01-01,124.35
2016-01-08,118.61
2016-01-15,114.31
2016-01-22,116.25
2016-01-29,115.68
2016-02-05,110.76
2016-02-12,108.48
2016-02-19,112.3
2016-02-26,117.54
2016-03-04,118.88
2016-03-11,121.08
2016-03-18,120.24
2016-03-25,119.69
2016-04-01,122.97
2016-04-08,121.2
2016-04-15,123.74
2016-04-22,128.17
2016-04-29,126.27
2016-05-06,124.33
2016-05-13,121.73
2016-05-20,122.91
2016-05-27,124.89
2016-06-03,127.47
2016-06-10,128.1801
2016-06-17,125.91
2016-06-24,125.63
2016-07-01,127.14
2016-07-08,128.44
2016-07-15,129.21
2016-07-22,132.51
2016-07-29,128.52
2016-08-05,127.2802
2016-08-12,126.28
2016-08-19,124.86
2016-08-26,121.99
2016-09-02,123.69
2016-09-09,122.28
2016-09-16,123.07
2016-09-23,124.23
2016-09-30,124.02
2016-10-07,121.88
2016-10-14,120.06
2016-10-21,122.72
2016-10-28,116.15
2016-11-04,114.55
2016-11-11,119.35
2016-11-18,123.87
2016-11-25,126.38
2016-12-02,127.05
2016-12-09,127.57
2016-12-16,126.79
2016-12-23,127.17
2016-12-30,125.28
2017-01-06,127.88
2017-01-13,130.93
2017-01-20,129.97
2017-01-27,129.96
2017-02-03,131.29
2017-02-10,131.48
2017-02-17,132.19
2017-02-24,135.54
2017-03-03,137.21
2017-03-10,135.46
2017-03-17,134.88
2017-03-24,132.16
2017-03-31,134.09
2017-04-07,134.04
2017-04-14,134.01
2017-04-21,135.16
2017-04-28,137.44
2017-05-05,140.53
2017-05-12,141.0
2017-05-19,139.39
2017-05-26,141.01
2017-06-02,143.2
2017-06-09,144.39
2017-06-16,145.57
2017-06-23,149.1
2017-06-30,148.575
2017-07-07,148.31
2017-07-14,149.41
2017-07-21,150.34
2017-07-28,146.731
2017-08-04,145.02
2017-08-11,143.83
2017-08-18,142.9
2017-08-25,144.73
2017-09-01,147.98
2017-09-08,147.38
2017-09-15,147.88
2017-09-22,145.08
2017-09-29,147.74
2017-10-06,148.34
2017-10-13,141.93
2017-10-20,148.67
2017-10-27,150.76
2017-11-03,149.4
2017-11-10,146.8
2017-11-17,146.8
2017-11-24,149.21
2017-12-01,155.68
2017-12-08,155.73
2017-12-15,156.25
2017-12-22,157.08
2017-12-29,156.84
2018-01-05,161.288
2018-01-12,164.0
2018-01-19,167.64
2018-01-26,171.8
2018-02-02,163.55
2018-02-09,158.15
2018-02-16,162.41
2018-02-23,161.99
2018-03-02,162.32
2018-03-09,165.59
2018-03-16,163.5
2018-03-23,156.22
2018-03-30,157.9
2018-04-06,158.79
2018-04-13,160.23
2018-04-20,164.22
2018-04-27,166.02
2018-05-04,165.57
2018-05-11,168.71
2018-05-18,171.83
2018-05-25,172.92
2018-06-01,171.84
2018-06-08,176.49
2018-06-15,181.65
2018-06-22,182.3
2018-06-29,175.64
2018-07-06,180.22
2018-07-13,183.89
2018-07-20,181.86
2018-07-27,183.33
2018-08-03,187.22
2018-08-10,189.0
2018-08-17,193.22
2018-08-24,194.92
2018-08-31,196.96
2018-09-07,196.96
2018-09-14,197.16
2018-09-21,197.87
2018-09-28,199.85
2018-10-05,197.675
2018-10-12,190.95
2018-10-19,193.41
2018-10-26,185.89
2018-11-02,192.07
2018-11-09,200.26
2018-11-16,194.52
2018-11-23,189.8432
2018-11-30,200.01
2018-12-07,188.64
2018-12-14,183.0
2018-12-21,164.91
2018-12-28,163.57
