date,value
2015-01-02,4.19
2015-01-09,4.0
2015-01-16,4.0
2015-01-23,4.05
2015-01-30,4.02
2015-02-06,4.31
2015-02-13,4.13
2015-02-20,4.22
2015-02-27,3.91
2015-03-06,3.76
2015-03-13,3.85
2015-03-20,4.09
2015-03-27,3.99
2015-04-03,3.9
2015-04-10,3.72
2015-04-17,3.94
2015-04-24,4.0
2015-05-01,4.025
2015-05-08,4.07
2015-05-15,4.07
2015-05-22,4.05
2015-05-29,3.82
2015-06-05,3.92
2015-06-12,4.12
2015-06-19,4.21
2015-06-26,4.5
2015-07-03,4.66
2015-07-10,4.56
2015-07-17,4.45
2015-07-24,4.46
2015-07-31,4.4
2015-08-07,4.44
2015-08-14,4.34
2015-08-21,4.14
2015-08-28,3.89
2015-09-04,3.74
2015-09-11,4.08
2015-09-18,4.37
2015-09-25,4.14
2015-10-02,3.9
2015-10-09,4.07
2015-10-16,3.85
2015-10-23,3.84
2015-10-30,3.67
2015-11-06,3.75
2015-11-13,3.65
2015-11-20,3.77
2015-11-27,3.77
2015-12-04,3.54
2015-12-11,3.53
2015-12-18,3.35
2015-12-25,3.38
2016-01-01,3.62
2016-01-08,3.13
2016-01-15,2.93
2016-01-22,3.32
2016-01-29,3.83
2016-02-05,3.55
2016-02-12,3.2
2016-02-19,3.1
2016-02-26,3.18
2016-03-04,3.25
2016-03-11,3.7
2016-03-18,3.99
2016-03-25,3.92
2016-04-01,3.88
2016-04-08,4.08
2016-04-15,4.13
2016-04-22,4.16
2016-04-29,4.1
2016-05-06,4.15
2016-05-13,4.08
2016-05-20,3.89
2016-05-27,3.81
2016-06-03,3.74
2016-06-10,3.905
2016-06-17,3.78
2016-06-24,3.76
2016-07-01,3.75
2016-07-08,3.74
2016-07-15,3.77
2016-07-22,3.95
2016-07-29,3.79
2016-08-05,3.5
2016-08-12,3.8
2016-08-19,3.78
2016-08-26,3.8
2016-09-02,3.78
2016-09-09,3.91
2016-09-16,4.16
2016-09-23,4.18
2016-09-30,3.99
2016-10-07,3.81
2016-10-14,3.96
2016-10-21,4.0
2016-10-28,3.97
2016-11-04,3.95
2016-11-11,3.95
2016-11-18,3.94
2016-11-25,3.89
2016-12-02,3.8
2016-12-09,4.01
2016-12-16,3.92
2016-12-23,3.63
2016-12-30,3.64
2017-01-06,3.68
2017-01-13,3.55
2017-01-20,3.48
2017-01-27,3.43
2017-02-03,3.28
2017-02-10,3.25
2017-02-17,3.09
2017-02-24,3.26
2017-03-03,3.17
2017-03-10,3.13
2017-03-17,3.24
2017-03-24,3.09
2017-03-31,3.15
2017-04-07,3.12
2017-04-14,3.05
2017-04-21,3.11
2017-04-28,3.15
2017-05-05,3.28
2017-05-12,3.7
2017-05-19,3.61
2017-05-26,3.63
2017-06-02,4.1
2017-06-09,4.05
2017-06-16,3.9
2017-06-23,4.13
2017-06-30,4.11
2017-07-07,4.1
2017-07-14,4.15
2017-07-21,4.03
2017-07-28,4.07
2017-08-04,4.2
2017-08-11,3.55
2017-08-18,3.65
2017-08-25,3.78
2017-09-01,3.77
2017-09-08,3.7
2017-09-15,3.59
2017-09-22,3.75
2017-09-29,4.02
2017-10-06,4.19
2017-10-13,4.14
2017-10-20,4.1
2017-10-27,4.0
2017-11-03,4.07
2017-11-10,3.98
2017-11-17,4.0
2017-11-24,4.06
2017-12-01,4.54
2017-12-08,4.11
2017-12-15,4.48
2017-12-22,4.25
2017-12-29,4.17
2018-01-05,4.18
2018-01-12,4.16
2018-01-19,4.19
2018-01-26,4.34
2018-02-02,4.21
2018-02-09,4.13
2018-02-16,4.24
2018-02-23,4.32
2018-03-02,4.21
2018-03-09,4.34
2018-03-16,4.24
2018-03-23,3.99
2018-03-30,4.18
2018-04-06,4.19
2018-04-13,4.14
2018-04-20,4.24
2018-04-27,4.26
2018-05-04,4.22
2018-05-11,4.13
2018-05-18,4.14
2018-05-25,4.11
2018-06-01,3.91
2018-06-08,4.06
2018-06-15,3.99
2018-06-22,4.16
2018-06-29,4.1
2018-07-06,4.22
2018-07-13,4.07
2018-07-20,4.06
2018-07-27,4.06
2018-08-03,4.04
2018-08-10,4.27
2018-08-17,4.24
2018-08-24,4.3
2018-08-31,4.95
2018-09-07,5.35
2018-09-14,4.99
2018-09-21,4.79
2018-09-28,4.78
2018-10-05,4.42
2018-10-12,4.18
2018-10-19,4.11
2018-10-26,4.1
2018-11-02,4.11
2018-11-09,4.1
2018-11-16,4.27
2018-11-23,4.14
2018-11-30,4.15
2018-12-07,4.14
2018-12-14,4.17
2018-12-21,4.15
2018-12-28,4.2
2019-01-04,4.15
2019-01-11,4.21
2019-01-18,4.11
2019-01-25,4.19
2019-02-01,4.16
2019-02-08,4.14
2019-02-15,4.16
2019-02-22,4.38
2019-03-01,4.39
2019-03-08,4.33
2019-03-15,3.6
2019-03-22,3.73
2019-03-29,3.73
2019-04-05,3.73
2019-04-12,3.7
2019-04-19,3.59
2019-04-26,3.67
2019-05-03,3.54
2019-05-10,3.42
2019-05-17,3.16
2019-05-24,3.26
2019-05-31,3.11
2019-06-07,2.94
2019-06-14,3.32
2019-06-21,3.2
2019-06-28,3.16
2019-07-05,3.14
2019-07-12,2.93
2019-07-19,2.75
2019-07-26,2.75
2019-08-02,2.59
2019-08-09,2.51
2019-08-16,2.52
2019-08-23,2.51
2019-08-30,2.66
2019-09-06,2.72
2019-09-13,2.79
2019-09-20,2.73
2019-09-27,2.5
2019-10-04,2.51
2019-10-11,2.54
2019-10-18,2.315
2019-10-25,2.33
2019-11-01,2.21
2019-11-08,2.37
2019-11-15,2.43
2019-11-22,2.37
2019-11-29,2.46
2019-12-06,2.28
2019-12-13,2.3
2019-12-20,2.4
2019-12-27,2.31
2020-01-03,2.66
