date,value
2015-01-02,117.07
2015-01-09,114.24
2015-01-16,113.07
2015-01-23,114.23
2015-01-30,111.67
2015-02-06,116.55
2015-02-13,117.52
2015-02-20,117.65
2015-02-27,118.21
2015-03-06,116.1
2015-03-13,117.4
2015-03-20,120.09
2015-03-27,117.84
2015-04-03,119.26
2015-04-10,119.32
2015-04-17,118.28
2015-04-24,119.55
2015-05-01,117.31
2015-05-08,117.56
2015-05-15,118.24
2015-05-22,118.54
2015-05-29,117.62
2015-06-05,119.01
2015-06-12,119.77
2015-06-19,120.74
2015-06-26,120.74
2015-07-03,117.46
2015-07-10,116.94
2015-07-17,117.24
2015-07-24,112.97
2015-07-31,114.58
2015-08-07,112.6
2015-08-14,113.69
2015-08-21,109.23
2015-08-28,108.9199
2015-09-04,106.58
2015-09-11,107.62
2015-09-18,107.61
2015-09-25,106.2
2015-10-02,105.27
2015-10-09,111.3
2015-10-16,110.9
2015-10-23,111.81
2015-10-30,111.67
2015-11-06,114.8865
2015-11-13,109.62
2015-11-20,112.47
2015-11-27,114.6
2015-12-04,113.28
2015-12-11,107.18
2015-12-18,106.67
2015-12-25,110.32
2016-01-01,108.16
2016-01-08,100.31
2016-01-15,97.57
2016-01-22,98.64
2016-01-29,101.83
2016-02-05,98.78
2016-02-12,97.67
2016-02-19,100.98
2016-02-26,103.7762
2016-03-04,109.37
2016-03-11,110.48
2016-03-18,112.79
2016-03-25,110.25
2016-04-01,113.3
2016-04-08,110.13
2016-04-15,114.19
2016-04-22,116.1
2016-04-29,115.73
2016-05-06,114.29
2016-05-13,112.06
2016-05-20,112.5
2016-05-27,115.93
2016-06-03,117.03
2016-06-10,117.71
2016-06-17,116.5199
2016-06-24,114.55
2016-07-01,117.25
2016-07-08,118.81
2016-07-15,122.5
2016-07-22,122.54
2016-07-29,122.74
2016-08-05,123.09
2016-08-12,123.12
2016-08-19,124.08
2016-08-26,124.23
2016-09-02,125.61
2016-09-09,121.94
2016-09-16,121.61
2016-09-23,124.9
2016-09-30,124.81
2016-10-07,123.18
2016-10-14,121.38
2016-10-21,121.53
2016-10-28,119.46
2016-11-04,117.73
2016-11-11,130.62
2016-11-18,134.16
2016-11-25,138.19
2016-12-02,136.2
2016-12-09,144.6
2016-12-16,141.56
2016-12-23,141.07
2016-12-30,140.01
2017-01-06,140.45
2017-01-13,140.12
2017-01-20,138.04
2017-01-27,139.33
2017-02-03,139.63
2017-02-10,141.0
2017-02-17,141.57
2017-02-24,141.36
2017-03-03,140.67
2017-03-10,137.04
2017-03-17,139.92
2017-03-24,135.23
2017-03-31,138.65
2017-04-07,135.89
2017-04-14,134.12
2017-04-21,137.76
2017-04-28,139.36
2017-05-05,139.305
2017-05-12,137.28
2017-05-19,135.65
2017-05-26,137.18
2017-06-02,139.26
2017-06-09,141.53
2017-06-16,139.72
2017-06-23,139.01
2017-06-30,139.82
2017-07-07,139.64
2017-07-14,140.96
2017-07-21,142.18
2017-07-28,141.28
2017-08-04,139.57
2017-08-11,135.61
2017-08-18,133.13
2017-08-25,135.03
2017-09-01,138.25
2017-09-08,137.15
2017-09-15,141.0
2017-09-22,143.71
2017-09-29,148.31
2017-10-06,150.1
2017-10-13,149.02
2017-10-20,149.93
2017-10-27,150.24
2017-11-03,147.8
2017-11-10,146.61
2017-11-17,148.72
2017-11-24,151.44
2017-12-01,154.04
2017-12-08,152.64
2017-12-15,152.85
2017-12-22,154.13
2017-12-29,153.57
2018-01-05,155.55
2018-01-12,159.11
2018-01-19,159.29
2018-01-26,159.26
2018-02-02,152.83
2018-02-09,146.9
2018-02-16,153.17
2018-02-23,153.41
2018-03-02,150.53
2018-03-09,156.22
2018-03-16,156.37
2018-03-23,148.26
2018-03-30,150.84
2018-04-06,150.56
2018-04-13,153.78
2018-04-20,155.16
2018-04-27,154.92
2018-05-04,155.02
2018-05-11,159.3
2018-05-18,162.24
2018-05-25,162.17
2018-06-01,163.49
2018-06-08,167.45
2018-06-15,166.73
2018-06-22,168.12
2018-06-29,163.27
2018-07-06,168.39
2018-07-13,167.03
2018-07-20,168.13
2018-07-27,165.99
2018-08-03,167.21
2018-08-10,168.35
2018-08-17,170.21
2018-08-24,172.77
2018-08-31,172.8
2018-09-07,170.19
2018-09-14,170.38
2018-09-21,169.65
2018-09-28,166.93
2018-10-05,161.57
2018-10-12,153.5
2018-10-19,153.11
2018-10-26,148.3
2018-11-02,153.58
2018-11-09,153.94
2018-11-16,151.87
2018-11-23,148.08
2018-11-30,151.2
2018-12-07,142.09
2018-12-14,137.72
2018-12-21,126.56
2018-12-28,131.17
2019-01-04,135.99
2019-01-11,142.07
2019-01-18,145.99
2019-01-25,145.97
2019-02-01,148.2
2019-02-08,147.91
2019-02-15,154.6
2019-02-22,156.9
2019-03-01,155.01
2019-03-08,147.8
2019-03-15,149.73
2019-03-22,143.9
2019-03-29,147.54
2019-04-05,152.45
2019-04-12,153.24
2019-04-19,153.17
2019-04-26,153.64
2019-05-03,156.08
2019-05-10,152.24
2019-05-17,147.05
2019-05-24,143.76
2019-05-31,138.55
2019-06-07,143.52
2019-06-14,144.38
2019-06-21,145.34
2019-06-28,148.62
2019-07-05,149.48
2019-07-12,148.41
2019-07-19,146.07
2019-07-26,150.28
2019-08-02,145.77
2019-08-09,144.56
2019-08-16,142.4
2019-08-23,138.93
2019-08-30,142.81
2019-09-06,145.08
2019-09-13,154.61
2019-09-20,151.81
2019-09-27,150.16
2019-10-04,146.95
2019-10-11,147.62
2019-10-18,149.99
2019-10-25,153.76
2019-11-01,155.84
2019-11-08,157.96
2019-11-15,156.71
2019-11-22,154.46
2019-11-29,157.35
2019-12-06,158.94
2019-12-13,159.39
2019-12-20,160.92
2019-12-27,160.22
2020-01-03,160.42
