date,value
2015-01-02,30.94
2015-01-09,31.71
2015-01-16,31.64
2015-01-23,32.02
2015-01-30,30.1
2015-02-06,30.94
2015-02-13,31.6
2015-02-20,31.36
2015-02-27,31.79
2015-03-06,29.3
2015-03-13,28.04
2015-03-20,29.57
2015-03-27,28.82
2015-04-03,30.75
2015-04-10,31.29
2015-04-17,31.44
2015-04-24,32.96
2015-05-01,32.29
2015-05-08,32.91
2015-05-15,33.01
2015-05-22,30.99
2015-05-29,29.86
2015-06-05,29.69
2015-06-12,30.19
2015-06-19,30.42
2015-06-26,30.2
2015-07-03,29.88
2015-07-10,29.31
2015-07-17,29.0
2015-07-24,26.77
2015-07-31,27.13
2015-08-07,26.16
2015-08-14,25.36
2015-08-21,23.91
2015-08-28,24.7
2015-09-04,23.29
2015-09-11,23.22
2015-09-18,23.48
2015-09-25,22.36
2015-10-02,23.33
2015-10-09,25.05
2015-10-16,24.22
2015-10-23,24.25
2015-10-30,23.69
2015-11-06,24.1
2015-11-13,23.22
2015-11-20,24.7
2015-11-27,23.33
2015-12-04,23.13
2015-12-11,21.9
2015-12-18,21.8
2015-12-25,21.94
2016-01-01,21.19
2016-01-08,19.34
2016-01-15,18.81
2016-01-22,19.0
2016-01-29,20.52
2016-02-05,20.38
2016-02-12,19.74
2016-02-19,20.45
2016-02-26,20.51
2016-03-04,24.02
2016-03-11,24.55
2016-03-18,25.15
2016-03-25,24.32
2016-04-01,25.42
2016-04-08,24.63
2016-04-15,26.11
2016-04-22,26.1
2016-04-29,27.13
2016-05-06,25.58
2016-05-13,25.15
2016-05-20,24.41
2016-05-27,24.09
2016-06-03,24.67
2016-06-10,24.51
2016-06-17,24.64
2016-06-24,24.46
2016-07-01,26.51
2016-07-08,26.35
2016-07-15,27.43
2016-07-22,28.04
2016-07-29,27.82
2016-08-05,28.4
2016-08-12,29.11
2016-08-19,29.29
2016-08-26,28.1
2016-09-02,28.88
2016-09-09,27.71
2016-09-16,27.03
2016-09-23,27.98
2016-09-30,28.04
2016-10-07,29.11
2016-10-14,29.55
2016-10-21,31.09
2016-10-28,30.78
2016-11-04,29.58
2016-11-11,27.32
2016-11-18,27.15
2016-11-25,27.8
2016-12-02,27.32
2016-12-09,28.4
2016-12-16,27.03
2016-12-23,27.09
2016-12-30,27.58
2017-01-06,28.5
2017-01-13,29.23
2017-01-20,29.79
2017-01-27,30.81
2017-02-03,30.74
2017-02-10,31.42
2017-02-17,31.83
2017-02-24,31.62
2017-03-03,31.79
2017-03-10,30.73
2017-03-17,31.39
2017-03-24,31.49
2017-03-31,31.71
2017-04-07,31.78
2017-04-14,31.03
2017-04-21,31.07
2017-04-28,31.38
2017-05-05,31.49
2017-05-12,32.72
2017-05-19,30.44
2017-05-26,30.85
2017-06-02,30.31
2017-06-09,30.34
2017-06-16,30.3
2017-06-23,29.52
2017-06-30,30.28
2017-07-07,30.42
2017-07-14,32.52
2017-07-21,32.53
2017-07-28,32.76
2017-08-04,33.32
2017-08-11,33.03
2017-08-18,33.87
2017-08-25,34.72
2017-09-01,35.0
2017-09-08,35.25
2017-09-15,35.99
2017-09-22,35.93
2017-09-29,35.09
2017-10-06,35.54
2017-10-13,35.77
2017-10-20,35.28
2017-10-27,34.71
2017-11-03,33.48
2017-11-10,33.15
2017-11-17,33.71
2017-11-24,34.0
2017-12-01,32.89
2017-12-08,32.6
2017-12-15,32.66
2017-12-22,33.45
2017-12-29,34.17
2018-01-05,36.1
2018-01-12,36.32
2018-01-19,37.42
2018-01-26,39.5
2018-02-02,37.96
2018-02-09,36.28
2018-02-16,38.08
2018-02-23,38.85
2018-03-02,37.77
2018-03-09,38.33
2018-03-16,37.29
2018-03-23,36.67
2018-03-30,37.57
2018-04-06,37.14
2018-04-13,37.12
2018-04-20,37.4
2018-04-27,37.18
2018-05-04,35.12
2018-05-11,35.42
2018-05-18,33.54
2018-05-25,32.59
2018-06-01,31.49
2018-06-08,30.73
2018-06-15,29.82
2018-06-22,29.29
2018-06-29,29.59
2018-07-06,30.8
2018-07-13,31.14
2018-07-20,31.99
2018-07-27,33.14
2018-08-03,33.47
2018-08-10,30.98
2018-08-17,30.48
2018-08-24,30.13
2018-08-31,30.18
2018-09-07,29.73
2018-09-14,29.7
2018-09-21,31.36
2018-09-28,31.39
2018-10-05,32.59
2018-10-12,33.49
2018-10-19,33.32
2018-10-26,33.49
2018-11-02,34.12
2018-11-09,32.54
2018-11-16,32.88
2018-11-23,31.39
2018-11-30,32.12
2018-12-07,31.5
2018-12-14,30.96
2018-12-21,29.78
2018-12-28,30.7
2019-01-04,33.06
2019-01-11,34.05
2019-01-18,34.61
2019-01-25,34.58
2019-02-01,35.31
2019-02-08,33.96
2019-02-15,34.9
2019-02-22,35.13
2019-03-01,33.66
2019-03-08,33.02
2019-03-15,34.63
2019-03-22,32.78
2019-03-29,33.23
2019-04-05,34.49
2019-04-12,33.38
2019-04-19,33.69
2019-04-26,33.66
2019-05-03,33.29
2019-05-10,32.4
2019-05-17,30.31
2019-05-24,31.42
2019-05-31,32.38
2019-06-07,33.15
2019-06-14,33.04
2019-06-21,34.2
2019-06-28,33.74
2019-07-05,34.53
2019-07-12,34.89
2019-07-19,34.37
2019-07-26,33.79
2019-08-02,32.2
2019-08-09,32.17
2019-08-16,30.58
2019-08-23,29.47
2019-08-30,30.61
2019-09-06,31.7
2019-09-13,32.06
2019-09-20,31.9
2019-09-27,31.79
2019-10-04,31.76
2019-10-11,32.06
2019-10-18,32.16
2019-10-25,33.48
2019-11-01,33.71
2019-11-08,32.66
2019-11-15,32.45
2019-11-22,32.39
2019-11-29,31.52
2019-12-06,32.73
2019-12-13,33.71
2019-12-20,33.78
2019-12-27,34.15
2020-01-03,34.48
