date,value
2015-01-02,64.0
2015-01-09,64.73
2015-01-16,65.38
2015-01-23,66.0
2015-01-30,67.37
2015-02-06,65.16
2015-02-13,64.37
2015-02-20,63.72
2015-02-27,64.87
2015-03-06,62.75
2015-03-13,63.62
2015-03-20,65.04
2015-03-27,65.02
2015-04-03,65.08
2015-04-10,65.02
2015-04-17,65.25
2015-04-24,64.55
2015-05-01,62.38
2015-05-08,61.47
2015-05-15,61.36
2015-05-22,60.85
2015-05-29,61.35
2015-06-05,59.47
2015-06-12,59.4
2015-06-19,59.81
2015-06-26,58.48
2015-07-03,58.72
2015-07-10,58.61
2015-07-17,59.66
2015-07-24,60.3
2015-07-31,60.75
2015-08-07,60.76
2015-08-14,60.41
2015-08-21,60.94
2015-08-28,59.83
2015-09-04,59.99
2015-09-11,59.48
2015-09-18,59.93
2015-09-25,59.34
2015-10-02,60.28
2015-10-09,60.08
2015-10-16,60.59
2015-10-23,60.55
2015-10-30,60.14
2015-11-06,59.07
2015-11-13,58.94
2015-11-20,59.47
2015-11-27,59.62
2015-12-04,59.35
2015-12-11,59.66
2015-12-18,59.45
2015-12-25,59.07
2016-01-01,58.45
2016-01-08,59.4
2016-01-15,59.43
2016-01-22,59.22
2016-01-29,59.76
2016-02-05,59.99
2016-02-12,60.21
2016-02-19,60.7
2016-02-26,60.89
2016-03-04,60.52
2016-03-11,60.75
2016-03-18,61.99
2016-03-25,62.14
2016-04-01,62.66
2016-04-08,63.21
2016-04-15,63.39
2016-04-22,62.91
2016-04-29,63.35
2016-05-06,63.55
2016-05-13,63.92
2016-05-20,62.86
2016-05-27,63.2
2016-06-03,64.13
2016-06-10,64.82
2016-06-17,64.84
2016-06-24,65.18
2016-07-01,67.06
2016-07-08,68.49
2016-07-15,66.7
2016-07-22,66.91
2016-07-29,67.41
2016-08-05,66.05
2016-08-12,67.07
2016-08-19,67.03
2016-08-26,67.03
2016-09-02,66.9
2016-09-09,65.72
2016-09-16,65.42
2016-09-23,66.16
2016-09-30,66.61
2016-10-07,65.48
2016-10-14,64.82
2016-10-21,65.5
2016-10-28,64.12
2016-11-04,64.13
2016-11-11,60.96
2016-11-18,60.21
2016-11-25,60.41
2016-12-02,59.86
2016-12-09,59.69
2016-12-16,59.39
2016-12-23,59.88
2016-12-30,60.65
2017-01-06,61.31
2017-01-13,61.42
2017-01-20,60.98
2017-01-27,60.82
2017-02-03,60.65
2017-02-10,61.32
2017-02-17,61.16
2017-02-24,61.97
2017-03-03,61.03
2017-03-10,60.09
2017-03-17,60.78
2017-03-24,61.37
2017-03-31,61.59
2017-04-07,61.29
2017-04-14,62.61
2017-04-21,62.63
2017-04-28,62.39
2017-05-05,61.85
2017-05-12,61.96
