date,value
2015-01-02,30.4
2015-01-09,30.5
2015-01-16,32.16
2015-01-23,33.03
2015-01-30,32.28
2015-02-06,31.92
2015-02-13,32.71
2015-02-20,32.8
2015-02-27,33.17
2015-03-06,32.48
2015-03-13,31.45
2015-03-20,31.56
2015-03-27,30.64
2015-04-03,32.0
2015-04-10,32.49
2015-04-17,31.47
2015-04-24,29.93
2015-05-01,29.6
2015-05-08,29.82
2015-05-15,30.0
2015-05-22,30.5
2015-05-29,30.39
2015-06-05,28.92
2015-06-12,28.48
2015-06-19,29.78
2015-06-26,30.24
2015-07-03,30.42
2015-07-10,30.3
2015-07-17,31.17
2015-07-24,30.31
2015-07-31,30.66
2015-08-07,30.71
2015-08-14,30.13
2015-08-21,27.85
2015-08-28,27.63
2015-09-04,26.03
2015-09-11,27.12
2015-09-18,27.5
2015-09-25,27.2
2015-10-02,28.22
2015-10-09,29.12
2015-10-16,29.42
2015-10-23,29.51
2015-10-30,27.98
2015-11-06,27.65
2015-11-13,26.62
2015-11-20,27.19
2015-11-27,27.03
2015-12-04,26.92
2015-12-11,25.585
2015-12-18,26.73
2015-12-25,27.245
2016-01-01,27.19
2016-01-08,25.55
2016-01-15,24.94
2016-01-22,25.22
2016-01-29,25.79
2016-02-05,25.14
2016-02-12,23.65
2016-02-19,23.93
2016-02-26,23.31
2016-03-04,25.9
2016-03-11,25.9
2016-03-18,26.32
2016-03-25,26.39
2016-04-01,26.89
2016-04-08,25.94
2016-04-15,27.25
2016-04-22,27.16
2016-04-29,27.04
2016-05-06,26.59
2016-05-13,26.48
2016-05-20,26.35
2016-05-27,27.98
2016-06-03,28.37
2016-06-10,28.0
2016-06-17,28.05
2016-06-24,27.15
2016-07-01,28.65
2016-07-08,28.74
2016-07-15,29.315
2016-07-22,29.32
2016-07-29,29.78
2016-08-05,29.95
2016-08-12,29.86
2016-08-19,29.81
2016-08-26,29.29
2016-09-02,30.64
2016-09-09,30.04
2016-09-16,30.05
2016-09-23,30.35
2016-09-30,29.8
2016-10-07,30.02
2016-10-14,29.567
2016-10-21,29.87
2016-10-28,29.63
2016-11-04,28.9
2016-11-11,27.74
2016-11-18,27.19
2016-11-25,27.26
2016-12-02,27.2
2016-12-09,28.05
2016-12-16,27.46
2016-12-23,26.97
2016-12-30,27.34
2017-01-06,27.71
2017-01-13,28.39
2017-01-20,28.06
2017-01-27,29.11
2017-02-03,30.03
2017-02-10,30.26
2017-02-17,30.05
2017-02-24,30.525
2017-03-03,30.54
2017-03-10,30.81
2017-03-17,31.92
2017-03-24,31.84
2017-03-31,32.33
2017-04-07,32.75
2017-04-14,32.35
2017-04-21,32.05
2017-04-28,33.04
2017-05-05,33.11
2017-05-12,33.54
2017-05-19,33.52
2017-05-26,33.88
2017-06-02,34.46
2017-06-09,34.22
2017-06-16,34.06
2017-06-23,34.01
2017-06-30,33.61
2017-07-07,34.13
2017-07-14,35.43
2017-07-21,35.11
2017-07-28,35.62
2017-08-04,36.0
2017-08-11,34.4
2017-08-18,34.98
2017-08-25,35.32
2017-09-01,35.67
2017-09-08,35.27
2017-09-15,35.66
2017-09-22,34.78
2017-09-29,34.1
2017-10-06,34.43
2017-10-13,35.61
2017-10-20,35.31
2017-10-27,36.08
2017-11-03,36.52
2017-11-10,35.75
2017-11-17,35.93
2017-11-24,36.5
2017-12-01,35.28
2017-12-08,36.08
2017-12-15,36.58
2017-12-22,37.05
2017-12-29,37.12
2018-01-05,37.76
2018-01-12,37.88
2018-01-19,38.44
2018-01-26,39.29
2018-02-02,37.1
2018-02-09,36.56
2018-02-16,36.58
2018-02-23,36.55
2018-03-02,35.78
2018-03-09,35.91
2018-03-16,35.17
2018-03-23,34.23
2018-03-30,35.36
2018-04-06,35.39
2018-04-13,35.82
