date,value
2015-01-02,31.9
2015-01-09,33.56
2015-01-16,34.57
2015-01-23,35.5
2015-01-30,34.08
2015-02-06,35.77
2015-02-13,36.6
2015-02-20,36.92
2015-02-27,36.71
2015-03-06,35.24
2015-03-13,35.21
2015-03-20,36.11
2015-03-27,35.5
2015-04-03,34.64
2015-04-10,36.31
2015-04-17,35.1
2015-04-24,31.81
2015-05-01,31.19
2015-05-08,31.22
2015-05-15,31.07
2015-05-22,31.83
2015-05-29,31.87
2015-06-05,31.81
2015-06-12,31.02
2015-06-19,31.9
2015-06-26,16.17
2015-07-03,15.96
2015-07-10,15.48
2015-07-17,15.84
2015-07-24,17.23
2015-07-31,16.91
2015-08-07,17.53
2015-08-14,17.97
2015-08-21,17.05
2015-08-28,17.51
2015-09-04,16.92
2015-09-11,17.69
2015-09-18,17.42
2015-09-25,17.81
2015-10-02,18.89
2015-10-09,19.15
2015-10-16,18.04
2015-10-23,18.62
2015-10-30,18.16
2015-11-06,17.9
2015-11-13,17.02
2015-11-20,16.21
2015-11-27,16.47
2015-12-04,16.37
2015-12-11,16.23
2015-12-18,16.35
2015-12-25,16.85
2016-01-01,16.75
2016-01-08,16.17
2016-01-15,17.32
2016-01-22,17.9
2016-01-29,17.91
2016-02-05,17.35
2016-02-12,16.1
2016-02-19,16.39
2016-02-26,16.89
2016-03-04,18.44
2016-03-11,17.96
2016-03-18,18.52
2016-03-25,18.81
2016-04-01,19.25
2016-04-08,18.05
2016-04-15,20.0
2016-04-22,19.08
2016-04-29,18.8
2016-05-06,18.4
2016-05-13,18.55
2016-05-20,18.46
2016-05-27,19.49
2016-06-03,19.61
2016-06-10,18.08
2016-06-17,18.27
2016-06-24,18.08
2016-07-01,17.91
2016-07-08,17.84
2016-07-15,16.81
2016-07-22,16.57
2016-07-29,16.43
2016-08-05,16.25
2016-08-12,16.14
2016-08-19,15.9
2016-08-26,15.9
2016-09-02,16.3
2016-09-09,16.07
2016-09-16,16.07
2016-09-23,15.96
2016-09-30,15.78
2016-10-07,15.6
2016-10-14,15.66
2016-10-21,15.87
2016-10-28,15.29
2016-11-04,15.04
2016-11-11,14.51
2016-11-18,13.89
2016-11-25,14.53
2016-12-02,14.31
2016-12-09,14.74
2016-12-16,14.9
2016-12-23,14.75
2016-12-30,14.83
2017-01-06,14.82
2017-01-13,14.5
2017-01-20,14.36
2017-01-27,13.94
2017-02-03,13.88
2017-02-10,14.5
2017-02-17,14.88
2017-02-24,15.21
2017-03-03,15.38
2017-03-10,15.5
2017-03-17,15.34
2017-03-24,15.67
2017-03-31,15.8
2017-04-07,15.27
2017-04-14,14.48
2017-04-21,14.48
2017-04-28,14.56
2017-05-05,14.8
2017-05-12,15.28
2017-05-19,15.16
2017-05-26,15.53
2017-06-02,15.18
2017-06-09,14.95
2017-06-16,14.67
2017-06-23,14.85
2017-06-30,15.02
2017-07-07,15.04
2017-07-14,15.67
2017-07-21,15.68
2017-07-28,15.71
2017-08-04,15.67
2017-08-11,15.49
2017-08-18,14.79
2017-08-25,15.15
2017-09-01,14.84
2017-09-08,14.53
2017-09-15,14.65
2017-09-22,14.59
2017-09-29,14.59
2017-10-06,14.63
2017-10-13,14.71
2017-10-20,14.56
2017-10-27,15.0
2017-11-03,14.63
2017-11-10,15.01
2017-11-17,15.19
2017-11-24,15.61
2017-12-01,15.06
2017-12-08,15.68
2017-12-15,16.06
2017-12-22,16.1
2017-12-29,16.22
2018-01-05,16.35
2018-01-12,16.81
2018-01-19,17.99
2018-01-26,18.5
2018-02-02,17.75
