date,value
2015-01-02,76.06
2015-01-09,75.17
2015-01-16,75.2
2015-01-23,76.24
2015-01-30,74.32
2015-02-06,76.26
2015-02-13,78.17
2015-02-20,78.67
2015-02-27,78.66
2015-03-06,77.03
2015-03-13,75.83
2015-03-20,78.36
2015-03-27,77.13
2015-04-03,77.2111
2015-04-10,78.57
2015-04-17,78.12
2015-04-24,79.63
2015-05-01,79.73
2015-05-08,80.141
2015-05-15,80.4899
2015-05-22,80.34
2015-05-29,79.16
2015-06-05,78.16
2015-06-12,78.38
2015-06-19,78.49
2015-06-26,77.36
2015-07-03,75.7
2015-07-10,76.054
2015-07-17,78.07
2015-07-24,75.8001
2015-07-31,76.38
2015-08-07,75.8599
2015-08-14,75.56
2015-08-21,71.1
2015-08-28,71.68
2015-09-04,68.87
2015-09-11,70.52
2015-09-18,70.28
2015-09-25,69.27
2015-10-02,70.43
2015-10-09,73.5
2015-10-16,74.19
2015-10-23,75.98
2015-10-30,75.5
2015-11-06,75.97
2015-11-13,73.17
2015-11-20,75.43
2015-11-27,75.37
2015-12-04,75.48
2015-12-11,72.58
2015-12-18,72.46
2015-12-25,73.7
2016-01-01,72.83
2016-01-08,67.83
2016-01-15,66.51
2016-01-22,67.77
2016-01-29,68.91
2016-02-05,66.9
2016-02-12,66.22
2016-02-19,67.66
2016-02-26,67.9
2016-03-04,70.16
2016-03-11,71.25
2016-03-18,71.87
2016-03-25,71.0799
2016-04-01,71.87
2016-04-08,71.59
2016-04-15,73.4
2016-04-22,73.75
2016-04-29,72.31
2016-05-06,71.56
2016-05-13,71.06
2016-05-20,71.5
2016-05-27,73.36
2016-06-03,73.17
2016-06-10,72.5
2016-06-17,71.85
2016-06-24,69.2
2016-07-01,71.86
2016-07-08,71.94
2016-07-15,73.7715
2016-07-22,73.969
2016-07-29,74.31
2016-08-05,74.59
2016-08-12,75.13
2016-08-19,75.24
2016-08-26,74.7
2016-09-02,75.51
2016-09-09,74.12
2016-09-16,73.92
2016-09-23,75.0329
2016-09-30,74.96
2016-10-07,75.05
2016-10-14,74.21
2016-10-21,74.43
2016-10-28,74.24
2016-11-04,72.73
2016-11-11,74.58
2016-11-18,74.2672
2016-11-25,75.14
2016-12-02,74.8152
2016-12-09,77.58
2016-12-16,77.8
2016-12-23,77.11
2016-12-30,76.72
2017-01-06,78.05
2017-01-13,78.04
2017-01-20,77.59
2017-01-27,78.46
2017-02-03,78.6494
2017-02-10,78.93
2017-02-17,80.0
2017-02-24,80.31
2017-03-03,81.28
2017-03-10,81.33
2017-03-17,82.1287
2017-03-24,81.19
2017-03-31,81.74
2017-04-07,81.33
2017-04-14,80.721
2017-04-21,80.9
2017-04-28,82.9519
2017-05-05,84.38
2017-05-12,84.62
2017-05-19,85.03
2017-05-26,85.68
2017-06-02,86.49
2017-06-09,85.99
2017-06-16,85.67
2017-06-23,84.63
2017-06-30,84.23
2017-07-07,84.36
2017-07-14,85.75
2017-07-21,85.78
2017-07-28,85.72
2017-08-04,86.62
2017-08-11,85.24
2017-08-18,85.13
2017-08-25,85.79
2017-09-01,86.65
2017-09-08,86.45
2017-09-15,87.7
2017-09-22,87.9
2017-09-29,88.23
2017-10-06,89.05
2017-10-13,89.91
2017-10-20,90.09
2017-10-27,90.56
2017-11-03,91.65
2017-11-10,91.29
2017-11-17,90.74
2017-11-24,92.27
2017-12-01,92.39
2017-12-08,92.34
2017-12-15,93.29
2017-12-22,92.81
2017-12-29,92.61
2018-01-05,95.08
2018-01-12,96.47
2018-01-19,97.15
2018-01-26,98.91
2018-02-02,94.81
2018-02-09,90.04
2018-02-16,94.05
2018-02-23,94.51
2018-03-02,92.3
2018-03-09,95.02
2018-03-16,94.14
2018-03-23,89.12
2018-03-30,91.26
2018-04-06,90.46
2018-04-13,92.8406
2018-04-20,92.78
2018-04-27,92.62
2018-05-04,46.42
2018-05-11,47.46
2018-05-18,47.07
2018-05-25,46.8
2018-06-01,46.97
2018-06-08,47.5
2018-06-15,47.24
2018-06-22,46.15
2018-06-29,45.85
2018-07-06,46.48
2018-07-13,47.1
2018-07-20,47.24
2018-07-27,47.75
2018-08-03,47.98
2018-08-10,47.65
2018-08-17,47.67
2018-08-24,48.15
2018-08-31,48.6
2018-09-07,47.55
2018-09-14,48.28
2018-09-21,49.02
2018-09-28,48.81
2018-10-05,48.37
2018-10-12,46.56
2018-10-19,46.7
2018-10-26,45.16
2018-11-02,46.0
2018-11-09,46.93
2018-11-16,46.23
2018-11-23,44.47
2018-11-30,46.26
2018-12-07,44.47
2018-12-14,44.06
2018-12-21,41.23
2018-12-28,42.23
2019-01-04,43.05
2019-01-11,43.58
2019-01-18,44.52
2019-01-25,44.32
2019-02-01,44.93
2019-02-08,44.87
2019-02-15,45.8487
2019-02-22,46.33
2019-03-01,46.71
2019-03-08,46.0
2019-03-15,47.53
2019-03-22,47.27
2019-03-29,47.55
2019-04-05,48.59
2019-04-12,48.74
2019-04-19,49.07
2019-04-26,49.26
2019-05-03,49.52
2019-05-10,48.21
2019-05-17,48.03
2019-05-24,47.52
2019-05-31,46.4
2019-06-07,48.32
2019-06-14,48.51
2019-06-21,49.03
2019-06-28,48.84
2019-07-05,49.51
2019-07-12,49.55
2019-07-19,49.2
2019-07-26,49.86
2019-08-02,48.17
2019-08-09,47.83
2019-08-16,47.49
2019-08-23,46.79
2019-08-30,47.97
2019-09-06,48.9
2019-09-13,49.63
2019-09-20,49.49
2019-09-27,49.21
2019-10-04,48.92
2019-10-11,49.53
2019-10-18,49.8248
2019-10-25,50.67
2019-11-01,51.4
2019-11-08,51.95
2019-11-15,52.16
2019-11-22,51.93
2019-11-29,52.34
2019-12-06,52.6
2019-12-13,53.3
2019-12-20,53.6
2019-12-27,54.2
2020-01-03,54.2
