date,value
2015-01-02,53.24
2015-01-09,53.06
2015-01-16,54.08
2015-01-23,54.07
2015-01-30,52.66
2015-02-06,54.48
2015-02-13,57.31
2015-02-20,57.59
2015-02-27,56.41
2015-03-06,55.19
2015-03-13,54.69
2015-03-20,55.34
2015-03-27,54.42
2015-04-03,54.67
2015-04-10,56.28
2015-04-17,54.05
2015-04-24,53.67
2015-05-01,54.03
2015-05-08,52.49
2015-05-15,53.27
2015-05-22,53.1
2015-05-29,51.83
2015-06-05,51.17
2015-06-12,51.15
2015-06-19,51.14
2015-06-26,48.25
2015-07-03,47.96
2015-07-10,46.94
2015-07-17,47.64
2015-07-24,47.75
2015-07-31,47.87
2015-08-07,47.54
2015-08-14,47.31
2015-08-21,44.31
2015-08-28,43.73
2015-09-04,41.7
2015-09-11,41.64
2015-09-18,40.42
2015-09-25,38.7
2015-10-02,38.92
2015-10-09,43.23
2015-10-16,42.13
2015-10-23,43.85
2015-10-30,42.69
2015-11-06,42.55
2015-11-13,40.19
2015-11-20,41.22
2015-11-27,41.85
2015-12-04,40.23
2015-12-11,38.13
2015-12-18,36.8
2015-12-25,38.52
2016-01-01,37.7
2016-01-08,35.9
2016-01-15,36.42
2016-01-22,36.45
2016-01-29,34.21
2016-02-05,34.97
2016-02-12,34.16
2016-02-19,34.01
2016-02-26,35.24
2016-03-04,38.73
2016-03-11,39.9
2016-03-18,40.94
2016-03-25,40.79
2016-04-01,40.97
2016-04-08,40.22
2016-04-15,41.72
2016-04-22,43.36
2016-04-29,43.27
2016-05-06,42.1
2016-05-13,41.97
2016-05-20,40.43
2016-05-27,42.09
2016-06-03,42.93
2016-06-10,43.18
2016-06-17,41.96
2016-06-24,41.37
2016-07-01,42.71
2016-07-08,42.75
2016-07-15,45.47
2016-07-22,45.12
2016-07-29,45.81
2016-08-05,45.98
2016-08-12,46.5
2016-08-19,47.46
2016-08-26,48.89
2016-09-02,49.12
2016-09-09,47.71
2016-09-16,49.19
2016-09-23,48.41
2016-09-30,47.98
2016-10-07,46.82
2016-10-14,46.73
2016-10-21,47.0
2016-10-28,45.01
2016-11-04,43.98
2016-11-11,45.66
2016-11-18,48.45
2016-11-25,48.85
2016-12-02,50.46
2016-12-09,53.83
2016-12-16,53.75
2016-12-23,54.03
2016-12-30,53.06
2017-01-06,53.72
2017-01-13,53.55
2017-01-20,53.69
2017-01-27,57.34
2017-02-03,53.01
2017-02-10,52.89
2017-02-17,52.15
2017-02-24,52.62
2017-03-03,54.0
2017-03-10,50.7
2017-03-17,51.36
2017-03-24,50.81
2017-03-31,50.78
2017-04-07,50.51
2017-04-14,49.64
2017-04-21,52.78
2017-04-28,53.97
2017-05-05,53.44
2017-05-12,52.29
2017-05-19,51.11
2017-05-26,52.42
2017-06-02,54.39
2017-06-09,54.89
2017-06-16,56.51
2017-06-23,56.85
2017-06-30,56.61
2017-07-07,56.37
2017-07-14,58.15
2017-07-21,56.64
2017-07-28,54.74
2017-08-04,53.93
2017-08-11,52.59
2017-08-18,54.29
2017-08-25,54.59
2017-09-01,54.91
2017-09-08,54.78
2017-09-15,56.23
2017-09-22,56.05
2017-09-29,56.82
2017-10-06,57.45
2017-10-13,57.45
2017-10-20,58.21
2017-10-27,57.95
2017-11-03,57.12
2017-11-10,54.85
2017-11-17,54.21
2017-11-24,54.92
2017-12-01,55.63
2017-12-08,56.91
2017-12-15,56.25
2017-12-22,57.98
2017-12-29,57.94
2018-01-05,61.7
2018-01-12,62.26
2018-01-19,63.5
2018-01-26,64.75
2018-02-02,62.17
2018-02-09,57.2
2018-02-16,58.94
2018-02-23,59.5
2018-03-02,58.47
2018-03-09,55.24
2018-03-16,54.57
2018-03-23,50.15
2018-03-30,53.43
2018-04-06,52.17
2018-04-13,53.22
2018-04-20,53.41
2018-04-27,52.58
2018-05-04,52.19
2018-05-11,53.65
2018-05-18,54.96
2018-05-25,54.13
2018-06-01,55.24
2018-06-08,58.81
2018-06-15,55.43
2018-06-22,53.0
2018-06-29,52.08
2018-07-06,52.36
2018-07-13,53.15
2018-07-20,52.84
2018-07-27,52.02
2018-08-03,52.55
2018-08-10,52.12
2018-08-17,51.97
2018-08-24,51.83
2018-08-31,51.14
2018-09-07,51.71
2018-09-14,53.24
2018-09-21,54.12
2018-09-28,49.15
2018-10-05,48.78
2018-10-12,42.67
2018-10-19,42.24
2018-10-26,44.85
2018-11-02,45.54
2018-11-09,46.22
2018-11-16,46.18
2018-11-23,44.91
2018-11-30,46.19
2018-12-07,44.76
2018-12-14,43.44
2018-12-21,39.12
2018-12-28,39.81
2019-01-04,42.26
2019-01-11,45.24
2019-01-18,45.68
2019-01-25,46.97
2019-02-01,46.34
2019-02-08,45.99
2019-02-15,47.15
2019-02-22,46.74
2019-03-01,46.24
2019-03-08,45.77
2019-03-15,45.51
2019-03-22,44.4
2019-03-29,46.27
2019-04-05,47.37
2019-04-12,47.76
2019-04-19,44.43
2019-04-26,45.99
2019-05-03,47.1
2019-05-10,45.65
2019-05-17,45.07
2019-05-24,42.77
2019-05-31,41.47
2019-06-07,44.97
2019-06-14,42.99
2019-06-21,43.61
2019-06-28,43.32
2019-07-05,43.87
2019-07-12,42.77
2019-07-19,43.24
2019-07-26,45.3
2019-08-02,42.14
2019-08-09,39.85
2019-08-16,38.99
2019-08-23,37.43
2019-08-30,39.1
2019-09-06,39.43
2019-09-13,42.78
2019-09-20,40.7
2019-09-27,41.66
2019-10-04,39.18
2019-10-11,41.56
2019-10-18,42.26
2019-10-25,43.0
2019-11-01,43.96
2019-11-08,46.21
2019-11-15,45.65
2019-11-22,45.12
2019-11-29,46.34
2019-12-06,47.26
2019-12-13,46.36
2019-12-20,46.14
2019-12-27,45.89
2020-01-03,44.72
