date,value
2015-01-02,24.55
2015-01-09,24.392
2015-01-16,24.39
2015-01-23,24.65
2015-01-30,24.74
2015-02-06,25.0419
2015-02-13,25.75
2015-02-20,26.0535
2015-02-27,26.43
2015-03-06,26.248
2015-03-13,25.91
2015-03-20,26.97
2015-03-27,26.68
2015-04-03,26.998
2015-04-10,27.68
2015-04-17,27.7459
2015-04-24,28.33
2015-05-01,28.06
2015-05-08,28.52
2015-05-15,29.07
2015-05-22,28.71
2015-05-29,28.37
2015-06-05,28.07
2015-06-12,28.35
2015-06-19,27.86
2015-06-26,28.133
2015-07-03,27.47
2015-07-10,27.08
2015-07-17,27.49
2015-07-24,27.35
2015-07-31,27.5
2015-08-07,27.32
2015-08-14,27.25
2015-08-21,25.39
2015-08-28,26.02
2015-09-04,25.0101
2015-09-11,25.88
2015-09-18,25.85
2015-09-25,25.096
2015-10-02,25.7
2015-10-09,26.57
2015-10-16,26.57
2015-10-23,27.1
2015-10-30,26.97
2015-11-06,26.83
2015-11-13,26.3504
2015-11-20,27.09
2015-11-27,27.0037
2015-12-04,26.89
2015-12-11,25.65
2015-12-18,25.82
2015-12-25,26.27
2016-01-01,26.01
2016-01-08,24.38
2016-01-15,23.57
2016-01-22,23.99
2016-01-29,24.72
2016-02-05,24.6699
2016-02-12,24.2
2016-02-19,24.74
2016-02-26,25.14
2016-03-04,26.2981
2016-03-11,26.75
2016-03-18,27.22
2016-03-25,26.77
2016-04-01,27.13
2016-04-08,27.29
2016-04-15,28.268
2016-04-22,28.6
2016-04-29,28.25
2016-05-06,27.83
2016-05-13,27.2299
2016-05-20,26.9
2016-05-27,27.16
2016-06-03,27.65
2016-06-10,27.0916
2016-06-17,26.14
2016-06-24,25.5
2016-07-01,26.25
2016-07-08,26.19
2016-07-15,26.8
2016-07-22,27.171
2016-07-29,27.59
2016-08-05,27.488
2016-08-12,28.0352
2016-08-19,28.04
2016-08-26,27.865
2016-09-02,28.29
2016-09-09,28.18
2016-09-16,27.78
2016-09-23,28.42
2016-09-30,28.5101
2016-10-07,28.4
2016-10-14,27.84
2016-10-21,28.21
2016-10-28,27.9894
2016-11-04,27.2937
2016-11-11,27.09
2016-11-18,27.3
2016-11-25,27.4972
2016-12-02,27.6692
2016-12-09,28.53
2016-12-16,27.93
2016-12-23,28.1318
2016-12-30,28.28
2017-01-06,28.89
2017-01-13,29.26
2017-01-20,29.14
2017-01-27,30.2441
2017-02-03,30.3555
2017-02-10,30.44
2017-02-17,30.395
2017-02-24,30.4
2017-03-03,30.5
2017-03-10,30.57
2017-03-17,31.06
2017-03-24,30.45
2017-03-31,30.8871
2017-04-07,30.885
2017-04-14,30.63
2017-04-21,30.95
2017-04-28,31.41
2017-05-05,31.97
2017-05-12,31.64
2017-05-19,31.69
2017-05-26,32.36
2017-06-02,33.04
2017-06-09,32.68
2017-06-16,32.0928
2017-06-23,32.18
2017-06-30,32.11
2017-07-07,31.884
2017-07-14,32.72
