date,value
2018-03-30,15.55
2018-04-06,16.02
2018-04-13,19.34
2018-04-20,17.81
2018-04-27,17.99
2018-05-04,16.17
2018-05-11,20.52
2018-05-18,20.08
2018-05-25,22.79
2018-06-01,28.46
2018-06-08,32.82
2018-06-15,40.16
2018-06-22,36.29
2018-06-29,32.3
2018-07-06,29.92
2018-07-13,33.95
2018-07-20,33.27
2018-07-27,32.15
2018-08-03,28.5
2018-08-10,29.4
2018-08-17,26.38
2018-08-24,28.65
2018-08-31,28.9
2018-09-07,27.16
2018-09-14,28.56
2018-09-21,26.25
2018-09-28,27.07
2018-10-05,25.49
2018-10-12,26.0
2018-10-19,23.57
2018-10-26,22.06
2018-11-02,21.13
2018-11-09,20.0
2018-11-16,20.8
2018-11-23,19.7
2018-11-30,20.31
2018-12-07,18.52
2018-12-14,17.7
2018-12-21,14.94
2018-12-28,15.37
2019-01-04,16.24
2019-01-11,17.82
2019-01-18,18.5
2019-01-25,19.95
2019-02-01,20.12
2019-02-08,20.63
2019-02-15,21.8
2019-02-22,27.7
2019-03-01,27.15
2019-03-08,25.36
2019-03-15,27.02
2019-03-22,25.02
2019-03-29,23.92
2019-04-05,23.48
2019-04-12,23.7
2019-04-19,23.195
2019-04-26,21.9
2019-05-03,23.01
2019-05-10,20.96
2019-05-17,19.04
2019-05-24,18.7
2019-05-31,18.23
2019-06-07,17.88
2019-06-14,17.89
2019-06-21,18.15
2019-06-28,20.65
2019-07-05,20.21
2019-07-12,19.65
2019-07-19,18.7
2019-07-26,19.01
2019-08-02,17.465
2019-08-09,17.21
2019-08-16,17.08
2019-08-23,17.65
2019-08-30,18.29
2019-09-06,18.06
2019-09-13,19.75
2019-09-20,18.53
2019-09-27,16.61
2019-10-04,16.39
2019-10-11,16.46
2019-10-18,16.09
2019-10-25,17.36
2019-11-01,17.73
2019-11-08,19.52
2019-11-15,17.49
2019-11-22,18.41
2019-11-29,19.15
2019-12-06,20.29
2019-12-13,20.4
2019-12-20,21.08
2019-12-27,21.54
2020-01-03,23.04
