date,value
2015-01-16,25.8099
2015-01-23,26.3
2015-01-30,26.64
2015-02-06,26.75
2015-02-13,26.55
2015-02-20,26.55
2015-02-27,27.45
2015-03-06,26.8
2015-03-13,26.489
2015-03-20,26.9
2015-03-27,26.9
2015-04-03,27.15
2015-04-10,27.15
2015-04-17,27.89
2015-04-24,28.3807
2015-05-01,28.27
2015-05-08,28.5899
2015-05-15,28.88
2015-05-22,28.6795
2015-05-29,28.14
2015-06-05,27.5299
2015-06-12,27.81
2015-06-19,27.81
2015-06-26,27.58
2015-07-03,26.63
2015-07-10,26.7201
2015-07-17,27.108
2015-07-24,26.99
2015-07-31,27.0658
2015-08-07,26.97
2015-08-14,26.9601
2015-08-21,26.54
2015-08-28,25.088
2015-09-04,24.39
2015-09-11,24.39
2015-09-18,24.7899
2015-09-25,24.7899
2015-10-02,24.78
2015-10-09,25.69
2015-10-16,25.52
2015-10-23,26.35
2015-10-30,26.06
2015-11-06,25.76
2015-11-13,25.47
2015-11-20,25.925
2015-11-27,25.81
2015-12-04,26.09
2015-12-11,25.35
2015-12-18,24.83
2015-12-25,25.3299
2016-01-01,25.24
2016-01-08,23.56
2016-01-15,23.0
2016-01-22,23.48
2016-01-29,24.1399
2016-02-05,23.26
2016-02-12,23.0799
2016-02-19,23.66
2016-02-26,23.97
2016-03-04,24.89
2016-03-11,24.69
2016-03-18,25.06
2016-03-25,24.728
2016-04-01,24.8078
2016-04-08,25.009
2016-04-15,25.5536
2016-04-22,25.89
2016-04-29,25.68
2016-05-06,25.098
2016-05-13,24.9201
2016-05-20,24.995
2016-05-27,25.7499
2016-06-03,25.729
2016-06-10,25.2
2016-06-17,24.6802
2016-06-24,23.75
2016-07-01,24.72
2016-07-08,24.51
2016-07-15,25.205
2016-07-22,25.1
2016-07-29,25.5634
2016-08-05,25.2801
2016-08-12,25.81
2016-08-19,25.7
2016-08-26,25.6095
2016-09-02,25.9599
2016-09-09,26.0333
2016-09-16,25.144
2016-09-23,25.75
2016-09-30,25.902
2016-10-07,25.335
2016-10-14,25.043
2016-10-21,24.8783
2016-10-28,24.7
2016-11-04,24.3021
2016-11-11,24.0927
2016-11-18,24.05
2016-11-25,24.32
2016-12-02,24.093
2016-12-09,24.6893
2016-12-16,24.55
2016-12-23,24.37
2016-12-30,24.5
2017-01-06,24.93
2017-01-13,25.135
2017-01-20,25.0126
2017-01-27,25.2799
2017-02-03,25.27
2017-02-10,25.42
2017-02-17,25.61
2017-02-24,25.535
2017-03-03,25.63
2017-03-10,25.8
2017-03-17,26.25
2017-03-24,26.2998
2017-03-31,26.4146
2017-04-07,26.3048
2017-04-14,26.5
2017-04-21,26.3
2017-04-28,26.987
2017-05-05,27.57
2017-05-12,27.56
2017-05-19,27.96
2017-05-26,27.96
2017-06-02,28.5
2017-06-09,28.08
2017-06-16,28.0836
2017-06-23,27.56
2017-06-30,27.52
2017-07-07,27.348
2017-07-14,28.03
2017-07-21,28.1086
2017-07-28,28.1
2017-08-04,28.46
2017-08-11,27.95
2017-08-18,27.97
2017-08-25,28.29
2017-09-01,28.407
2017-09-08,28.6097
2017-09-15,28.86
2017-09-22,29.04
2017-09-29,28.96
2017-10-06,28.8
2017-10-13,29.3829
2017-10-20,29.23
2017-10-27,29.11
2017-11-03,29.36
2017-11-10,29.21
2017-11-17,29.11
2017-11-24,29.705
2017-12-01,29.47
2017-12-08,29.35
2017-12-15,29.27
2017-12-22,29.4521
2017-12-29,29.65
2018-01-05,30.43
2018-01-12,30.5685
2018-01-19,31.06
2018-01-26,31.3398
2018-02-02,30.3199
2018-02-09,28.55
2018-02-16,29.846
2018-02-23,29.76
2018-03-02,28.71
2018-03-09,29.4702
2018-03-16,29.365
2018-03-23,28.55
2018-03-30,29.28
2018-04-06,29.2035
2018-04-13,29.708
2018-04-20,29.782
2018-04-27,29.9395
2018-05-04,29.8406
2018-05-11,30.2752
2018-05-18,30.22
2018-05-25,29.8898
2018-06-01,29.77
2018-06-08,29.96
2018-06-15,29.82
2018-06-22,28.97
2018-06-29,28.75
2018-07-06,29.07
2018-07-13,29.35
2018-07-20,29.47
2018-07-27,29.49
2018-08-03,29.25
2018-08-10,28.94
2018-08-17,28.95
2018-08-24,29.385
2018-08-31,29.42
2018-09-07,28.534
2018-09-14,29.17
2018-09-21,29.87
2018-09-28,29.55
2018-10-05,28.83
2018-10-12,27.59
2018-10-19,27.6
2018-10-26,26.7697
2018-11-02,27.53
2018-11-09,27.65
2018-11-16,27.51
2018-11-23,26.999
2018-11-30,27.325
2018-12-07,26.46
2018-12-14,26.29
2018-12-21,25.29
2018-12-28,25.6766
2019-01-04,26.2546
2019-01-11,26.82
2019-01-18,27.2525
2019-01-25,27.31
2019-02-01,27.7
2019-02-08,27.61
2019-02-15,28.3
2019-02-22,28.7
2019-03-01,28.85
2019-03-08,28.35
2019-03-15,29.19
2019-03-22,28.73
2019-03-29,29.17
2019-04-05,29.6907
2019-04-12,29.76
2019-04-19,29.86
2019-04-26,29.94
2019-05-03,30.15
2019-05-10,29.39
2019-05-17,29.37
2019-05-24,29.3
2019-05-31,28.71
2019-06-07,29.73
2019-06-14,29.64
2019-06-21,30.04
2019-06-28,30.19
2019-07-05,30.2666
2019-07-12,30.1171
2019-07-19,30.1282
2019-07-26,30.12
2019-08-02,29.2
2019-08-09,28.88
2019-08-16,28.635
2019-08-23,28.68
