date,value
2018-06-29,23.75
2018-07-06,24.154
2018-07-13,24.569
2018-07-20,24.569
2018-07-27,24.219
2018-08-03,23.91
2018-08-10,24.13
2018-08-17,23.79
2018-08-24,24.72
2018-08-31,25.29
2018-09-07,24.63
2018-09-14,25.2999
2018-09-21,25.26
2018-09-28,25.1308
2018-10-05,23.9407
2018-10-12,22.4409
2018-10-19,22.01
2018-10-26,20.69
2018-11-02,22.31
2018-11-09,22.02
2018-11-16,21.7
2018-11-23,20.98
2018-11-30,22.0301
2018-12-07,21.3
2018-12-14,21.0976
2018-12-21,19.34
2018-12-28,20.16
2019-01-04,20.43
2019-01-11,21.4616
2019-01-18,22.29
2019-01-25,22.55
2019-02-01,22.9322
2019-02-08,23.0288
2019-02-15,23.945
2019-02-22,24.67
2019-03-01,24.77
2019-03-08,23.89
2019-03-15,24.65
2019-03-22,24.43
2019-03-29,24.54
2019-04-05,25.54
2019-04-12,25.7
2019-04-19,25.5727
2019-04-26,25.62
2019-05-03,25.92
2019-05-10,24.4266
2019-05-17,23.88
2019-05-24,22.8929
2019-05-31,22.8174
2019-06-07,23.7
2019-06-14,23.7707
2019-06-21,24.6
2019-06-28,24.89
2019-07-05,25.12
2019-07-12,25.17
2019-07-19,24.92
2019-07-26,25.57
2019-08-02,24.305
2019-08-09,23.96
2019-08-16,23.81
2019-08-23,23.61
2019-08-30,24.3
2019-09-06,25.0
2019-09-13,25.47
2019-09-20,25.06
2019-09-27,24.3
2019-10-04,24.488
2019-10-11,24.59
2019-10-18,24.55
2019-10-25,24.8469
2019-11-01,25.45
2019-11-08,25.8
2019-11-15,25.69
2019-11-22,25.6031
2019-11-29,25.837
2019-12-06,25.98
2019-12-13,26.39
2019-12-20,26.845
2019-12-27,27.13
2020-01-03,27.25
