date,value
2015-05-01,24.9499
2015-05-08,25.34
2015-05-15,25.84
2015-05-22,25.9
2015-05-29,25.38
2015-06-05,25.2
2015-06-12,25.6
2015-06-19,25.55
2015-06-26,25.6
2015-07-03,25.3
2015-07-10,24.93
2015-07-17,25.46
2015-07-24,25.25
2015-07-31,25.48
2015-08-07,25.4
2015-08-14,25.4899
2015-08-21,24.3499
2015-08-28,24.3345
2015-09-04,23.65
2015-09-11,24.25
2015-09-18,24.4599
2015-09-25,23.75
2015-10-02,23.8
2015-10-09,24.63
2015-10-16,24.527
2015-10-23,24.77
2015-10-30,24.53
2015-11-06,24.55
2015-11-13,24.19
2015-11-20,24.8399
2015-11-27,24.686
2015-12-04,24.686
2015-12-11,24.5909
2015-12-18,24.85
2015-12-25,24.89
2016-01-01,25.0
2016-01-08,23.8147
2016-01-15,23.28
2016-01-22,22.6699
2016-01-29,22.85
2016-02-05,22.95
2016-02-12,21.4675
2016-02-19,21.95
2016-02-26,22.5901
2016-03-04,23.28
2016-03-11,23.4
2016-03-18,24.1368
2016-03-25,23.675
2016-04-01,24.0199
2016-04-08,23.7899
2016-04-15,24.41
2016-04-22,24.45
2016-04-29,24.4044
2016-05-06,24.14
2016-05-13,24.3099
2016-05-20,24.6
2016-05-27,24.91
2016-06-03,25.2
2016-06-10,25.4213
2016-06-17,24.3892
2016-06-24,24.92
2016-07-01,24.0089
2016-07-08,23.78
2016-07-15,24.03
2016-07-22,24.4171
2016-07-29,25.0
2016-08-05,24.97
2016-08-12,25.4397
2016-08-19,25.23
2016-08-26,25.411
2016-09-02,25.25
2016-09-09,25.21
2016-09-16,24.9599
2016-09-23,25.38
2016-09-30,25.91
2016-10-07,25.5892
2016-10-14,24.92
2016-10-21,25.05
2016-10-28,24.76
2016-11-04,24.75
2016-11-11,24.6
2016-11-18,24.153
2016-11-25,24.13
2016-12-02,24.1877
2016-12-09,24.5134
2016-12-16,23.964
2016-12-23,23.6455
2016-12-30,23.9901
2017-01-06,24.74
2017-01-13,24.93
2017-01-20,25.0
2017-01-27,25.18
2017-02-03,25.76
2017-02-10,26.15
2017-02-17,26.25
2017-02-24,26.0432
2017-03-03,25.9675
2017-03-10,25.89
2017-03-17,26.55
2017-03-24,26.6
2017-03-31,26.5448
2017-04-07,26.6599
2017-04-14,26.8
2017-04-21,26.8
2017-04-28,27.62
2017-05-05,28.0175
2017-05-12,28.1291
2017-05-19,28.48
2017-05-26,28.49
2017-06-02,29.04
2017-06-09,28.66
2017-06-16,28.37
2017-06-23,28.3816
2017-06-30,28.35
2017-07-07,28.1024
2017-07-14,28.61
2017-07-21,29.189
2017-07-28,29.29
2017-08-04,29.5666
2017-08-11,29.1788
2017-08-18,29.36
2017-08-25,29.7
2017-09-01,30.19
2017-09-08,30.4493
2017-09-15,30.6201
2017-09-22,30.719
2017-09-29,30.8
2017-10-06,30.9
2017-10-13,31.67
2017-10-20,31.21
2017-10-27,31.22
2017-11-03,31.729
2017-11-10,31.47
2017-11-17,31.28
2017-11-24,32.01
2017-12-01,31.859
2017-12-08,31.6
2017-12-15,31.69
2017-12-22,31.98
2017-12-29,32.45
2018-01-05,33.36
2018-01-12,33.77
2018-01-19,34.07
2018-01-26,34.65
2018-02-02,33.57
2018-02-09,31.16
2018-02-16,32.5611
2018-02-23,33.14
2018-03-02,32.4097
2018-03-09,33.15
2018-03-16,32.95
2018-03-23,32.3
2018-03-30,32.6014
2018-04-06,32.4755
2018-04-13,33.22
2018-04-20,33.22
2018-04-27,32.9509
2018-05-04,33.03
2018-05-11,33.5122
2018-05-18,33.33
2018-05-25,32.99
2018-06-01,32.62
2018-06-08,33.21
2018-06-15,32.85
2018-06-22,32.085
2018-06-29,31.7299
2018-07-06,31.5456
2018-07-13,31.561
2018-07-20,31.6426
2018-07-27,32.1835
2018-08-03,31.82
2018-08-10,31.28
2018-08-17,30.7254
2018-08-24,31.35
2018-08-31,31.72
2018-09-07,30.64
2018-09-14,31.17
2018-09-21,31.8
2018-09-28,31.4
2018-10-05,30.54
2018-10-12,29.31
2018-10-19,29.16
2018-10-26,27.73
2018-11-02,29.18
2018-11-09,28.9
2018-11-16,28.095
2018-11-23,27.68
2018-11-30,28.05
2018-12-07,27.1
2018-12-14,26.63
2018-12-21,25.05
2018-12-28,25.68
2019-01-04,26.49
2019-01-11,27.3
2019-01-18,27.6387
2019-01-25,27.9
2019-02-01,28.09
2019-02-08,27.78
2019-02-15,28.4798
2019-02-22,28.69
2019-03-01,28.8883
2019-03-08,28.19
2019-03-15,28.7948
2019-03-22,28.5176
2019-03-29,28.6253
2019-04-05,29.1544
2019-04-12,29.4
2019-04-19,29.3856
2019-04-26,29.2849
2019-05-03,29.4294
2019-05-10,28.7691
2019-05-17,28.5507
2019-05-24,28.4681
2019-05-31,27.9847
2019-06-07,28.8175
2019-06-14,28.675
2019-06-21,28.8934
2019-06-28,28.9616
2019-07-05,29.2024
2019-07-12,29.1095
2019-07-19,29.0534
2019-07-26,29.14
2019-08-02,28.4137
2019-08-09,28.1745
2019-08-16,27.6505
2019-08-23,27.69
2019-08-30,28.0563
2019-09-06,28.55
2019-09-13,28.88
2019-09-20,29.0
2019-09-27,28.52
2019-10-04,28.3699
2019-10-11,28.87
2019-10-18,29.1358
2019-10-25,29.35
2019-11-01,29.9104
2019-11-08,30.0647
2019-11-15,30.36
2019-11-22,30.2016
2019-11-29,30.55
2019-12-06,31.1298
2019-12-13,31.5281
2019-12-20,31.265
2019-12-27,31.72
2020-01-03,31.602
