date,value
2018-09-14,25.28
2018-09-21,25.41
2018-09-28,25.41
2018-10-05,25.14
2018-10-12,24.1
2018-10-19,24.1
2018-10-26,22.4
2018-11-02,22.4
2018-11-09,23.57
2018-11-16,23.05
2018-11-23,23.05
2018-11-30,23.05
2018-12-07,23.05
2018-12-14,22.1
2018-12-21,20.87
2018-12-28,21.05
2019-01-04,21.05
2019-01-11,22.05
2019-01-18,22.55
2019-01-25,22.55
2019-02-01,22.55
2019-02-08,22.55
2019-02-15,22.55
2019-02-22,23.34
2019-03-01,23.579
2019-03-08,23.07
2019-03-15,23.3
2019-03-22,23.36
2019-03-29,23.36
2019-04-05,23.63
2019-04-12,23.63
2019-04-19,24.02
2019-04-26,24.02
2019-05-03,23.89
2019-05-10,22.88
2019-05-17,22.87
2019-05-24,22.7
2019-05-31,22.65
2019-06-07,22.65
2019-06-14,22.65
2019-06-21,23.17
2019-06-28,23.0724
2019-07-05,23.49
2019-07-12,23.32
2019-07-19,23.199
2019-07-26,23.2
2019-08-02,22.46
2019-08-09,21.73
2019-08-16,21.55
2019-08-23,21.55
2019-08-30,21.55
2019-09-06,21.77
2019-09-13,22.54
2019-09-20,22.95
2019-09-27,22.72
2019-10-04,22.32
2019-10-11,22.86
2019-10-18,23.1
2019-10-25,23.25
2019-11-01,23.46
2019-11-08,23.84
2019-11-15,24.03
2019-11-22,23.77
2019-11-29,23.77
2019-12-06,23.89
2019-12-13,23.89
2019-12-20,23.84
2019-12-27,24.83
2020-01-03,24.83
