date,value
2018-09-14,25.25
2018-09-21,25.9
2018-09-28,25.9
2018-10-05,25.89
2018-10-12,24.3
2018-10-19,24.67
2018-10-26,23.45
2018-11-02,23.83
2018-11-09,24.06
2018-11-16,24.06
2018-11-23,23.37
2018-11-30,23.37
2018-12-07,23.37
2018-12-14,23.25
2018-12-21,22.75
2018-12-28,22.25
2019-01-04,22.75
2019-01-11,22.75
2019-01-18,22.75
2019-01-25,23.43
2019-02-01,23.43
2019-02-08,23.43
2019-02-15,23.43
2019-02-22,23.43
2019-03-01,23.43
2019-03-08,23.43
2019-03-15,24.75
2019-03-22,24.85
2019-03-29,24.85
2019-04-05,24.85
2019-04-12,25.13
2019-04-19,25.27
2019-04-26,25.27
2019-05-03,25.0286
2019-05-10,24.34
2019-05-17,24.31
2019-05-24,24.12
2019-05-31,24.03
2019-06-07,24.18
2019-06-14,24.49
2019-06-21,25.11
2019-06-28,27.06
2019-07-05,25.08
2019-07-12,25.03
2019-07-19,24.874
2019-07-26,24.9034
2019-08-02,24.0299
2019-08-09,23.86
2019-08-16,23.51
2019-08-23,23.485
2019-08-30,23.96
2019-09-06,24.53
2019-09-13,25.16
2019-09-20,25.1501
2019-09-27,24.55
2019-10-04,24.14
2019-10-11,24.715
2019-10-18,24.83
2019-10-25,25.13
2019-11-01,25.41
2019-11-08,25.63
2019-11-15,25.76
2019-11-22,25.43
2019-11-29,25.5506
2019-12-06,25.7
2019-12-13,26.1597
2019-12-20,26.36
2019-12-27,26.39
2020-01-03,26.09
