date,value
2018-09-14,25.46
2018-09-21,26.05
2018-09-28,26.07
2018-10-05,26.0
2018-10-12,25.16
2018-10-19,25.52
2018-10-26,24.39
2018-11-02,24.39
2018-11-09,24.75
2018-11-16,25.3
2018-11-23,25.3
2018-11-30,25.23
2018-12-07,24.67
2018-12-14,24.67
2018-12-21,23.91
2018-12-28,23.33
2019-01-04,23.95
2019-01-11,24.861
2019-01-18,24.9048
2019-01-25,25.06
2019-02-01,26.12
2019-02-08,26.12
2019-02-15,25.67
2019-02-22,26.51
2019-03-01,26.57
2019-03-08,25.71
2019-03-15,26.55
2019-03-22,26.7
2019-03-29,26.26
2019-04-05,27.07
2019-04-12,26.99
2019-04-19,26.94
2019-04-26,26.51
2019-05-03,26.6485
2019-05-10,25.1
2019-05-17,25.27
2019-05-24,24.35
2019-05-31,24.6807
2019-06-07,24.9
2019-06-14,25.1
2019-06-21,26.28
2019-06-28,26.4
2019-07-05,26.05
2019-07-12,25.975
2019-07-19,26.084
2019-07-26,25.86
2019-08-02,24.5
2019-08-09,24.0001
2019-08-16,23.82
2019-08-23,23.49
2019-08-30,24.039
2019-09-06,24.86
2019-09-13,25.53
2019-09-20,25.2356
2019-09-27,23.98
2019-10-04,24.18
2019-10-11,24.86
2019-10-18,24.72
2019-10-25,25.13
2019-11-01,25.2954
2019-11-08,25.902
2019-11-15,25.1565
2019-11-22,25.05
2019-11-29,25.065
2019-12-06,25.29
2019-12-13,26.13
2019-12-20,26.675
2019-12-27,26.9643
2020-01-03,27.26
