date,value
2015-01-02,25.28
2015-01-09,25.34
2015-01-16,25.51
2015-01-23,25.46
2015-01-30,25.39
2015-02-06,25.38
2015-02-13,25.41
2015-02-20,25.41
2015-02-27,25.59
2015-03-06,25.64
2015-03-13,25.55
2015-03-20,25.76
2015-03-27,25.81
2015-04-03,25.378
2015-04-10,25.3
2015-04-17,25.2
2015-04-24,25.358
2015-05-01,25.4
2015-05-08,25.4
2015-05-15,25.5
2015-05-22,25.55
2015-05-29,25.53
2015-06-05,25.55
2015-06-12,25.45
2015-06-19,25.46
2015-06-26,25.65
2015-07-03,25.57
2015-07-10,25.52
2015-07-17,25.79
2015-07-24,25.62
2015-07-31,25.65
2015-08-07,25.68
2015-08-14,25.6
2015-08-21,25.47
2015-08-28,25.36
2015-09-04,25.3005
2015-09-11,25.59
2015-09-18,25.51
2015-09-25,25.65
2015-10-02,25.2
2015-10-09,25.35
2015-10-16,25.52
2015-10-23,25.47
2015-10-30,25.56
2015-11-06,25.65
2015-11-13,25.62
2015-11-20,25.55
2015-11-27,25.75
2015-12-04,25.88
2015-12-11,25.49
2015-12-18,25.47
2015-12-25,25.73
2016-01-01,25.5
2016-01-08,25.31
2016-01-15,25.26
2016-01-22,25.16
2016-01-29,25.46
2016-02-05,24.94
2016-02-12,23.55
2016-02-19,25.32
2016-02-26,25.19
2016-03-04,25.27
2016-03-11,25.48
2016-03-18,25.46
2016-03-25,25.5501
2016-04-01,25.21
2016-04-08,25.25
2016-04-15,25.44
2016-04-22,25.64
2016-04-29,25.78
2016-05-06,25.7
2016-05-13,25.84
2016-05-20,25.8742
2016-05-27,25.98
2016-06-03,26.16
2016-06-10,26.04
2016-06-17,26.31
2016-06-24,26.09
2016-07-01,25.66
2016-07-08,25.91
2016-07-15,25.78
2016-07-22,25.7
2016-07-29,25.85
2016-08-05,25.88
2016-08-12,25.89
2016-08-19,25.77
2016-08-26,25.83
2016-09-02,25.96
2016-09-09,25.77
2016-09-16,25.9
2016-09-23,25.97
2016-09-30,25.63
2016-10-07,25.54
2016-10-14,25.48
2016-10-21,25.81
2016-10-28,25.7
2016-11-04,25.5
2016-11-11,25.11
2016-11-18,25.09
2016-11-25,25.13
2016-12-02,25.05
2016-12-09,25.39
2016-12-16,25.31
2016-12-23,25.51
2016-12-30,25.04
2017-01-06,25.2
2017-01-13,25.45
2017-01-20,25.33
2017-01-27,25.3
2017-02-03,25.31
2017-02-10,25.37
2017-02-17,25.49
2017-02-24,25.67
2017-03-03,25.69
2017-03-10,25.71
2017-03-17,25.95
2017-03-24,25.82
2017-03-31,25.5
2017-04-07,25.53
2017-04-14,25.55
2017-04-21,25.57
2017-04-28,25.61
2017-05-05,25.71
2017-05-12,25.84
2017-05-19,25.83
2017-05-26,25.97
2017-06-02,25.98
2017-06-09,25.85
2017-06-16,25.95
2017-06-23,25.96
2017-06-30,25.76
2017-07-07,25.82
2017-07-14,25.94
2017-07-21,25.87
2017-07-28,26.08
2017-08-04,26.03
2017-08-11,25.72
2017-08-18,25.93
2017-08-25,25.93
2017-09-01,26.04
2017-09-08,26.11
2017-09-15,25.35
2017-09-22,25.38
2017-09-29,24.99
2017-10-06,25.0
2017-10-13,24.99
