date,value
2015-01-02,23.67
2015-01-09,23.87
2015-01-16,24.04
2015-01-23,24.03
2015-01-30,24.2
2015-02-06,23.84
2015-02-13,23.67
2015-02-20,23.66
2015-02-27,23.73
2015-03-06,23.46
2015-03-13,23.53
2015-03-20,23.76
2015-03-27,23.81
2015-04-03,23.78
2015-04-10,23.75
2015-04-17,23.79
2015-04-24,23.69
2015-05-01,23.42
2015-05-08,23.39
2015-05-15,23.31
2015-05-22,23.18
2015-05-29,23.3
2015-06-05,23.1
2015-06-12,23.13
2015-06-19,23.23
2015-06-26,23.12
2015-07-03,23.17
2015-07-10,23.2
2015-07-17,23.28
2015-07-24,23.36
2015-07-31,23.36
2015-08-07,23.33
2015-08-14,23.37
2015-08-21,23.45
2015-08-28,23.33
2015-09-04,23.36
2015-09-11,23.3
2015-09-18,23.42
2015-09-25,23.52
2015-10-02,23.65
2015-10-09,23.6
2015-10-16,23.67
2015-10-23,23.67
2015-10-30,23.67
2015-11-06,23.48
2015-11-13,23.5
2015-11-20,23.66
2015-11-27,23.76
2015-12-04,23.77
2015-12-11,23.88
2015-12-18,23.9
2015-12-25,23.96
2016-01-01,23.97
2016-01-08,24.21
2016-01-15,24.22
2016-01-22,24.23
2016-01-29,24.29
2016-02-05,24.35
2016-02-12,24.41
2016-02-19,24.4
2016-02-26,24.24
2016-03-04,23.98
2016-03-11,24.01
2016-03-18,24.1
2016-03-25,24.1
2016-04-01,24.18
2016-04-08,24.37
2016-04-15,24.4
2016-04-22,24.4
2016-04-29,24.46
2016-05-06,24.46
2016-05-13,24.59
2016-05-20,24.49
2016-05-27,24.39
2016-06-03,24.43
2016-06-10,24.53
2016-06-17,24.7
2016-06-24,24.82
2016-07-01,24.84
2016-07-08,24.88
2016-07-15,24.71
2016-07-22,24.71
2016-07-29,24.79
2016-08-05,24.67
2016-08-12,24.77
2016-08-19,24.78
2016-08-26,24.75
2016-09-02,24.72
2016-09-09,24.63
2016-09-16,24.55
2016-09-23,24.6
2016-09-30,24.59
2016-10-07,24.41
2016-10-14,24.29
2016-10-21,24.33
2016-10-28,24.28
2016-11-04,24.34
2016-11-11,23.71
2016-11-18,23.38
2016-11-25,23.09
2016-12-02,22.89
2016-12-09,23.13
2016-12-16,22.9
2016-12-23,23.03
2016-12-30,23.19
2017-01-06,23.3
2017-01-13,23.54
2017-01-20,23.36
2017-01-27,23.33
2017-02-03,23.33
2017-02-10,23.4
2017-02-17,23.32
2017-02-24,23.47
2017-03-03,23.28
2017-03-10,23.16
2017-03-17,23.25
2017-03-24,23.4
2017-03-31,23.44
2017-04-07,23.54
2017-04-14,23.7
2017-04-21,23.75
2017-04-28,23.64
2017-05-05,23.63
2017-05-12,23.68
2017-05-19,23.87
2017-05-26,23.96
2017-06-02,24.11
2017-06-09,24.1
2017-06-16,24.08
2017-06-23,24.08
2017-06-30,23.92
2017-07-07,23.87
2017-07-14,23.94
2017-07-21,24.09
2017-07-28,24.1
2017-08-04,24.11
2017-08-11,24.2
2017-08-18,24.18
2017-08-25,24.23
2017-09-01,24.21
2017-09-08,24.33
2017-09-15,24.19
2017-09-22,24.2
2017-09-29,24.05
2017-10-06,24.03
2017-10-13,24.16
2017-10-20,24.19
2017-10-27,24.09
2017-11-03,24.11
2017-11-10,24.12
2017-11-17,24.1
2017-11-24,23.97
2017-12-01,23.94
2017-12-08,24.1
2017-12-15,24.07
2017-12-22,23.93
2017-12-29,24.07
2018-01-05,24.01
2018-01-12,23.91
2018-01-19,23.9
2018-01-26,23.79
2018-02-02,23.45
2018-02-09,23.43
2018-02-16,23.39
2018-02-23,23.46
2018-03-02,23.44
2018-03-09,23.41
2018-03-16,23.44
2018-03-23,23.5
2018-03-30,23.53
2018-04-06,23.43
2018-04-13,23.5
2018-04-20,23.39
2018-04-27,23.32
2018-05-04,23.43
2018-05-11,23.5
2018-05-18,23.37
2018-05-25,23.52
2018-06-01,23.52
2018-06-08,23.52
2018-06-15,23.53
2018-06-22,23.52
2018-06-29,23.57
2018-07-06,23.57
2018-07-13,23.63
2018-07-20,23.62
2018-07-27,23.59
2018-08-03,23.56
2018-08-10,23.54
2018-08-17,23.61
2018-08-24,23.62
2018-08-31,23.63
2018-09-07,23.43
2018-09-14,23.39
2018-09-21,23.28
2018-09-28,23.31
2018-10-05,23.12
2018-10-12,23.03
2018-10-19,23.01
2018-10-26,46.32
2018-11-02,45.9
2018-11-09,46.28
2018-11-16,46.4
2018-11-23,46.56
2018-11-30,46.76
2018-12-07,47.27
2018-12-14,47.11
2018-12-21,47.49
2018-12-28,47.53
2019-01-04,47.6
2019-01-11,47.57
2019-01-18,47.72
2019-01-25,47.63
2019-02-01,47.68
2019-02-08,47.9
2019-02-15,48.0
2019-02-22,48.08
2019-03-01,47.94
2019-03-08,48.22
2019-03-15,48.27
2019-03-22,48.61
2019-03-29,48.8
2019-04-05,48.63
2019-04-12,48.58
2019-04-19,48.65
2019-04-26,48.9
2019-05-03,48.88
2019-05-10,49.15
2019-05-17,49.4
2019-05-24,49.45
2019-05-31,49.7
2019-06-07,49.71
2019-06-14,49.69
2019-06-21,49.69
2019-06-28,49.75
2019-07-05,49.75
2019-07-12,49.9
2019-07-19,49.99
2019-07-26,50.08
2019-08-02,50.31
2019-08-09,50.71
2019-08-16,51.06
2019-08-23,50.97
2019-08-30,51.06
2019-09-06,50.79
2019-09-13,50.06
2019-09-20,50.26
2019-09-27,50.28
2019-10-04,50.53
2019-10-11,50.41
2019-10-18,50.29
2019-10-25,50.16
2019-11-01,50.2
2019-11-08,49.84
2019-11-15,49.98
2019-11-22,50.15
2019-11-29,50.18
2019-12-06,50.18
2019-12-13,50.38
2019-12-20,50.38
2019-12-27,50.39
2020-01-03,50.53
