date,value
2015-01-02,12.57
2015-01-09,13.15
2015-01-16,13.22
2015-01-23,13.17
2015-01-30,12.12
2015-02-06,12.49
2015-02-13,12.63
2015-02-20,12.47
2015-02-27,12.78
2015-03-06,11.34
2015-03-13,10.39
2015-03-20,11.09
2015-03-27,10.46
2015-04-03,11.77
2015-04-10,12.03
2015-04-17,11.97
2015-04-24,13.28
2015-05-01,12.89
2015-05-08,12.73
2015-05-15,12.91
2015-05-22,11.38
2015-05-29,10.7
2015-06-05,10.46
2015-06-12,10.6
2015-06-19,11.0
2015-06-26,11.03
2015-07-03,11.2
2015-07-10,10.89
2015-07-17,9.74
2015-07-24,8.59
2015-07-31,8.68
2015-08-07,7.96
2015-08-14,7.62
2015-08-21,7.47
2015-08-28,7.63
2015-09-04,6.85
2015-09-11,6.76
2015-09-18,6.95
2015-09-25,6.51
2015-10-02,7.04
2015-10-09,7.77
2015-10-16,7.08
2015-10-23,6.91
2015-10-30,6.85
2015-11-06,7.49
2015-11-13,7.14
2015-11-20,8.12
2015-11-27,7.21
2015-12-04,7.46
2015-12-11,7.31
2015-12-18,6.67
2015-12-25,6.71
2016-01-01,6.51
2016-01-08,6.03
2016-01-15,5.84
2016-01-22,5.75
2016-01-29,6.29
2016-02-05,6.32
2016-02-12,6.08
2016-02-19,6.0
2016-02-26,6.14
2016-03-04,8.41
2016-03-11,8.96
2016-03-18,9.14
2016-03-25,8.35
2016-04-01,8.77
2016-04-08,8.77
2016-04-15,9.29
2016-04-22,8.85
2016-04-29,9.53
2016-05-06,8.61
2016-05-13,8.82
2016-05-20,8.53
2016-05-27,8.24
2016-06-03,8.45
2016-06-10,8.39
2016-06-17,8.41
2016-06-24,8.53
2016-07-01,9.57
2016-07-08,9.71
2016-07-15,10.3
2016-07-22,10.5
2016-07-29,10.45
2016-08-05,11.11
2016-08-12,11.28
2016-08-19,11.3
2016-08-26,10.97
2016-09-02,11.31
2016-09-09,10.69
2016-09-16,10.62
2016-09-23,11.09
2016-09-30,10.94
2016-10-07,11.83
2016-10-14,12.2
2016-10-21,11.5
2016-10-28,11.55
2016-11-04,11.31
2016-11-11,10.31
2016-11-18,10.36
2016-11-25,10.21
2016-12-02,9.77
2016-12-09,10.07
2016-12-16,9.31
2016-12-23,9.87
2016-12-30,10.28
2017-01-06,11.1
2017-01-13,11.22
2017-01-20,11.52
2017-01-27,12.07
2017-02-03,12.19
2017-02-10,12.89
2017-02-17,13.11
2017-02-24,12.81
2017-03-03,12.85
2017-03-10,12.4
2017-03-17,12.24
2017-03-24,12.25
2017-03-31,12.07
2017-04-07,12.04
2017-04-14,11.78
2017-04-21,11.86
2017-04-28,12.3
2017-05-05,12.12
2017-05-12,12.82
2017-05-19,10.88
2017-05-26,10.93
2017-06-02,10.88
2017-06-09,10.84
2017-06-16,10.92
2017-06-23,10.61
2017-06-30,11.05
2017-07-07,10.97
2017-07-14,11.74
2017-07-21,11.64
2017-07-28,11.78
2017-08-04,12.36
2017-08-11,12.36
2017-08-18,12.67
2017-08-25,13.02
2017-09-01,13.07
2017-09-08,13.52
2017-09-15,13.97
2017-09-22,13.88
2017-09-29,13.7
