date,value
2015-01-02,94.68
2015-01-09,93.57
2015-01-16,93.29
2015-01-23,93.56
2015-01-30,93.09
2015-02-06,97.09
2015-02-13,98.26
2015-02-20,99.49
2015-02-27,98.86
2015-03-06,97.77
2015-03-13,97.66
2015-03-20,98.53
2015-03-27,96.74
2015-04-03,96.61
2015-04-10,97.54
2015-04-17,95.87
2015-04-24,94.63
2015-05-01,95.05
2015-05-08,95.92
2015-05-15,97.12
2015-05-22,96.88
2015-05-29,93.83
2015-06-05,93.23
2015-06-12,93.7
2015-06-19,92.86
2015-06-26,92.78
2015-07-03,93.4
2015-07-10,92.58
2015-07-17,93.02
2015-07-24,88.27
2015-07-31,89.47
2015-08-07,89.3
2015-08-14,89.76
2015-08-21,85.22
2015-08-28,85.06
2015-09-04,81.76
2015-09-11,83.58
2015-09-18,84.78
2015-09-25,82.43
2015-10-02,82.78
2015-10-09,87.66
2015-10-16,84.32
2015-10-23,90.59
2015-10-30,91.94
2015-11-06,92.62
2015-11-13,89.41
2015-11-20,93.54
2015-11-27,93.2
2015-12-04,94.32
2015-12-11,91.46
2015-12-18,90.92
2015-12-25,94.13
2016-01-01,92.68
2016-01-08,84.02
2016-01-15,81.25
2016-01-22,82.16
2016-01-29,90.07
2016-02-05,90.41
2016-02-12,91.88
2016-02-19,95.86
2016-02-26,94.93
2016-03-04,97.73
2016-03-11,98.17
2016-03-18,101.32
2016-03-25,101.39
2016-04-01,103.44
2016-04-08,103.21
2016-04-15,104.88
2016-04-22,104.66
2016-04-29,104.52
2016-05-06,104.19
2016-05-13,102.98
2016-05-20,103.14
2016-05-27,105.34
2016-06-03,107.21
2016-06-10,108.09
2016-06-17,106.24
2016-06-24,101.69
2016-07-01,104.81
2016-07-08,108.36
2016-07-15,111.22
2016-07-22,114.58
2016-07-29,115.4
2016-08-05,116.84
2016-08-12,118.89
2016-08-19,119.64
2016-08-26,119.63
2016-09-02,121.12
2016-09-09,115.78
2016-09-16,116.19
2016-09-23,117.81
2016-09-30,119.84
2016-10-07,117.2
2016-10-14,115.89
2016-10-21,113.06
2016-10-28,113.84
2016-11-04,114.02
2016-11-11,123.91
2016-11-18,123.96
2016-11-25,125.77
2016-12-02,125.2
2016-12-09,127.02
2016-12-16,124.92
2016-12-23,124.85
2016-12-30,122.46
2017-01-06,122.88
2017-01-13,123.39
2017-01-20,123.74
2017-01-27,128.86
2017-02-03,127.21
2017-02-10,128.0
2017-02-17,130.31
2017-02-24,131.68
2017-03-03,134.33
2017-03-10,134.02
2017-03-17,135.5
2017-03-24,132.77
2017-03-31,132.47
2017-04-07,131.73
2017-04-14,130.17
2017-04-21,134.87
2017-04-28,138.09
2017-05-05,139.6
2017-05-12,137.38
2017-05-19,137.0
2017-05-26,140.37
2017-06-02,143.61
2017-06-09,144.8
2017-06-16,148.63
2017-06-23,145.78
2017-06-30,143.25
2017-07-07,146.06
2017-07-14,145.7
2017-07-21,147.29
2017-07-28,140.83
2017-08-04,142.88
2017-08-11,138.36
2017-08-18,135.67
2017-08-25,136.81
2017-09-01,137.72
2017-09-08,140.04
2017-09-15,145.64
2017-09-22,147.4
2017-09-29,147.96
2017-10-06,151.63
2017-10-13,152.82
2017-10-20,155.03
2017-10-27,159.06
2017-11-03,157.3
2017-11-10,157.14
2017-11-17,157.14
2017-11-24,159.84
2017-12-01,164.87
2017-12-08,166.49
2017-12-15,165.17
2017-12-22,167.13
2017-12-29,166.85
2018-01-05,166.03
2018-01-12,170.52
2018-01-19,172.42
2018-01-26,178.88
2018-02-02,170.38
2018-02-09,160.13
2018-02-16,162.55
2018-02-23,163.96
2018-03-02,158.56
2018-03-09,170.3
2018-03-16,170.96
2018-03-23,156.91
2018-03-30,156.66
2018-04-06,152.6
2018-04-13,155.02
2018-04-20,158.29
2018-04-27,142.57
2018-05-04,145.47
2018-05-11,145.79
2018-05-18,146.8
2018-05-25,147.43
2018-06-01,146.96
2018-06-08,147.76
2018-06-15,148.65
2018-06-22,141.46
2018-06-29,138.54
2018-07-06,139.64
2018-07-13,143.75
2018-07-20,146.86
2018-07-27,140.21
2018-08-03,139.55
2018-08-10,136.47
2018-08-17,139.43
2018-08-24,135.55
2018-08-31,138.88
2018-09-07,140.63
2018-09-14,144.89
2018-09-21,148.44
2018-09-28,141.12
2018-10-05,141.01
2018-10-12,130.67
2018-10-19,127.03
2018-10-26,124.1
2018-11-02,130.71
2018-11-09,132.56
2018-11-16,135.6
2018-11-23,134.21
2018-11-30,139.05
2018-12-07,129.47
2018-12-14,131.04
2018-12-21,124.04
2018-12-28,124.72
2019-01-04,127.18
2019-01-11,130.31
2019-01-18,136.67
2019-01-25,133.25
2019-02-01,134.43
2019-02-08,135.72
2019-02-15,144.21
2019-02-22,144.83
2019-03-01,144.41
2019-03-08,140.65
2019-03-15,143.18
2019-03-22,141.65
2019-03-29,143.53
2019-04-05,152.2
2019-04-12,156.4
2019-04-19,158.33
2019-04-26,153.59
2019-05-03,157.41
2019-05-10,152.76
2019-05-17,150.6
2019-05-24,145.72
2019-05-31,139.64
2019-06-07,151.14
2019-06-14,149.05
2019-06-21,151.93
2019-06-28,150.81
2019-07-05,147.98
2019-07-12,151.48
2019-07-19,151.28
2019-07-26,155.63
2019-08-02,151.67
2019-08-09,149.53
2019-08-16,150.22
2019-08-23,146.36
2019-08-30,149.86
2019-09-06,152.49
2019-09-13,159.77
2019-09-20,155.06
2019-09-27,154.94
2019-10-04,151.5
2019-10-11,154.53
2019-10-18,158.31
2019-10-25,171.81
2019-11-01,172.79
2019-11-08,176.41
2019-11-15,175.16
2019-11-22,173.56
2019-11-29,174.33
2019-12-06,174.19
2019-12-13,177.27
2019-12-20,180.31
2019-12-27,181.13
2020-01-03,179.11
