date,value
2015-01-02,101.04
2015-01-09,101.55
2015-01-16,101.95
2015-01-23,101.87
2015-01-30,102.87
2015-02-06,101.52
2015-02-13,101.13
2015-02-20,101.42
2015-02-27,102.01
2015-03-06,100.87
2015-03-13,101.46
2015-03-20,102.53
2015-03-27,102.6
2015-04-03,102.3
2015-04-10,102.47
2015-04-17,102.49
2015-04-24,102.87
2015-05-01,101.63
2015-05-08,101.72
2015-05-15,101.63
2015-05-22,101.26
2015-05-29,101.77
2015-06-05,100.5
2015-06-12,100.37
2015-06-19,100.97
2015-06-26,100.02
2015-07-03,99.72
2015-07-10,100.11
2015-07-17,100.06
2015-07-24,100.65
2015-07-31,100.46
2015-08-07,100.16
2015-08-14,100.4
2015-08-21,100.48
2015-08-28,100.49
2015-09-04,100.73
2015-09-11,100.4
2015-09-18,100.9
2015-09-25,100.16
2015-10-02,100.65
2015-10-09,100.47
2015-10-16,100.77
2015-10-23,100.89
2015-10-30,100.4
2015-11-06,99.75
2015-11-13,100.07
2015-11-20,100.04
2015-11-27,100.19
2015-12-04,99.87
2015-12-11,100.12
2015-12-18,100.05
2015-12-25,99.52
2016-01-01,99.18
2016-01-08,99.75
2016-01-15,99.55
2016-01-22,99.23
2016-01-29,99.91
2016-02-05,99.78
2016-02-12,100.16
2016-02-19,100.3
2016-02-26,100.63
2016-03-04,100.6
2016-03-11,100.63
2016-03-18,101.26
2016-03-25,101.22
2016-04-01,101.47
2016-04-08,101.97
2016-04-15,102.1
2016-04-22,102.04
2016-04-29,102.28
2016-05-06,102.41
2016-05-13,102.5
2016-05-20,102.03
2016-05-27,102.1
2016-06-03,102.79
2016-06-10,103.02
2016-06-17,103.01
2016-06-24,103.38
2016-07-01,103.95
2016-07-08,104.58
2016-07-15,103.79
2016-07-22,104.21
2016-07-29,52.4
2016-08-05,51.92
2016-08-12,52.19
2016-08-19,52.19
2016-08-26,52.14
2016-09-02,52.07
2016-09-09,51.74
2016-09-16,51.72
2016-09-23,52.02
2016-09-30,52.09
2016-10-07,51.74
2016-10-14,51.69
2016-10-21,51.88
2016-10-28,51.59
2016-11-04,51.53
2016-11-11,50.61
2016-11-18,50.3
2016-11-25,50.27
2016-12-02,50.08
2016-12-09,50.06
2016-12-16,49.85
2016-12-23,49.93
2016-12-30,50.27
2017-01-06,50.27
2017-01-13,50.32
2017-01-20,50.19
2017-01-27,50.2
2017-02-03,50.07
2017-02-10,50.32
2017-02-17,50.3
2017-02-24,50.66
2017-03-03,50.2
2017-03-10,49.91
2017-03-17,50.2
2017-03-24,50.36
2017-03-31,50.52
2017-04-07,50.52
2017-04-14,50.86
2017-04-21,50.89
2017-04-28,50.87
2017-05-05,50.66
2017-05-12,50.76
2017-05-19,50.9
2017-05-26,50.94
2017-06-02,51.11
2017-06-09,51.04
2017-06-16,51.16
2017-06-23,51.2
2017-06-30,50.95
2017-07-07,50.64
2017-07-14,50.92
2017-07-21,51.18
2017-07-28,51.06
2017-08-04,51.04
2017-08-11,51.11
2017-08-18,51.13
2017-08-25,51.26
2017-09-01,51.19
2017-09-08,51.39
2017-09-15,51.2
2017-09-22,51.13
2017-09-29,51.08
2017-10-06,50.92
2017-10-13,51.14
2017-10-20,50.96
2017-10-27,50.92
2017-11-03,51.01
2017-11-10,50.72
2017-11-17,50.92
2017-11-24,51.01
2017-12-01,50.84
2017-12-08,50.82
2017-12-15,50.96
2017-12-22,50.63
2017-12-29,50.87
2018-01-05,50.82
2018-01-12,50.71
2018-01-19,50.49
2018-01-26,50.54
2018-02-02,49.97
2018-02-09,49.72
2018-02-16,49.8
2018-02-23,49.72
2018-03-02,49.62
2018-03-09,49.64
2018-03-16,49.71
2018-03-23,49.7
2018-03-30,49.94
2018-04-06,49.79
2018-04-13,49.7
2018-04-20,49.42
2018-04-27,49.41
2018-05-04,49.23
