date,value
2015-01-02,93.73
2015-01-09,92.53
2015-01-16,91.14
2015-01-23,92.18
2015-01-30,89.57
2015-02-06,93.22
2015-02-13,94.7
2015-02-20,94.86
2015-02-27,94.48
2015-03-06,92.86
2015-03-13,92.22
2015-03-20,94.25
2015-03-27,91.88
2015-04-03,92.59
2015-04-10,94.3
2015-04-17,93.6
2015-04-24,94.5
2015-05-01,94.66
2015-05-08,95.16
2015-05-15,95.31
2015-05-22,95.52
2015-05-29,94.55
2015-06-05,94.03
2015-06-12,94.42
2015-06-19,94.79
2015-06-26,93.92
2015-07-03,92.73
2015-07-10,92.65
2015-07-17,93.97
2015-07-24,91.65
2015-07-31,92.62
2015-08-07,91.59
2015-08-14,92.32
2015-08-21,87.2
2015-08-28,87.46
2015-09-04,84.54
2015-09-11,86.08
2015-09-18,85.61
2015-09-25,84.34
2015-10-02,85.18
2015-10-09,88.45
2015-10-16,89.13
2015-10-23,90.47
2015-10-30,90.23
2015-11-06,91.4
2015-11-13,88.28
2015-11-20,90.82
2015-11-27,90.94
2015-12-04,90.89
2015-12-11,87.25
2015-12-18,87.14
2015-12-25,89.51
2016-01-01,88.53
2016-01-08,83.37
2016-01-15,81.62
2016-01-22,82.22
2016-01-29,84.15
2016-02-05,82.8
2016-02-12,81.89
2016-02-19,84.07
2016-02-26,85.32
2016-03-04,88.22
2016-03-11,89.37
2016-03-18,90.74
2016-03-25,89.14
2016-04-01,90.27
2016-04-08,89.09
2016-04-15,90.95
2016-04-22,92.54
2016-04-29,91.72
2016-05-06,90.92
2016-05-13,90.23
2016-05-20,90.76
2016-05-27,92.69
2016-06-03,92.75
2016-06-10,92.85
2016-06-17,92.05
2016-06-24,90.0
2016-07-01,92.92
2016-07-08,93.8
2016-07-15,95.51
2016-07-22,95.93
2016-07-29,95.37
2016-08-05,95.72
2016-08-12,95.91
2016-08-19,96.24
2016-08-26,95.57
2016-09-02,96.28
2016-09-09,94.35
2016-09-16,94.0
2016-09-23,95.18
2016-09-30,94.96
2016-10-07,94.57
2016-10-14,93.6
2016-10-21,93.76
2016-10-28,93.47
2016-11-04,92.1
2016-11-11,96.93
2016-11-18,97.94
2016-11-25,99.51
2016-12-02,99.57
2016-12-09,102.86
2016-12-16,102.57
2016-12-23,102.32
2016-12-30,101.38
2017-01-06,102.64
2017-01-13,102.18
2017-01-20,101.7
2017-01-27,102.49
2017-02-03,102.8
2017-02-10,103.5
2017-02-17,105.19
2017-02-24,105.94
2017-03-03,106.71
2017-03-10,105.86
2017-03-17,105.71
2017-03-24,103.28
2017-03-31,104.04
2017-04-07,103.66
2017-04-14,102.38
2017-04-21,102.83
2017-04-28,103.94
2017-05-05,104.42
2017-05-12,103.57
2017-05-19,103.0
2017-05-26,103.98
2017-06-02,104.52
2017-06-09,105.52
2017-06-16,105.78
2017-06-23,104.96
2017-06-30,104.96
2017-07-07,105.05
2017-07-14,105.73
2017-07-21,105.85
2017-07-28,106.2
2017-08-04,106.66
2017-08-11,104.86
2017-08-18,103.97
2017-08-25,104.75
2017-09-01,105.53
2017-09-08,104.67
2017-09-15,107.01
2017-09-22,107.66
2017-09-29,107.91
2017-10-06,109.17
2017-10-13,108.85
2017-10-20,110.02
2017-10-27,109.6
2017-11-03,109.5
2017-11-10,108.93
2017-11-17,109.02
2017-11-24,109.63
2017-12-01,112.77
2017-12-08,113.37
2017-12-15,114.03
2017-12-22,114.36
2017-12-29,114.24
2018-01-05,116.27
2018-01-12,118.32
2018-01-19,118.83
2018-01-26,121.11
2018-02-02,116.2
2018-02-09,110.11
2018-02-16,114.15
2018-02-23,114.08
2018-03-02,111.43
2018-03-09,114.83
2018-03-16,113.23
2018-03-23,106.61
2018-03-30,109.34
2018-04-06,108.22
2018-04-13,110.14
2018-04-20,110.67
2018-04-27,110.96
2018-05-04,109.24
2018-05-11,111.67
2018-05-18,111.49
2018-05-25,111.04
2018-06-01,110.97
2018-06-08,112.97
2018-06-15,112.42
2018-06-22,111.69
2018-06-29,110.13
2018-07-06,111.35
2018-07-13,112.35
2018-07-20,112.38
2018-07-27,114.02
2018-08-03,114.73
2018-08-10,114.15
2018-08-17,115.33
2018-08-24,115.91
2018-08-31,116.05
2018-09-07,115.85
2018-09-14,116.78
2018-09-21,118.53
2018-09-28,115.84
2018-10-05,116.22
2018-10-12,111.16
2018-10-19,111.97
2018-10-26,107.15
2018-11-02,110.26
2018-11-09,112.93
2018-11-16,111.87
2018-11-23,108.51
2018-11-30,112.41
2018-12-07,107.56
2018-12-14,105.42
2018-12-21,97.93
2018-12-28,100.37
2019-01-04,102.29
2019-01-11,104.84
2019-01-18,108.16
2019-01-25,108.21
2019-02-01,109.95
2019-02-08,109.71
2019-02-15,112.56
2019-02-22,113.05
2019-03-01,112.89
2019-03-08,110.41
2019-03-15,113.69
2019-03-22,111.51
2019-03-29,112.74
2019-04-05,115.6
2019-04-12,116.22
2019-04-19,116.47
2019-04-26,116.88
2019-05-03,117.48
2019-05-10,114.89
2019-05-17,113.27
2019-05-24,111.94
2019-05-31,108.5
2019-06-07,113.87
2019-06-14,114.77
2019-06-21,116.26
2019-06-28,116.57
2019-07-05,118.37
2019-07-12,119.19
2019-07-19,117.82
2019-07-26,119.8
2019-08-02,116.18
2019-08-09,115.21
2019-08-16,114.04
2019-08-23,112.29
2019-08-30,115.45
2019-09-06,117.94
2019-09-13,120.88
2019-09-20,119.99
2019-09-27,118.54
2019-10-04,117.69
2019-10-11,118.87
2019-10-18,120.08
2019-10-25,122.18
2019-11-01,123.97
2019-11-08,125.92
2019-11-15,126.67
2019-11-22,126.09
2019-11-29,127.02
2019-12-06,127.55
2019-12-13,128.7
2019-12-20,129.93
2019-12-27,130.21
2020-01-03,129.66
