date,value
2015-01-02,206.73
2015-01-09,205.65
2015-01-16,203.0
2015-01-23,206.39
2015-01-30,200.87
2015-02-06,206.95
2015-02-13,211.28
2015-02-20,212.74
2015-02-27,212.21
2015-03-06,208.98
2015-03-13,207.27
2015-03-20,212.85
2015-03-27,207.1
2015-04-03,207.76
2015-04-10,211.43
2015-04-17,209.36
2015-04-24,213.08
2015-05-01,212.12
2015-05-08,213.03
2015-05-15,213.91
2015-05-22,214.46
2015-05-29,212.58
2015-06-05,211.19
2015-06-12,211.41
2015-06-19,212.85
2015-06-26,211.17
2015-07-03,208.59
2015-07-10,208.79
2015-07-17,213.78
2015-07-24,209.25
2015-07-31,211.76
2015-08-07,209.18
2015-08-14,210.63
2015-08-21,198.81
2015-08-28,200.48
2015-09-04,193.66
2015-09-11,197.92
2015-09-18,197.55
2015-09-25,193.85
2015-10-02,196.07
2015-10-09,202.5
2015-10-16,204.33
2015-10-23,208.66
2015-10-30,209.05
2015-11-06,211.24
2015-11-13,203.67
2015-11-20,210.62
2015-11-27,210.71
2015-12-04,210.8
2015-12-11,202.89
2015-12-18,202.22
2015-12-25,206.83
2016-01-01,204.87
2016-01-08,192.83
2016-01-15,188.74
2016-01-22,191.49
2016-01-29,194.62
2016-02-05,188.85
2016-02-12,187.55
2016-02-19,192.93
2016-02-26,196.15
2016-03-04,201.48
2016-03-11,203.84
2016-03-18,206.57
2016-03-25,204.18
2016-04-01,207.97
2016-04-08,205.58
2016-04-15,208.79
2016-04-22,210.03
2016-04-29,207.46
2016-05-06,206.81
2016-05-13,205.75
2016-05-20,206.54
2016-05-27,211.3
2016-06-03,211.35
2016-06-10,211.19
2016-06-17,208.66
2016-06-24,204.49
2016-07-01,211.13
2016-07-08,213.86
2016-07-15,217.03
2016-07-22,218.47
2016-07-29,218.37
2016-08-05,219.4
2016-08-12,219.71
2016-08-19,219.82
2016-08-26,218.56
2016-09-02,219.63
2016-09-09,214.54
2016-09-16,215.62
2016-09-23,218.35
2016-09-30,217.56
2016-10-07,216.25
2016-10-14,214.29
2016-10-21,215.16
2016-10-28,213.75
2016-11-04,209.67
2016-11-11,217.73
2016-11-18,219.79
2016-11-25,222.81
2016-12-02,220.91
2016-12-09,227.85
2016-12-16,227.73
2016-12-23,227.0
2016-12-30,224.99
2017-01-06,228.64
2017-01-13,228.39
2017-01-20,228.1
2017-01-27,230.4
2017-02-03,230.79
2017-02-10,232.91
2017-02-17,236.49
2017-02-24,238.26
2017-03-03,239.97
2017-03-10,239.15
2017-03-17,239.59
2017-03-24,235.39
2017-03-31,237.27
2017-04-07,236.68
2017-04-14,234.03
2017-04-21,236.13
2017-04-28,239.56
2017-05-05,241.26
2017-05-12,240.57
2017-05-19,239.86
2017-05-26,243.23
2017-06-02,245.67
2017-06-09,244.94
2017-06-16,245.18
2017-06-23,245.85
2017-06-30,243.41
2017-07-07,243.71
2017-07-14,247.1
2017-07-21,248.55
2017-07-28,248.56
2017-08-04,249.06
2017-08-11,245.72
2017-08-18,244.25
2017-08-25,246.18
2017-09-01,249.57
2017-09-08,248.19
2017-09-15,252.14
2017-09-22,252.37
2017-09-29,252.93
2017-10-06,256.11
2017-10-13,256.63
2017-10-20,258.85
2017-10-27,259.41
2017-11-03,260.18
2017-11-10,259.81
2017-11-17,259.63
2017-11-24,262.09
2017-12-01,266.26
2017-12-08,267.3
2017-12-15,269.79
2017-12-22,269.46
2017-12-29,268.85
2018-01-05,275.33
2018-01-12,279.91
2018-01-19,282.49
2018-01-26,288.66
2018-02-02,277.53
2018-02-09,263.67
2018-02-16,275.09
2018-02-23,276.72
2018-03-02,271.2
2018-03-09,280.82
2018-03-16,277.3
2018-03-23,259.83
2018-03-30,265.37
2018-04-06,261.57
2018-04-13,266.97
2018-04-20,268.44
2018-04-27,268.39
2018-05-04,267.82
2018-05-11,274.47
2018-05-18,273.21
2018-05-25,273.98
2018-06-01,275.53
2018-06-08,280.04
2018-06-15,280.31
2018-06-22,277.89
2018-06-29,273.05
2018-07-06,277.21
2018-07-13,281.43
2018-07-20,281.62
2018-07-27,283.36
2018-08-03,285.55
2018-08-10,285.07
2018-08-17,287.04
2018-08-24,289.52
2018-08-31,292.44
2018-09-07,289.6
2018-09-14,292.91
2018-09-21,295.36
2018-09-28,292.73
2018-10-05,289.93
2018-10-12,278.03
2018-10-19,278.27
2018-10-26,267.1
2018-11-02,273.89
2018-11-09,279.96
2018-11-16,275.74
2018-11-23,265.31
2018-11-30,278.0
2018-12-07,265.6
2018-12-14,262.4
2018-12-21,242.35
2018-12-28,249.33
2019-01-04,254.06
2019-01-11,260.37
2019-01-18,268.07
2019-01-25,267.5
2019-02-01,271.7
2019-02-08,272.13
2019-02-15,279.16
2019-02-22,280.82
2019-03-01,282.31
2019-03-08,276.2
2019-03-15,284.28
2019-03-22,281.16
2019-03-29,284.56
2019-04-05,290.45
2019-04-12,292.16
2019-04-19,292.0
2019-04-26,295.47
2019-05-03,296.01
2019-05-10,290.0
2019-05-17,287.9
2019-05-24,284.76
2019-05-31,277.3
2019-06-07,289.67
2019-06-14,291.25
2019-06-21,295.57
2019-06-28,294.75
2019-07-05,300.1
2019-07-12,302.49
2019-07-19,298.9
2019-07-26,303.77
2019-08-02,294.42
2019-08-09,293.36
2019-08-16,290.58
2019-08-23,286.47
2019-08-30,294.27
2019-09-06,299.83
2019-09-13,302.87
2019-09-20,301.22
2019-09-27,297.0
2019-10-04,296.02
2019-10-11,297.89
2019-10-18,299.6
2019-10-25,303.31
2019-11-01,307.95
2019-11-08,310.67
2019-11-15,313.61
2019-11-22,312.74
2019-11-29,316.06
2019-12-06,316.64
2019-12-13,319.08
2019-12-20,322.38
2019-12-27,324.26
2020-01-03,323.81
