date,value
2015-01-02,114.55
2015-01-09,113.93
2015-01-16,112.52
2015-01-23,114.45
2015-01-30,111.55
2015-02-06,114.95
2015-02-13,117.32
2015-02-20,118.25
2015-02-27,117.86
2015-03-06,116.21
2015-03-13,115.4
2015-03-20,118.57
2015-03-27,115.47
2015-04-03,115.91
2015-04-10,117.83
2015-04-17,116.64
2015-04-24,118.66
2015-05-01,117.94
2015-05-08,118.46
2015-05-15,119.02
2015-05-22,119.3
2015-05-29,118.275
2015-06-05,117.58
2015-06-12,117.75
2015-06-19,118.59
2015-06-26,118.12
2015-07-03,116.21
2015-07-10,116.3
2015-07-17,118.85
2015-07-24,116.32
2015-07-31,117.73
2015-08-07,116.31
2015-08-14,117.14
2015-08-21,110.59
2015-08-28,111.49
2015-09-04,107.85
2015-09-11,110.15
2015-09-18,110.06
2015-09-25,107.88
2015-10-02,108.86
2015-10-09,112.5
2015-10-16,113.31
2015-10-23,115.47
2015-10-30,115.73
2015-11-06,116.89
2015-11-13,112.72
2015-11-20,116.38
2015-11-27,116.69
2015-12-04,116.56
2015-12-11,112.17
2015-12-18,111.81
2015-12-25,114.32
2016-01-01,113.31
2016-01-08,106.59
2016-01-15,103.98
2016-01-22,105.44
2016-01-29,107.15
2016-02-05,103.9
2016-02-12,102.94
2016-02-19,106.11
2016-02-26,108.02
2016-03-04,111.17
2016-03-11,112.38
2016-03-18,113.96
2016-03-25,112.62
2016-04-01,114.74
2016-04-08,113.43
2016-04-15,115.37
2016-04-22,116.12
2016-04-29,114.67
2016-05-06,114.17
2016-05-13,113.62
2016-05-20,114.08
2016-05-27,116.73
2016-06-03,116.91
2016-06-10,116.73
2016-06-17,115.36
2016-06-24,113.47
2016-07-01,117.15
2016-07-08,118.09
2016-07-15,119.77
2016-07-22,120.63
2016-07-29,120.66
2016-08-05,121.18
2016-08-12,121.37
2016-08-19,121.43
2016-08-26,120.67
2016-09-02,121.47
2016-09-09,118.62
2016-09-16,119.19
2016-09-23,120.73
2016-09-30,120.46
2016-10-07,119.67
2016-10-14,118.47
2016-10-21,118.99
2016-10-28,118.04
2016-11-04,115.92
2016-11-11,120.33
2016-11-18,121.75
2016-11-25,123.48
2016-12-02,122.36
2016-12-09,126.24
2016-12-16,126.06
2016-12-23,125.67
2016-12-30,124.46
2017-01-06,126.68
2017-01-13,126.58
2017-01-20,126.37
2017-01-27,127.66
2017-02-03,127.96
2017-02-10,129.12
2017-02-17,131.11
2017-02-24,131.94
2017-03-03,132.8
2017-03-10,132.16
2017-03-17,132.58
2017-03-24,130.15
2017-03-31,131.25
2017-04-07,130.9
2017-04-14,129.47
2017-04-21,130.69
2017-04-28,132.61
2017-05-05,133.44
2017-05-12,132.96
2017-05-19,132.59
2017-05-26,134.47
2017-06-02,135.85
2017-06-09,135.46
2017-06-16,135.68
2017-06-23,135.92
2017-06-30,135.27
2017-07-07,134.67
2017-07-14,136.59
2017-07-21,137.34
2017-07-28,137.32
2017-08-04,137.55
2017-08-11,135.63
2017-08-18,134.84
2017-08-25,135.95
2017-09-01,137.97
2017-09-08,137.11
2017-09-15,139.3
2017-09-22,139.49
2017-09-29,139.88
2017-10-06,141.76
2017-10-13,141.99
2017-10-20,143.12
2017-10-27,143.43
2017-11-03,143.84
2017-11-10,143.58
2017-11-17,143.63
2017-11-24,145.02
2017-12-01,147.21
2017-12-08,147.76
2017-12-15,148.94
2017-12-22,148.95
2017-12-29,148.61
2018-01-05,152.15
2018-01-12,154.67
2018-01-19,156.02
2018-01-26,159.28
2018-02-02,153.25
2018-02-09,145.49
2018-02-16,151.93
2018-02-23,152.73
2018-03-02,149.81
2018-03-09,155.2
2018-03-16,153.39
2018-03-23,143.9
2018-03-30,146.86
2018-04-06,144.79
2018-04-13,147.7
2018-04-20,148.55
2018-04-27,148.48
2018-05-04,148.21
2018-05-11,151.86
2018-05-18,151.29
2018-05-25,151.75
2018-06-01,152.6
2018-06-08,155.2
2018-06-15,155.37
2018-06-22,153.99
2018-06-29,151.98
2018-07-06,153.68
2018-07-13,155.93
2018-07-20,156.02
2018-07-27,156.68
2018-08-03,157.9
2018-08-10,157.78
2018-08-17,158.79
2018-08-24,160.3
2018-08-31,161.83
2018-09-07,160.25
2018-09-14,162.21
2018-09-21,163.29
2018-09-28,161.71
2018-10-05,159.89
2018-10-12,153.17
2018-10-19,153.23
2018-10-26,147.18
2018-11-02,151.06
2018-11-09,154.08
2018-11-16,151.82
2018-11-23,146.33
2018-11-30,153.13
2018-12-07,146.38
2018-12-14,144.49
2018-12-21,133.43
2018-12-28,137.31
2019-01-04,139.93
2019-01-11,143.87
2019-01-18,148.03
2019-01-25,147.83
2019-02-01,150.31
2019-02-08,150.66
2019-02-15,154.52
2019-02-22,155.55
2019-03-01,156.28
2019-03-08,152.81
2019-03-15,157.26
2019-03-22,155.29
2019-03-29,157.31
2019-04-05,160.57
2019-04-12,161.55
2019-04-19,161.28
2019-04-26,163.27
2019-05-03,163.61
2019-05-10,160.33
2019-05-17,158.97
2019-05-24,157.2
2019-05-31,153.15
2019-06-07,159.85
2019-06-14,160.75
2019-06-21,163.27
2019-06-28,162.79
2019-07-05,165.79
2019-07-12,167.14
2019-07-19,165.18
2019-07-26,167.98
2019-08-02,162.63
2019-08-09,162.04
2019-08-16,160.42
2019-08-23,158.16
2019-08-30,162.36
2019-09-06,165.35
2019-09-13,166.91
2019-09-20,166.15
2019-09-27,163.68
2019-10-04,163.21
2019-10-11,164.29
2019-10-18,165.14
2019-10-25,167.17
2019-11-01,169.67
2019-11-08,171.17
2019-11-15,172.87
2019-11-22,172.5
2019-11-29,174.39
2019-12-06,174.55
2019-12-13,175.77
2019-12-20,177.97
2019-12-27,178.93
2020-01-03,178.82
