date,value
2015-01-02,76.78
2015-01-09,76.11
2015-01-16,75.06
2015-01-23,75.18
2015-01-30,73.82
2015-02-06,75.64
2015-02-13,76.92
2015-02-20,77.5
2015-02-27,77.7
2015-03-06,77.74
2015-03-13,78.61
2015-03-20,80.49
2015-03-27,78.36
2015-04-03,79.56
2015-04-10,80.18
2015-04-17,79.98
2015-04-24,81.09
2015-05-01,78.11
2015-05-08,78.11
2015-05-15,78.74
2015-05-22,79.16
2015-05-29,79.58
2015-06-05,81.4
2015-06-12,82.05
2015-06-19,83.32
2015-06-26,83.24
2015-07-03,80.51
2015-07-10,80.65
2015-07-17,81.59
2015-07-24,78.14
2015-07-31,78.33
2015-08-07,76.46
2015-08-14,76.38
2015-08-21,73.53
2015-08-28,74.08
2015-09-04,73.11
2015-09-11,74.4
2015-09-18,75.24
2015-09-25,71.59
2015-10-02,70.42
2015-10-09,74.035
2015-10-16,74.12
2015-10-23,74.36
2015-10-30,73.6
2015-11-06,76.48
2015-11-13,73.06
2015-11-20,74.27
2015-11-27,76.55
2015-12-04,75.31
2015-12-11,71.24
2015-12-18,71.61
2015-12-25,73.31
2016-01-01,72.1
2016-01-08,66.06
2016-01-15,63.05
2016-01-22,63.94
2016-01-29,64.7
2016-02-05,61.34
2016-02-12,60.36
2016-02-19,62.59
2016-02-26,63.77
2016-03-04,66.45
2016-03-11,66.89
2016-03-18,67.41
2016-03-25,65.99
2016-04-01,68.41
2016-04-08,67.45
2016-04-15,69.79
2016-04-22,71.22
2016-04-29,70.13
2016-05-06,68.57
2016-05-13,67.78
2016-05-20,68.4
2016-05-27,70.72
2016-06-03,71.61
2016-06-10,71.72
2016-06-17,70.5
2016-06-24,69.58
2016-07-01,71.3399
2016-07-08,72.13
2016-07-15,73.72
2016-07-22,73.9
2016-07-29,73.99
2016-08-05,74.89
2016-08-12,75.17
2016-08-19,75.65
2016-08-26,75.87
2016-09-02,76.7999
2016-09-09,75.49
2016-09-16,76.195
2016-09-23,78.18
2016-09-30,78.01
2016-10-07,77.33
2016-10-14,75.7
2016-10-21,75.9134
2016-10-28,73.51
2016-11-04,71.64
2016-11-11,80.16
2016-11-18,82.4
2016-11-25,84.33
2016-12-02,82.17
2016-12-09,87.13
2016-12-16,86.09
2016-12-23,86.55
2016-12-30,85.84
2017-01-06,86.03
2017-01-13,85.83
2017-01-20,84.19
2017-01-27,85.49
2017-02-03,85.27
2017-02-10,85.36
2017-02-17,86.25
2017-02-24,85.49
2017-03-03,85.61
2017-03-10,83.72
2017-03-17,85.57
2017-03-24,83.15
2017-03-31,85.65
2017-04-07,84.05
2017-04-14,83.11
2017-04-21,85.07
2017-04-28,86.55
2017-05-05,86.26
2017-05-12,85.87
2017-05-19,84.6
2017-05-26,85.33
2017-06-02,86.93
2017-06-09,87.88
2017-06-16,87.29
2017-06-23,88.28
2017-06-30,88.93
2017-07-07,88.81
2017-07-14,89.28
2017-07-21,89.18
2017-07-28,88.56
2017-08-04,87.21
2017-08-11,84.625
2017-08-18,83.92
2017-08-25,85.52
2017-09-01,87.97
2017-09-08,87.39
2017-09-15,89.75
2017-09-22,91.03
2017-09-29,94.45
2017-10-06,96.32
2017-10-13,95.58
2017-10-20,95.27
2017-10-27,94.77
2017-11-03,93.83
2017-11-10,92.12
2017-11-17,93.23
2017-11-24,95.14
2017-12-01,96.02
2017-12-08,94.43
2017-12-15,95.37
2017-12-22,96.04
2017-12-29,95.71
2018-01-05,97.29
2018-01-12,99.49
2018-01-19,99.56
2018-01-26,99.99
2018-02-02,95.98
2018-02-09,92.71
2018-02-16,96.32
2018-02-23,96.81
2018-03-02,96.75
2018-03-09,100.89
2018-03-16,99.82
2018-03-23,96.33
2018-03-30,96.05
2018-04-06,95.06
2018-04-13,97.52
2018-04-20,99.01
2018-04-27,98.23
2018-05-04,99.41
2018-05-11,101.41
2018-05-18,103.63
2018-05-25,103.63
2018-06-01,105.16
2018-06-08,106.75
2018-06-15,107.6
2018-06-22,108.5
2018-06-29,105.62
2018-07-06,108.87
2018-07-13,107.57
2018-07-20,107.68
2018-07-27,105.1
2018-08-03,105.52
2018-08-10,106.27
2018-08-17,106.27
2018-08-24,108.79
2018-08-31,109.91
2018-09-07,107.78
2018-09-14,107.01
2018-09-21,107.13
2018-09-28,106.305
2018-10-05,101.77
2018-10-12,97.02
2018-10-19,96.55
2018-10-26,92.88
2018-11-02,96.63
2018-11-09,95.86
2018-11-16,93.78
2018-11-23,92.15
2018-11-30,94.18
2018-12-07,89.65
2018-12-14,86.6901
2018-12-21,78.73
2018-12-28,81.75
2019-01-04,85.6
2019-01-11,88.73
2019-01-18,90.58
2019-01-25,90.38
2019-02-01,91.16
2019-02-08,91.5
2019-02-15,95.56
2019-02-22,97.0
2019-03-01,96.85
2019-03-08,92.65
2019-03-15,94.57
2019-03-22,91.5
2019-03-29,92.76
2019-04-05,95.46
2019-04-12,94.92
2019-04-19,93.03
2019-04-26,94.945
2019-05-03,96.35
2019-05-10,94.58
2019-05-17,92.75
2019-05-24,91.33
2019-05-31,88.17
2019-06-07,90.13
2019-06-14,90.53
2019-06-21,91.63
2019-06-28,93.19
2019-07-05,93.65
2019-07-12,93.28
2019-07-19,91.15
2019-07-26,92.64
2019-08-02,89.72
2019-08-09,87.75
2019-08-16,86.84
2019-08-23,84.72
2019-08-30,86.4
2019-09-06,87.13
2019-09-13,93.04
2019-09-20,91.58
2019-09-27,88.38
2019-10-04,86.58
2019-10-11,86.82
2019-10-18,88.32
2019-10-25,90.04
2019-11-01,91.96
2019-11-08,92.35
2019-11-15,92.025
2019-11-22,91.96
2019-11-29,94.61
2019-12-06,95.36
2019-12-13,96.99
2019-12-20,99.0
2019-12-27,99.31
2020-01-03,98.67
