date,value
2015-01-02,104.43
2015-01-09,103.51
2015-01-16,102.18
2015-01-23,103.42
2015-01-30,100.28
2015-02-06,103.69
2015-02-13,105.39
2015-02-20,105.67
2015-02-27,105.06
2015-03-06,103.25
2015-03-13,102.76
2015-03-20,105.28
2015-03-27,102.49
2015-04-03,103.07
2015-04-10,104.67
2015-04-17,104.0
2015-04-24,105.06
2015-05-01,104.9
2015-05-08,105.49
2015-05-15,105.78
2015-05-22,106.02
2015-05-29,105.28
2015-06-05,104.64
2015-06-12,104.96
2015-06-19,105.41
2015-06-26,105.01
2015-07-03,102.95
2015-07-10,102.61
2015-07-17,104.05
2015-07-24,101.68
2015-07-31,102.91
2015-08-07,101.82
2015-08-14,102.79
2015-08-21,97.01
2015-08-28,97.23
2015-09-04,93.92
2015-09-11,95.36
2015-09-18,94.97
2015-09-25,93.57
2015-10-02,94.75
2015-10-09,98.55
2015-10-16,99.23
2015-10-23,100.64
2015-10-30,100.29
2015-11-06,101.58
2015-11-13,98.11
2015-11-20,100.77
2015-11-27,100.95
2015-12-04,100.71
2015-12-11,96.62
2015-12-18,96.37
2015-12-25,98.82
2016-01-01,97.86
2016-01-08,91.98
2016-01-15,89.9
2016-01-22,90.39
2016-01-29,92.69
2016-02-05,90.6
2016-02-12,89.46
2016-02-19,91.88
2016-02-26,93.5
2016-03-04,96.84
2016-03-11,98.1
2016-03-18,99.49
2016-03-25,97.84
2016-04-01,99.26
2016-04-08,97.95
2016-04-15,99.95
2016-04-22,101.59
2016-04-29,100.89
2016-05-06,99.99
2016-05-13,99.55
2016-05-20,100.32
2016-05-27,102.53
2016-06-03,102.48
2016-06-10,102.54
2016-06-17,101.69
2016-06-24,100.05
2016-07-01,103.34
2016-07-08,103.61
2016-07-15,105.53
2016-07-22,105.93
2016-07-29,105.58
2016-08-05,105.95
2016-08-12,106.12
2016-08-19,106.45
2016-08-26,105.86
2016-09-02,106.9
2016-09-09,104.65
2016-09-16,104.4
2016-09-23,105.76
2016-09-30,105.62
2016-10-07,105.15
2016-10-14,104.05
2016-10-21,104.21
2016-10-28,103.9
2016-11-04,102.2
2016-11-11,107.07
2016-11-18,108.43
2016-11-25,110.06
2016-12-02,110.05
2016-12-09,113.75
2016-12-16,113.4
2016-12-23,113.01
2016-12-30,112.03
2017-01-06,113.29
2017-01-13,112.81
2017-01-20,112.53
2017-01-27,113.37
2017-02-03,113.7
2017-02-10,114.34
2017-02-17,116.05
2017-02-24,116.75
2017-03-03,117.52
2017-03-10,116.5
2017-03-17,116.63
2017-03-24,113.97
2017-03-31,114.94
2017-04-07,114.61
2017-04-14,113.11
2017-04-21,113.62
2017-04-28,114.72
2017-05-05,115.08
2017-05-12,114.21
2017-05-19,113.91
2017-05-26,114.99
2017-06-02,115.54
2017-06-09,116.37
2017-06-16,116.8
2017-06-23,115.9
2017-06-30,116.43
2017-07-07,115.59
2017-07-14,116.48
2017-07-21,116.76
2017-07-28,117.03
2017-08-04,117.31
2017-08-11,115.26
2017-08-18,114.28
2017-08-25,115.23
2017-09-01,116.24
2017-09-08,115.23
2017-09-15,117.66
2017-09-22,118.25
2017-09-29,118.51
2017-10-06,119.93
2017-10-13,119.6
2017-10-20,120.64
2017-10-27,120.0
2017-11-03,119.87
2017-11-10,119.35
2017-11-17,119.3
2017-11-24,119.89
2017-12-01,123.11
2017-12-08,123.5
2017-12-15,124.16
2017-12-22,124.46
2017-12-29,124.34
2018-01-05,126.28
2018-01-12,128.35
2018-01-19,129.05
2018-01-26,131.54
2018-02-02,126.45
2018-02-09,119.83
2018-02-16,124.61
2018-02-23,124.52
2018-03-02,122.08
2018-03-09,125.98
2018-03-16,124.38
2018-03-23,117.01
2018-03-30,119.96
2018-04-06,118.5
2018-04-13,120.67
2018-04-20,121.37
2018-04-27,121.46
2018-05-04,119.88
2018-05-11,122.69
2018-05-18,122.27
2018-05-25,121.96
2018-06-01,121.99
2018-06-08,124.05
2018-06-15,123.28
2018-06-22,122.48
2018-06-29,121.38
2018-07-06,122.11
2018-07-13,123.02
2018-07-20,123.07
2018-07-27,124.69
2018-08-03,125.6
2018-08-10,124.98
2018-08-17,126.19
2018-08-24,126.82
2018-08-31,127.1
2018-09-07,126.6
2018-09-14,127.7
2018-09-21,129.51
2018-09-28,126.62
2018-10-05,126.8
2018-10-12,121.22
2018-10-19,122.17
2018-10-26,117.27
2018-11-02,120.81
2018-11-09,123.56
2018-11-16,122.67
2018-11-23,119.31
2018-11-30,123.48
2018-12-07,118.29
2018-12-14,116.15
2018-12-21,107.83
2018-12-28,110.08
2019-01-04,112.36
2019-01-11,115.09
2019-01-18,118.35
2019-01-25,117.93
2019-02-01,119.94
2019-02-08,119.58
2019-02-15,122.91
2019-02-22,123.72
2019-03-01,124.04
2019-03-08,121.35
2019-03-15,124.54
2019-03-22,121.99
2019-03-29,123.49
2019-04-05,125.77
2019-04-12,126.57
2019-04-19,126.21
2019-04-26,126.95
2019-05-03,127.56
2019-05-10,125.32
2019-05-17,124.29
2019-05-24,123.36
2019-05-31,119.57
2019-06-07,124.95
2019-06-14,125.59
2019-06-21,127.38
2019-06-28,127.22
2019-07-05,129.16
2019-07-12,129.68
2019-07-19,128.24
2019-07-26,130.04
2019-08-02,126.15
2019-08-09,125.02
2019-08-16,123.4
2019-08-23,121.44
2019-08-30,124.58
2019-09-06,127.18
2019-09-13,130.25
2019-09-20,129.52
2019-09-27,127.97
2019-10-04,126.48
2019-10-11,127.09
2019-10-18,127.99
2019-10-25,129.88
2019-11-01,131.53
2019-11-08,133.12
2019-11-15,133.61
2019-11-22,133.26
2019-11-29,134.08
2019-12-06,134.67
2019-12-13,135.47
2019-12-20,136.32
2019-12-27,136.65
2020-01-03,136.11
