date,value
2015-01-02,46.74
2015-01-09,46.55
2015-01-16,45.85
2015-01-23,46.6588
2015-01-30,45.238
2015-02-06,46.68
2015-02-13,47.61
2015-02-20,47.95
2015-02-27,47.9
2015-03-06,47.306
2015-03-13,46.52
2015-03-20,47.9
2015-03-27,46.57
2015-04-03,46.61
2015-04-10,47.58
2015-04-17,47.04
2015-04-24,48.02
2015-05-01,47.79
2015-05-08,48.1299
2015-05-15,48.2599
2015-05-22,48.439
2015-05-29,47.98
2015-06-05,47.71
2015-06-12,47.71
2015-06-19,48.086
2015-06-26,48.0
2015-07-03,47.2117
2015-07-10,47.2363
2015-07-17,48.57
2015-07-24,47.43
2015-07-31,48.02
2015-08-07,47.34
2015-08-14,47.68
2015-08-21,44.94
2015-08-28,45.3
2015-09-04,43.7853
2015-09-11,44.63
2015-09-18,44.81
2015-09-25,43.91
2015-10-02,44.42
2015-10-09,45.7399
2015-10-16,46.34
2015-10-23,47.44
2015-10-30,47.51
2015-11-06,48.04
2015-11-13,46.592
2015-11-20,47.9855
2015-11-27,47.9299
2015-12-04,47.9101
2015-12-11,46.26
2015-12-18,46.34
2015-12-25,47.24
2016-01-01,46.9899
2016-01-08,44.0
2016-01-15,43.1218
2016-01-22,43.6
2016-01-29,44.4299
2016-02-05,42.92
2016-02-12,42.7401
2016-02-19,43.879
2016-02-26,44.66
2016-03-04,45.63
2016-03-11,46.23
2016-03-18,46.9
2016-03-25,46.28
2016-04-01,47.1299
2016-04-08,46.5601
2016-04-15,47.42
2016-04-22,47.6201
2016-04-29,46.97
2016-05-06,46.75
2016-05-13,46.6728
2016-05-20,46.8
2016-05-27,47.778
2016-06-03,47.8854
2016-06-10,47.79
2016-06-17,47.2
2016-06-24,46.5003
2016-07-01,47.9301
2016-07-08,48.25
2016-07-15,49.0067
2016-07-22,49.301
2016-07-29,49.285
2016-08-05,49.5451
2016-08-12,49.6301
2016-08-19,49.567
2016-08-26,49.144
2016-09-02,49.55
2016-09-09,48.54
2016-09-16,48.84
2016-09-23,49.3433
2016-09-30,49.3491
2016-10-07,49.08
2016-10-14,48.6
2016-10-21,48.8
2016-10-28,48.66
2016-11-04,47.5497
2016-11-11,49.21
2016-11-18,49.76
2016-11-25,50.39
2016-12-02,49.93
2016-12-09,51.42
2016-12-16,51.515
2016-12-23,51.41
2016-12-30,50.935
2017-01-06,51.9
2017-01-13,51.7413
2017-01-20,51.635
2017-01-27,52.2
2017-02-03,52.3006
2017-02-10,52.7273
2017-02-17,53.5501
2017-02-24,53.9247
2017-03-03,54.56
2017-03-10,54.448
2017-03-17,54.59
2017-03-24,53.355
2017-03-31,53.91
2017-04-07,53.935
2017-04-14,53.2698
2017-04-21,53.5584
2017-04-28,54.53
2017-05-05,54.84
2017-05-12,54.6901
2017-05-19,54.53
2017-05-26,55.33
2017-06-02,55.8297
2017-06-09,55.7899
2017-06-16,55.73
2017-06-23,55.9848
2017-06-30,55.69
2017-07-07,55.42
2017-07-14,56.19
2017-07-21,56.49
2017-07-28,56.5394
2017-08-04,56.73
2017-08-11,56.14
2017-08-18,55.77
2017-08-25,56.16
2017-09-01,56.99
2017-09-08,56.69
2017-09-15,57.56
2017-09-22,57.57
2017-09-29,57.66
2017-10-06,58.42
2017-10-13,58.54
2017-10-20,59.0197
2017-10-27,59.359
2017-11-03,59.55
2017-11-10,59.485
2017-11-17,59.3065
2017-11-24,59.91
2017-12-01,60.7262
2017-12-08,61.009
2017-12-15,61.8391
2017-12-22,61.6699
2017-12-29,61.47
2018-01-05,63.07
2018-01-12,64.04
2018-01-19,64.672
2018-01-26,66.16
2018-02-02,63.77
2018-02-09,60.41
2018-02-16,63.25
2018-02-23,63.4
2018-03-02,62.382
2018-03-09,64.3254
2018-03-16,63.55
2018-03-23,59.5107
2018-03-30,60.74
2018-04-06,59.88
2018-04-13,61.1274
2018-04-20,61.244
2018-04-27,61.4
2018-05-04,61.365
2018-05-11,62.89
2018-05-18,62.6396
2018-05-25,62.89
2018-06-01,63.24
2018-06-08,64.3372
2018-06-15,64.3179
2018-06-22,63.84
2018-06-29,63.04
2018-07-06,63.67
2018-07-13,64.78
2018-07-20,64.775
2018-07-27,65.12
2018-08-03,65.7622
2018-08-10,65.6
2018-08-17,66.03
2018-08-24,66.65
2018-08-31,67.28
2018-09-07,66.6108
2018-09-14,67.48
2018-09-21,68.1782
2018-09-28,67.58
2018-10-05,67.15
2018-10-12,64.37
2018-10-19,64.47
2018-10-26,61.95
2018-11-02,63.28
2018-11-09,64.76
2018-11-16,63.6828
2018-11-23,61.2425
2018-11-30,64.23
2018-12-07,61.46
2018-12-14,60.6296
2018-12-21,56.02
2018-12-28,57.97
2019-01-04,58.98
2019-01-11,60.23
2019-01-18,62.01
2019-01-25,61.7
2019-02-01,62.77
2019-02-08,62.7
2019-02-15,64.3
2019-02-22,64.71
2019-03-01,65.01
2019-03-08,63.72
2019-03-15,65.6518
2019-03-22,64.98
2019-03-29,65.6228
2019-04-05,66.99
2019-04-12,67.2886
2019-04-19,67.43
2019-04-26,68.27
2019-05-03,68.35
2019-05-10,66.94
2019-05-17,66.54
2019-05-24,65.69
2019-05-31,63.94
2019-06-07,66.7508
2019-06-14,67.12
2019-06-21,68.3481
2019-06-28,68.03
2019-07-05,69.1752
2019-07-12,69.92
2019-07-19,69.1135
2019-07-26,70.252
2019-08-02,68.0848
2019-08-09,67.79
2019-08-16,67.17
2019-08-23,66.0688
2019-08-30,68.1
2019-09-06,69.31
2019-09-13,69.945
2019-09-20,69.7535
2019-09-27,68.4975
2019-10-04,68.49
2019-10-11,68.9715
2019-10-18,69.32
2019-10-25,70.12
2019-11-01,71.2443
2019-11-08,72.015
2019-11-15,72.6922
2019-11-22,72.57
2019-11-29,73.4
2019-12-06,73.51
2019-12-13,74.0884
2019-12-20,74.87
2019-12-27,75.4016
2020-01-03,75.3635
