date,value
2015-01-02,101.18
2015-01-09,99.32
2015-01-16,98.93
2015-01-23,99.73
2015-01-30,97.35
2015-02-06,101.09
2015-02-13,101.9
2015-02-20,101.9
2015-02-27,101.87
2015-03-06,100.08
2015-03-13,101.61
2015-03-20,104.24
2015-03-27,102.19
2015-04-03,103.77
2015-04-10,103.79
2015-04-17,102.71
2015-04-24,103.78
2015-05-01,101.31
2015-05-08,101.57
2015-05-15,102.17
2015-05-22,102.33
2015-05-29,101.75
2015-06-05,102.63
2015-06-12,103.36
2015-06-19,104.34
2015-06-26,104.43
2015-07-03,101.11
2015-07-10,100.95
2015-07-17,101.34
2015-07-24,97.62
2015-07-31,98.52
2015-08-07,96.51
2015-08-14,97.48
2015-08-21,93.76
2015-08-28,93.5
2015-09-04,91.48
2015-09-11,92.9
2015-09-18,92.98
2015-09-25,91.28
2015-10-02,90.82
2015-10-09,96.06
2015-10-16,95.64
2015-10-23,96.22
2015-10-30,95.07
2015-11-06,97.98
2015-11-13,93.86
2015-11-20,96.08
2015-11-27,98.02
2015-12-04,96.47
2015-12-11,91.47
2015-12-18,91.22
2015-12-25,93.66
2016-01-01,91.94
2016-01-08,85.69
2016-01-15,82.52
2016-01-22,83.38
2016-01-29,85.92
2016-02-05,82.78
2016-02-12,81.84
2016-02-19,84.53
2016-02-26,86.59
2016-03-04,90.78
2016-03-11,91.62
2016-03-18,93.12
2016-03-25,90.73
2016-04-01,93.31
2016-04-08,91.23
2016-04-15,94.36
2016-04-22,95.56
2016-04-29,95.17
2016-05-06,94.6
2016-05-13,93.5
2016-05-20,93.97
2016-05-27,96.77
2016-06-03,97.48
2016-06-10,97.98
2016-06-17,96.66
2016-06-24,95.34
2016-07-01,97.64
2016-07-08,98.26
2016-07-15,101.37
2016-07-22,101.61
2016-07-29,101.88
2016-08-05,103.06
2016-08-12,102.85
2016-08-19,103.86
2016-08-26,104.01
2016-09-02,105.22
2016-09-09,102.52
2016-09-16,102.25
2016-09-23,104.96
2016-09-30,104.75
2016-10-07,103.5
2016-10-14,102.19
2016-10-21,102.99
2016-10-28,100.98
2016-11-04,99.38
2016-11-11,109.72
2016-11-18,113.16
2016-11-25,116.18
2016-12-02,114.82
2016-12-09,121.97
2016-12-16,119.61
2016-12-23,119.88
2016-12-30,118.94
2017-01-06,119.34
2017-01-13,119.0
2017-01-20,117.51
2017-01-27,119.23
2017-02-03,119.42
2017-02-10,119.99
2017-02-17,120.89
2017-02-24,120.55
2017-03-03,119.96
2017-03-10,116.81
2017-03-17,119.23
2017-03-24,115.13
2017-03-31,118.16
2017-04-07,116.56
2017-04-14,114.63
2017-04-21,117.59
2017-04-28,118.6
2017-05-05,118.22
2017-05-12,116.46
2017-05-19,115.1
2017-05-26,116.22
2017-06-02,117.52
2017-06-09,120.35
2017-06-16,118.95
2017-06-23,117.77
2017-06-30,118.87
2017-07-07,118.26
2017-07-14,118.84
2017-07-21,119.47
2017-07-28,119.26
2017-08-04,118.26
2017-08-11,114.31
2017-08-18,112.83
2017-08-25,114.85
2017-09-01,116.93
2017-09-08,115.48
2017-09-15,118.79
2017-09-22,120.71
2017-09-29,124.12
2017-10-06,125.27
2017-10-13,125.07
2017-10-20,125.43
2017-10-27,125.09
2017-11-03,123.59
2017-11-10,121.65
2017-11-17,123.1
2017-11-24,124.78
2017-12-01,127.4
2017-12-08,125.86
2017-12-15,126.25
2017-12-22,126.44
2017-12-29,125.75
2018-01-05,127.17
2018-01-12,130.13
2018-01-19,130.26
2018-01-26,129.95
2018-02-02,125.18
2018-02-09,119.83
2018-02-16,124.46
2018-02-23,124.43
2018-03-02,122.35
2018-03-09,126.96
2018-03-16,126.37
2018-03-23,119.82
2018-03-30,121.88
2018-04-06,121.41
2018-04-13,123.7
2018-04-20,125.14
2018-04-27,125.29
2018-05-04,125.86
2018-05-11,128.71
2018-05-18,130.44
2018-05-25,130.92
2018-06-01,132.15
2018-06-08,134.39
2018-06-15,133.63
2018-06-22,134.84
2018-06-29,131.92
2018-07-06,135.02
2018-07-13,133.97
2018-07-20,134.39
2018-07-27,132.73
2018-08-03,133.81
2018-08-10,134.12
2018-08-17,135.14
2018-08-24,136.84
2018-08-31,136.87
2018-09-07,134.97
2018-09-14,135.31
2018-09-21,135.43
2018-09-28,133.0
2018-10-05,129.82
2018-10-12,123.59
2018-10-19,123.64
2018-10-26,119.01
2018-11-02,123.46
2018-11-09,124.28
2018-11-16,123.01
2018-11-23,120.32
2018-11-30,123.06
2018-12-07,116.83
2018-12-14,113.51
