date,value
2015-01-02,141.41
2015-01-09,140.98
2015-01-16,139.45
2015-01-23,141.61
2015-01-30,139.111
2015-02-06,143.62
2015-02-13,146.77
2015-02-20,148.65
2015-02-27,149.15
2015-03-06,148.16
2015-03-13,149.6
2015-03-20,153.95
2015-03-27,150.05
2015-04-03,151.47
2015-04-10,153.72
2015-04-17,152.31
2015-04-24,154.28
2015-05-01,148.44
2015-05-08,149.73
2015-05-15,151.26
2015-05-22,153.02
2015-05-29,152.4
2015-06-05,154.79
2015-06-12,155.13
2015-06-19,158.11
2015-06-26,157.11
2015-07-03,153.37
2015-07-10,154.42
2015-07-17,157.86
2015-07-24,153.22
2015-07-31,154.95
2015-08-07,150.6
2015-08-14,150.33
2015-08-21,142.73
2015-08-28,144.45
2015-09-04,140.8
2015-09-11,144.36
2015-09-18,145.62
2015-09-25,137.63
2015-10-02,136.36
2015-10-09,141.16
2015-10-16,141.01
2015-10-23,141.19
2015-10-30,141.55
2015-11-06,146.9
2015-11-13,140.21
2015-11-20,143.81
2015-11-27,147.82
2015-12-04,145.68
2015-12-11,138.54
2015-12-18,138.01
2015-12-25,141.45
2016-01-01,139.28
2016-01-08,127.29
2016-01-15,122.66
2016-01-22,124.51
2016-01-29,124.52
2016-02-05,117.25
2016-02-12,115.17
2016-02-19,120.53
2016-02-26,124.3
2016-03-04,129.14
2016-03-11,129.05
2016-03-18,130.37
2016-03-25,127.79
2016-04-01,133.63
2016-04-08,131.86
2016-04-15,135.4
2016-04-22,137.47
2016-04-29,134.07
2016-05-06,131.2
2016-05-13,129.86
2016-05-20,131.78
2016-05-27,137.08
2016-06-03,139.39
2016-06-10,138.82
2016-06-17,135.98
2016-06-24,133.79
2016-07-01,137.74
2016-07-08,140.36
2016-07-15,142.89
2016-07-22,144.22
2016-07-29,145.48
2016-08-05,146.72
2016-08-12,146.68
2016-08-19,147.01
2016-08-26,147.12
2016-09-02,148.91
2016-09-09,144.94
2016-09-16,146.5
2016-09-23,150.07
2016-09-30,148.9
2016-10-07,147.28
2016-10-14,143.47
2016-10-21,143.82
2016-10-28,139.41
2016-11-04,136.31
2016-11-11,149.6
2016-11-18,153.09
2016-11-25,156.44
2016-12-02,150.56
2016-12-09,158.22
2016-12-16,155.83
2016-12-23,155.58
2016-12-30,153.94
2017-01-06,155.59
2017-01-13,157.43
2017-01-20,154.94
2017-01-27,156.79
2017-02-03,158.13
2017-02-10,160.08
2017-02-17,161.6
2017-02-24,160.81
2017-03-03,161.65
2017-03-10,159.72
2017-03-17,162.25
2017-03-24,158.62
2017-03-31,161.66
2017-04-07,159.01
2017-04-14,157.41
2017-04-21,161.57
2017-04-28,164.71
2017-05-05,165.02
2017-05-12,164.05
2017-05-19,162.2
2017-05-26,164.42
2017-06-02,168.06
2017-06-09,168.25
2017-06-16,166.88
2017-06-23,170.3
2017-06-30,168.77
2017-07-07,168.84
2017-07-14,171.06
2017-07-21,171.95
2017-07-28,170.84
2017-08-04,168.09
2017-08-11,164.72
2017-08-18,163.05
2017-08-25,164.9
2017-09-01,170.71
2017-09-08,169.68
2017-09-15,172.39
2017-09-22,174.43
2017-09-29,178.96
2017-10-06,181.95
2017-10-13,180.46
2017-10-20,181.4
2017-10-27,181.57
2017-11-03,180.79
2017-11-10,178.68
2017-11-17,180.87
2017-11-24,184.63
2017-12-01,185.74
2017-12-08,184.33
2017-12-15,185.58
2017-12-22,187.33
2017-12-29,186.7
2018-01-05,190.17
2018-01-12,193.88
2018-01-19,194.96
2018-01-26,197.73
2018-02-02,190.53
2018-02-09,181.42
2018-02-16,190.41
2018-02-23,191.87
2018-03-02,191.1
2018-03-09,200.2
2018-03-16,198.21
2018-03-23,188.93
2018-03-30,190.57
2018-04-06,187.98
2018-04-13,193.07
2018-04-20,194.8
2018-04-27,192.5
2018-05-04,194.1
2018-05-11,199.92
