date,value
2015-01-02,73.85
2015-01-09,73.49
2015-01-16,73.02
2015-01-23,73.93
2015-01-30,72.71
2015-02-06,74.62
2015-02-13,75.61
2015-02-20,76.17
2015-02-27,75.68
2015-03-06,74.34
2015-03-13,74.32
2015-03-20,76.6
2015-03-27,74.64
2015-04-03,75.41
2015-04-10,75.81
2015-04-17,75.09
2015-04-24,75.81
2015-05-01,75.02
2015-05-08,75.265
2015-05-15,75.74
2015-05-22,76.11
2015-05-29,75.7
2015-06-05,75.06
2015-06-12,75.21
2015-06-19,75.69
2015-06-26,75.14
2015-07-03,73.74
2015-07-10,73.41
2015-07-17,73.63
2015-07-24,72.05
2015-07-31,73.19
2015-08-07,72.63
2015-08-14,73.59
2015-08-21,70.04
2015-08-28,70.05
2015-09-04,67.79
2015-09-11,68.81
2015-09-18,69.02
2015-09-25,67.64
2015-10-02,68.07
2015-10-09,71.06
2015-10-16,71.01
2015-10-23,71.3
2015-10-30,71.23
2015-11-06,71.66
2015-11-13,69.11
2015-11-20,71.13
2015-11-27,71.51
2015-12-04,71.05
2015-12-11,67.96
2015-12-18,67.45
2015-12-25,69.35
2016-01-01,68.66
2016-01-08,64.77
2016-01-15,62.76
2016-01-22,63.23
2016-01-29,64.9
2016-02-05,63.63
2016-02-12,61.94
2016-02-19,64.11
2016-02-26,65.69
2016-03-04,68.67
2016-03-11,69.75
2016-03-18,70.92
2016-03-25,69.67
2016-04-01,71.15
2016-04-08,70.16
2016-04-15,71.61
2016-04-22,72.37
2016-04-29,72.42
2016-05-06,72.03
2016-05-13,71.66
2016-05-20,71.85
2016-05-27,73.51
2016-06-03,73.95
2016-06-10,73.91
2016-06-17,73.32
2016-06-24,72.27
2016-07-01,74.49
2016-07-08,74.61
2016-07-15,76.11
2016-07-22,76.63
2016-07-29,76.93
2016-08-05,76.72
2016-08-12,76.77
2016-08-19,77.12
2016-08-26,76.5
2016-09-02,77.28
2016-09-09,75.36
2016-09-16,75.18
2016-09-23,76.82
2016-09-30,76.77
2016-10-07,75.73
2016-10-14,74.95
2016-10-21,75.46
2016-10-28,74.63
2016-11-04,73.33
2016-11-11,76.47
2016-11-18,78.13
2016-11-25,79.73
2016-12-02,79.65
2016-12-09,82.59
2016-12-16,81.42
2016-12-23,81.14
2016-12-30,80.43
2017-01-06,81.83
2017-01-13,81.41
2017-01-20,81.29
2017-01-27,82.16
2017-02-03,82.5
2017-02-10,83.08
2017-02-17,83.86
2017-02-24,84.08
2017-03-03,84.32
2017-03-10,82.76
2017-03-17,83.54
2017-03-24,81.82
2017-03-31,82.99
2017-04-07,82.81
2017-04-14,81.84
2017-04-21,82.79
2017-04-28,83.12
2017-05-05,83.14
2017-05-12,82.36
2017-05-19,82.26
2017-05-26,83.09
2017-06-02,83.78
2017-06-09,84.0
2017-06-16,84.28
2017-06-23,83.69
2017-06-30,84.09
2017-07-07,83.28
2017-07-14,84.37
2017-07-21,84.85
2017-07-28,84.73
2017-08-04,84.38
2017-08-11,82.59
2017-08-18,81.79
2017-08-25,82.81
2017-09-01,83.57
2017-09-08,82.86
2017-09-15,84.37
2017-09-22,84.33
2017-09-29,84.93
2017-10-06,85.72
2017-10-13,85.82
2017-10-20,86.3
2017-10-27,85.82
2017-11-03,85.8
2017-11-10,85.73
2017-11-17,86.21
2017-11-24,86.69
2017-12-01,88.54
2017-12-08,88.79
2017-12-15,88.68
2017-12-22,89.03
2017-12-29,89.15
2018-01-05,90.15
2018-01-12,91.44
2018-01-19,91.47
2018-01-26,92.83
2018-02-02,89.11
2018-02-09,84.93
2018-02-16,88.41
2018-02-23,88.37
2018-03-02,86.6
2018-03-09,89.5
2018-03-16,88.97
2018-03-23,84.34
2018-03-30,86.43
2018-04-06,85.45
2018-04-13,86.5
2018-04-20,87.37
2018-04-27,87.63
2018-05-04,86.89
2018-05-11,88.24
2018-05-18,88.17
2018-05-25,88.27
2018-06-01,88.33
2018-06-08,89.66
2018-06-15,89.41
2018-06-22,89.41
2018-06-29,88.49
2018-07-06,89.36
2018-07-13,89.55
2018-07-20,89.46
2018-07-27,89.85
2018-08-03,90.53
2018-08-10,89.95
2018-08-17,90.9
2018-08-24,91.4
2018-08-31,91.53
2018-09-07,90.74
2018-09-14,91.64
2018-09-21,92.33
2018-09-28,90.26
2018-10-05,89.26
2018-10-12,85.25
2018-10-19,85.75
2018-10-26,82.0
2018-11-02,84.71
2018-11-09,86.12
2018-11-16,85.31
2018-11-23,83.49
2018-11-30,85.75
2018-12-07,82.46
2018-12-14,80.54
2018-12-21,74.5
2018-12-28,75.69
2019-01-04,77.47
2019-01-11,80.37
2019-01-18,82.6
2019-01-25,82.71
