date,value
2015-01-02,44.39
2015-01-09,43.9778
2015-01-16,42.93
2015-01-23,43.6923
2015-01-30,42.5455
2015-02-06,43.6022
2015-02-13,44.41
2015-02-20,44.4101
2015-02-27,44.2296
2015-03-06,43.4445
2015-03-13,42.982
2015-03-20,44.2499
2015-03-27,42.8485
2015-04-03,43.1401
2015-04-10,44.0
2015-04-17,43.719
2015-04-24,44.1675
2015-05-01,44.25
2015-05-08,44.56
2015-05-15,44.61
2015-05-22,44.76
2015-05-29,44.42
2015-06-05,44.12
2015-06-12,44.23
2015-06-19,44.55
2015-06-26,44.3699
2015-07-03,43.4
2015-07-10,43.32
2015-07-17,44.07
2015-07-24,43.0273
2015-07-31,43.4301
2015-08-07,42.9199
2015-08-14,43.273
2015-08-21,40.89
2015-08-28,40.85
2015-09-04,39.3901
2015-09-11,39.96
2015-09-18,39.73
2015-09-25,39.3392
2015-10-02,39.7301
2015-10-09,41.3262
2015-10-16,41.81
2015-10-23,42.58
2015-10-30,42.5701
2015-11-06,43.09
2015-11-13,41.6486
2015-11-20,42.78
2015-11-27,42.78
2015-12-04,42.6831
2015-12-11,41.0
2015-12-18,41.01
2015-12-25,42.09
2016-01-01,41.721
2016-01-08,39.06
2016-01-15,38.29
2016-01-22,38.49
2016-01-29,39.42
2016-02-05,38.44
2016-02-12,38.1852
2016-02-19,39.0952
2016-02-26,39.75
2016-03-04,40.9781
2016-03-11,41.41
2016-03-18,41.913
2016-03-25,41.31
2016-04-01,41.76
2016-04-08,41.29
2016-04-15,42.1177
2016-04-22,42.86
2016-04-29,42.4
2016-05-06,42.0143
2016-05-13,41.9099
2016-05-20,42.2399
2016-05-27,43.0899
2016-06-03,43.07
2016-06-10,43.09
2016-06-17,42.69
2016-06-24,42.037
2016-07-01,43.4125
2016-07-08,43.4702
2016-07-15,44.27
2016-07-22,44.348
2016-07-29,44.1034
2016-08-05,44.3347
2016-08-12,44.4425
2016-08-19,44.62
2016-08-26,44.3
2016-09-02,44.83
2016-09-09,44.03
2016-09-16,43.84
2016-09-23,44.24
2016-09-30,44.19
2016-10-07,44.2
2016-10-14,43.7852
2016-10-21,43.63
2016-10-28,43.67
2016-11-04,43.05
2016-11-11,45.1999
2016-11-18,45.57
2016-11-25,46.08
2016-12-02,46.125
2016-12-09,47.575
2016-12-16,47.64
2016-12-23,47.53
2016-12-30,47.0
2017-01-06,47.6
2017-01-13,47.44
2017-01-20,47.21
2017-01-27,47.49
2017-02-03,47.68
2017-02-10,47.89
2017-02-17,48.71
2017-02-24,49.06
2017-03-03,49.5158
2017-03-10,49.25
2017-03-17,49.21
2017-03-24,47.96
2017-03-31,48.17
2017-04-07,48.15
2017-04-14,47.47
2017-04-21,47.52
2017-04-28,48.02
2017-05-05,48.29
2017-05-12,47.99
2017-05-19,47.79
2017-05-26,48.2347
2017-06-02,48.3867
2017-06-09,48.78
2017-06-16,49.0
2017-06-23,48.61
2017-06-30,48.88
2017-07-07,48.62
2017-07-14,48.82
2017-07-21,48.83
2017-07-28,49.09
2017-08-04,49.31
2017-08-11,48.62
2017-08-18,48.18
2017-08-25,48.62
2017-09-01,48.95
2017-09-08,48.48
2017-09-15,49.525
2017-09-22,49.9454
2017-09-29,49.9556
2017-10-06,50.537
2017-10-13,50.4
2017-10-20,50.88
2017-10-27,50.5854
2017-11-03,50.531
2017-11-10,50.2585
2017-11-17,50.1138
2017-11-24,50.37
2017-12-01,51.6836
2017-12-08,51.93
2017-12-15,52.35
2017-12-22,52.49
2017-12-29,52.4204
2018-01-05,53.34
2018-01-12,54.2036
2018-01-19,54.6128
2018-01-26,55.81
2018-02-02,53.71
2018-02-09,50.7961
2018-02-16,52.7
2018-02-23,52.48
2018-03-02,51.66
2018-03-09,53.14
2018-03-16,52.37
2018-03-23,49.3742
2018-03-30,50.4441
2018-04-06,49.57
2018-04-13,50.814
2018-04-20,50.9725
2018-04-27,51.123
2018-05-04,50.1734
2018-05-11,51.59
2018-05-18,51.42
2018-05-25,51.04
2018-06-01,51.0625
2018-06-08,52.029
2018-06-15,51.67
2018-06-22,51.367
2018-06-29,50.8919
2018-07-06,50.9787
2018-07-13,51.37
2018-07-20,51.485
2018-07-27,52.4203
2018-08-03,52.7369
2018-08-10,52.5947
2018-08-17,53.0904
2018-08-24,53.39
2018-08-31,53.5
2018-09-07,53.3558
2018-09-14,53.8017
2018-09-21,54.71
2018-09-28,53.46
2018-10-05,53.9032
2018-10-12,51.59
2018-10-19,52.185
2018-10-26,50.26
2018-11-02,51.45
2018-11-09,52.89
2018-11-16,52.54
2018-11-23,51.04
2018-11-30,53.06
