date,value
2015-01-02,59.99
2015-01-09,60.09
2015-01-16,61.56
2015-01-23,62.19
2015-01-30,61.18
2015-02-06,63.21
2015-02-13,63.8
2015-02-20,63.67
2015-02-27,63.8
2015-03-06,61.81
2015-03-13,60.79
2015-03-20,62.29
2015-03-27,61.86
2015-04-03,62.22
2015-04-10,62.83
2015-04-17,62.8
2015-04-24,65.03
2015-05-01,64.86
2015-05-08,64.86
2015-05-15,65.09
2015-05-22,64.76
2015-05-29,63.8797
2015-06-05,62.66
2015-06-12,63.25
2015-06-19,63.53
2015-06-26,63.51
2015-07-03,62.55
2015-07-10,62.47
2015-07-17,63.41
2015-07-24,62.18
2015-07-31,62.91
2015-08-07,62.84
2015-08-14,62.83
2015-08-21,60.39
2015-08-28,60.13
2015-09-04,58.32
2015-09-11,58.93
2015-09-18,58.05
2015-09-25,57.45
2015-10-02,56.77
2015-10-09,58.81
2015-10-16,59.18
2015-10-23,60.91
2015-10-30,60.67
2015-11-06,59.76
2015-11-13,58.5
2015-11-20,60.29
2015-11-27,59.91
2015-12-04,59.74
2015-12-11,57.59
2015-12-18,58.18
2015-12-25,58.26
2016-01-01,57.85
2016-01-08,55.96
2016-01-15,55.05
2016-01-22,56.91
2016-01-29,58.81
2016-02-05,58.87
2016-02-12,57.62
2016-02-19,58.68
2016-02-26,59.11
2016-03-04,60.5759
2016-03-11,61.74
2016-03-18,61.95
2016-03-25,61.56
2016-04-01,62.08
2016-04-08,61.54
2016-04-15,62.41
2016-04-22,62.7
2016-04-29,62.18
2016-05-06,61.74
2016-05-13,62.06
2016-05-20,61.28
2016-05-27,62.34
2016-06-03,62.44
2016-06-10,62.09
2016-06-17,61.7
2016-06-24,60.275
2016-07-01,63.42
2016-07-08,62.92
2016-07-15,63.69
2016-07-22,63.65
2016-07-29,63.7
2016-08-05,63.41
2016-08-12,64.13
2016-08-19,62.8
2016-08-26,62.34
2016-09-02,62.53
2016-09-09,61.44
2016-09-16,60.64
2016-09-23,62.43
2016-09-30,61.85
2016-10-07,59.95
2016-10-14,60.05
2016-10-21,59.0
2016-10-28,58.98
2016-11-04,57.58
2016-11-11,56.1
2016-11-18,56.17
2016-11-25,57.62
2016-12-02,57.12
2016-12-09,58.9
2016-12-16,59.23
2016-12-23,58.89
2016-12-30,58.72
2017-01-06,60.07
2017-01-13,60.21
2017-01-20,60.38
2017-01-27,59.5
2017-02-03,58.94
2017-02-10,59.13
2017-02-17,58.99
2017-02-24,59.83
2017-03-03,59.19
2017-03-10,59.29
2017-03-17,60.51
2017-03-24,59.9519
2017-03-31,59.48
2017-04-07,59.2865
2017-04-14,58.93
2017-04-21,58.82
2017-04-28,58.66
2017-05-05,59.27
2017-05-12,59.38
2017-05-19,60.02
2017-05-26,60.53
2017-06-02,61.32
2017-06-09,60.95
2017-06-16,60.9476
2017-06-23,59.01
2017-06-30,58.5
2017-07-07,58.0001
2017-07-14,58.6517
2017-07-21,59.45
2017-07-28,61.1
2017-08-04,61.1401
2017-08-11,60.34
2017-08-18,59.832
2017-08-25,60.45
2017-09-01,60.05
2017-09-08,58.88
2017-09-15,59.47
2017-09-22,60.44
2017-09-29,60.38
2017-10-06,60.088
2017-10-13,59.9
2017-10-20,59.96
2017-10-27,59.12
2017-11-03,58.78
2017-11-10,58.42
2017-11-17,58.63
2017-11-24,59.83
2017-12-01,61.01
2017-12-08,61.215
2017-12-15,61.23
2017-12-22,60.5
2017-12-29,60.53
2018-01-05,60.96
2018-01-12,60.42
2018-01-19,60.76
2018-01-26,62.51
2018-02-02,60.71
2018-02-09,57.51
2018-02-16,58.73
