date,value
2015-01-02,144.82
2015-01-09,148.19
2015-01-16,148.62
2015-01-23,149.94
2015-01-30,146.71
2015-02-06,147.39
2015-02-13,149.63
2015-02-20,152.78
2015-02-27,153.01
2015-03-06,151.67
2015-03-13,152.61
2015-03-20,159.39
2015-03-27,155.08
2015-04-03,152.79
2015-04-10,157.28
2015-04-17,155.63
2015-04-24,158.01
2015-05-01,153.85
2015-05-08,155.65
2015-05-15,157.3
2015-05-22,159.05
2015-05-29,159.23
2015-06-05,157.85
2015-06-12,158.13
2015-06-19,161.62
2015-06-26,161.73
2015-07-03,159.49
2015-07-10,160.24
2015-07-17,164.09
2015-07-24,159.44
2015-07-31,163.17
2015-08-07,160.22
2015-08-14,160.52
2015-08-21,152.77
2015-08-28,153.2
2015-09-04,146.53
2015-09-11,150.96
2015-09-18,152.07
2015-09-25,141.72
2015-10-02,144.39
2015-10-09,144.07
2015-10-16,146.76
2015-10-23,145.61
2015-10-30,150.03
2015-11-06,151.27
2015-11-13,146.9
2015-11-20,150.64
2015-11-27,152.11
2015-12-04,150.98
2015-12-11,147.33
2015-12-18,148.69
2015-12-25,152.23
2016-01-01,150.01
2016-01-08,141.28
2016-01-15,138.45
2016-01-22,140.26
2016-01-29,137.07
2016-02-05,132.84
2016-02-12,132.47
2016-02-19,136.11
2016-02-26,138.89
2016-03-04,139.4
2016-03-11,141.63
2016-03-18,138.55
2016-03-25,139.29
2016-04-01,142.42
2016-04-08,143.78
2016-04-15,145.36
2016-04-22,149.14
2016-04-29,144.7
2016-05-06,143.09
2016-05-13,143.14
2016-05-20,144.36
2016-05-27,147.73
2016-06-03,149.91
2016-06-10,148.57
2016-06-17,145.52
2016-06-24,143.64
2016-07-01,149.37
2016-07-08,152.43
2016-07-15,153.24
2016-07-22,155.24
2016-07-29,156.08
2016-08-05,156.09
2016-08-12,154.92
2016-08-19,153.98
2016-08-26,151.54
2016-09-02,150.8
2016-09-09,148.62
2016-09-16,150.91
2016-09-23,153.01
2016-09-30,150.21
2016-10-07,149.72
2016-10-14,144.67
2016-10-21,145.02
2016-10-28,141.18
2016-11-04,138.58
2016-11-11,147.22
2016-11-18,146.04
2016-11-25,145.57
2016-12-02,142.91
2016-12-09,143.84
2016-12-16,146.22
2016-12-23,145.5
2016-12-30,144.13
2017-01-06,148.3
2017-01-13,148.47
2017-01-20,146.2
2017-01-27,146.15
2017-02-03,149.75
2017-02-10,150.53
2017-02-17,154.14
2017-02-24,156.52
2017-03-03,158.84
2017-03-10,159.11
2017-03-17,157.95
2017-03-24,155.42
2017-03-31,155.7
2017-04-07,155.62
2017-04-14,155.1
2017-04-21,154.72
2017-04-28,158.6
2017-05-05,159.47
2017-05-12,157.83
2017-05-19,157.09
2017-05-26,158.7
2017-06-02,161.86
2017-06-09,162.39
2017-06-16,163.27
2017-06-23,169.33
2017-06-30,166.26
2017-07-07,166.27
2017-07-14,167.93
2017-07-21,169.8
2017-07-28,167.52
2017-08-04,166.82
2017-08-11,164.71
2017-08-18,163.54
2017-08-25,165.47
2017-09-01,170.77
2017-09-08,173.09
2017-09-15,173.77
2017-09-22,171.97
2017-09-29,171.86
2017-10-06,174.5
2017-10-13,173.3
2017-10-20,176.18
2017-10-27,172.78
2017-11-03,172.13
2017-11-10,171.08
2017-11-17,171.24
2017-11-24,172.38
2017-12-01,175.57
2017-12-08,174.82
2017-12-15,176.61
2017-12-22,174.63
2017-12-29,174.23
2018-01-05,179.56
2018-01-12,182.52
2018-01-19,185.73
2018-01-26,192.78
2018-02-02,183.62
2018-02-09,173.15
2018-02-16,180.53
2018-02-23,180.07
2018-03-02,176.75
2018-03-09,183.28
2018-03-16,181.52
2018-03-23,169.12
2018-03-30,172.61
2018-04-06,168.94
2018-04-13,173.37
2018-04-20,173.92
2018-04-27,176.88
2018-05-04,171.98
2018-05-11,176.63
2018-05-18,177.27
2018-05-25,176.84
2018-06-01,177.77
2018-06-08,181.42
2018-06-15,183.1
2018-06-22,182.05
2018-06-29,178.18
2018-07-06,183.76
2018-07-13,186.86
2018-07-20,185.5776
2018-07-27,187.71
2018-08-03,191.63
2018-08-10,191.33
2018-08-17,194.41
2018-08-24,196.02
2018-08-31,198.24
2018-09-07,197.45
2018-09-14,199.55
2018-09-21,201.55
2018-09-28,202.9
2018-10-05,200.54
2018-10-12,193.72
2018-10-19,194.14
2018-10-26,185.6
2018-11-02,190.08
2018-11-09,196.92
2018-11-16,194.73
2018-11-23,189.55
2018-11-30,200.7
2018-12-07,191.16
2018-12-14,187.83
2018-12-21,173.93
2018-12-28,178.27
2019-01-04,179.83
2019-01-11,184.85
2019-01-18,189.63
2019-01-25,187.3
2019-02-01,191.22
2019-02-08,189.21
2019-02-15,195.52
2019-02-22,194.81
2019-03-01,196.3
2019-03-08,188.43
2019-03-15,194.97
2019-03-22,191.4
2019-03-29,193.78
2019-04-05,194.51
2019-04-12,189.75
2019-04-19,181.0
2019-04-26,187.86
2019-05-03,189.87
2019-05-10,187.03
2019-05-17,186.2
2019-05-24,188.2
2019-05-31,183.28
2019-06-07,191.03
2019-06-14,191.67
2019-06-21,197.36
2019-06-28,195.27
2019-07-05,197.35
2019-07-12,194.63
2019-07-19,193.57
2019-07-26,194.36
2019-08-02,192.18
2019-08-09,193.2
2019-08-16,191.05
2019-08-23,187.31
2019-08-30,190.75
2019-09-06,191.92
2019-09-13,192.57
2019-09-20,194.47
2019-09-27,187.35
2019-10-04,189.01
2019-10-11,188.51
2019-10-18,192.43
2019-10-25,193.0
2019-11-01,198.98
2019-11-08,199.86
2019-11-15,204.62
2019-11-22,206.65
2019-11-29,209.47
2019-12-06,211.22
2019-12-13,211.79
2019-12-20,216.09
2019-12-27,216.34
2020-01-03,214.23
