date,value
2015-01-02,104.16
2015-01-09,104.96
2015-01-16,104.47
2015-01-23,105.47
2015-01-30,102.54
2015-02-06,105.09
2015-02-13,106.66
2015-02-20,107.35
2015-02-27,107.88
2015-03-06,104.85
2015-03-13,103.59
2015-03-20,105.91
2015-03-27,105.08
2015-04-03,106.15
2015-04-10,107.258
2015-04-17,106.68
2015-04-24,106.81
2015-05-01,106.1
2015-05-08,107.12
2015-05-15,108.16
2015-05-22,107.58
2015-05-29,106.52
2015-06-05,104.81
2015-06-12,105.93
2015-06-19,107.72
2015-06-26,106.8405
2015-07-03,106.03
2015-07-10,106.41
2015-07-17,107.84
2015-07-24,106.9
2015-07-31,108.38
2015-08-07,108.56
2015-08-14,108.6
2015-08-21,103.54
2015-08-28,103.58
2015-09-04,101.16
2015-09-11,102.22
2015-09-18,103.92
2015-09-25,103.44
2015-10-02,103.86
2015-10-09,107.59
2015-10-16,108.604
2015-10-23,110.45
2015-10-30,109.515
2015-11-06,108.29
2015-11-13,104.735
2015-11-20,108.05
2015-11-27,109.67
2015-12-04,109.76
2015-12-11,106.59
2015-12-18,107.1554
2015-12-25,109.2
2016-01-01,108.4307
2016-01-08,103.05
2016-01-15,100.9
2016-01-22,103.08
2016-01-29,106.3
2016-02-05,102.97
2016-02-12,103.06
2016-02-19,105.72
2016-02-26,107.45
2016-03-04,110.41
2016-03-11,110.97
2016-03-18,112.54
2016-03-25,110.68
2016-04-01,113.52
2016-04-08,112.5
2016-04-15,112.63
2016-04-22,111.49
2016-04-29,111.97
2016-05-06,112.76
2016-05-13,112.71
2016-05-20,110.76
2016-05-27,112.89
2016-06-03,113.48
2016-06-10,114.29
2016-06-17,113.66
2016-06-24,110.89
2016-07-01,115.44
2016-07-08,117.28
2016-07-15,117.92
2016-07-22,117.81
2016-07-29,116.93
2016-08-05,116.37
2016-08-12,117.01
2016-08-19,117.14
2016-08-26,116.51
2016-09-02,117.16
2016-09-09,112.57
2016-09-16,113.36
2016-09-23,114.76
2016-09-30,113.9
2016-10-07,112.44
2016-10-14,111.77
2016-10-21,111.66
2016-10-28,111.93
2016-11-04,109.72
2016-11-11,108.58
2016-11-18,108.78
2016-11-25,110.44
2016-12-02,108.41
2016-12-09,112.47
2016-12-16,112.16
2016-12-23,111.41
2016-12-30,110.72
2017-01-06,112.21
2017-01-13,111.34
2017-01-20,113.32
2017-01-27,113.77
2017-02-03,114.23
2017-02-10,116.04
2017-02-17,117.65
2017-02-24,118.6689
2017-03-03,119.45
2017-03-10,119.52
2017-03-17,120.51
2017-03-24,118.73
2017-03-31,118.75
2017-04-07,118.08
2017-04-14,118.09
2017-04-21,118.64
2017-04-28,119.02
2017-05-05,118.75
2017-05-12,118.83
2017-05-19,119.07
2017-05-26,121.9
2017-06-02,123.68
2017-06-09,122.65
2017-06-16,123.4
2017-06-23,123.2
2017-06-30,121.73
2017-07-07,120.93
2017-07-14,121.77
2017-07-21,122.81
2017-07-28,122.2
2017-08-04,121.58
2017-08-11,121.21
2017-08-18,120.72
2017-08-25,120.4
2017-09-01,121.59
2017-09-08,121.36
2017-09-15,122.72
2017-09-22,120.74
2017-09-29,120.67
2017-10-06,121.78
2017-10-13,122.82
2017-10-20,121.77
2017-10-27,120.86
2017-11-03,119.26
2017-11-10,120.83
2017-11-17,122.19
2017-11-24,122.9
2017-12-01,125.0
2017-12-08,125.73
2017-12-15,127.41
2017-12-22,126.89
2017-12-29,126.73
2018-01-05,127.7148
2018-01-12,127.76
2018-01-19,130.06
2018-01-26,130.34
2018-02-02,126.0
2018-02-09,120.61
2018-02-16,124.3096
2018-02-23,123.14
2018-03-02,121.19
2018-03-09,123.82
2018-03-16,121.81
2018-03-23,115.42
2018-03-30,118.91
2018-04-06,119.33
2018-04-13,119.88
2018-04-20,114.71
2018-04-27,115.11
2018-05-04,113.3
2018-05-11,113.8
2018-05-18,114.11
2018-05-25,114.95
2018-06-01,115.03
2018-06-08,118.4
2018-06-15,120.73
2018-06-22,119.21
2018-06-29,118.27
2018-07-06,119.42
2018-07-13,120.34
2018-07-20,120.46
2018-07-27,119.69
2018-08-03,121.8
2018-08-10,119.87
2018-08-17,120.97
2018-08-24,120.07
2018-08-31,118.95
2018-09-07,118.84
2018-09-14,121.32
2018-09-21,122.46
2018-09-28,118.87
2018-10-05,116.84
2018-10-12,112.72
2018-10-19,115.08
2018-10-26,113.87
2018-11-02,117.47
2018-11-09,118.53
2018-11-16,117.1
2018-11-23,114.78
2018-11-30,117.85
2018-12-07,113.9
2018-12-14,113.2421
2018-12-21,105.36
2018-12-28,106.28
2019-01-04,107.81
2019-01-11,110.02
2019-01-18,112.03
2019-01-25,110.91
2019-02-01,114.21
