date,value
2015-01-02,163.33
2015-01-09,158.94
2015-01-16,157.21
2015-01-23,161.19
2015-01-30,155.22
2015-02-06,160.34
2015-02-13,162.23
2015-02-20,164.01
2015-02-27,162.28
2015-03-06,160.24
2015-03-13,160.97
2015-03-20,164.35
2015-03-27,156.0
2015-04-03,154.26
2015-04-10,157.11
2015-04-17,154.8
2015-04-24,159.0
2015-05-01,156.52
2015-05-08,157.09
2015-05-15,155.65
2015-05-22,152.2
2015-05-29,149.14
2015-06-05,152.99
2015-06-12,151.28
2015-06-19,151.13
2015-06-26,147.64
2015-07-03,145.5
2015-07-10,146.87
2015-07-17,148.47
2015-07-24,144.63
2015-07-31,150.54
2015-08-07,148.05
2015-08-14,149.46
2015-08-21,141.53
2015-08-28,142.2
2015-09-04,140.09
2015-09-11,144.96
2015-09-18,144.65
2015-09-25,140.99
2015-10-02,141.48
2015-10-09,148.36
2015-10-16,145.26
2015-10-23,149.15
2015-10-30,146.08
2015-11-06,148.27
2015-11-13,144.21
2015-11-20,149.47
2015-11-27,147.91
2015-12-04,143.09
2015-12-11,135.43
2015-12-18,132.36
2015-12-25,136.73
2016-01-01,134.73
2016-01-08,124.58
2016-01-15,120.0
2016-01-22,121.51
2016-01-29,123.77
2016-02-05,124.55
2016-02-12,126.38
2016-02-19,130.82
2016-02-26,133.09
2016-03-04,137.53
2016-03-11,138.15
2016-03-18,145.02
2016-03-25,142.06
2016-04-01,141.39
2016-04-08,138.65
2016-04-15,142.94
2016-04-22,144.96
2016-04-29,141.07
2016-05-06,138.7
2016-05-13,134.56
2016-05-20,137.8
2016-05-27,139.64
2016-06-03,138.99
2016-06-10,139.66
2016-06-17,136.62
2016-06-24,131.17
2016-07-01,135.47
2016-07-08,137.72
2016-07-15,143.36
2016-07-22,142.92
2016-07-29,140.77
2016-08-05,141.36
2016-08-12,140.33
2016-08-19,142.54
2016-08-26,140.64
2016-09-02,143.0
2016-09-09,140.87
2016-09-16,139.99
2016-09-23,143.14
2016-09-30,145.24
2016-10-07,144.74
2016-10-14,144.51
2016-10-21,144.27
2016-10-28,144.03
2016-11-04,145.37
2016-11-11,154.36
2016-11-18,159.55
2016-11-25,162.75
2016-12-02,163.0
2016-12-09,169.59
2016-12-16,165.43
2016-12-23,165.24
2016-12-30,162.84
2017-01-06,163.76
2017-01-13,165.57
2017-01-20,166.19
2017-01-27,170.04
2017-02-03,166.34
2017-02-10,169.24
2017-02-17,171.17
2017-02-24,169.89
2017-03-03,171.19
2017-03-10,167.61
2017-03-17,165.02
2017-03-24,160.74
2017-03-31,163.99
2017-04-07,163.81
2017-04-14,159.66
2017-04-21,164.41
2017-04-28,163.87
2017-05-05,165.62
2017-05-12,162.3
2017-05-19,160.1
2017-05-26,165.65
2017-06-02,168.45
2017-06-09,168.37
2017-06-16,169.8
2017-06-23,169.64
2017-06-30,172.07
2017-07-07,174.57
2017-07-14,175.4
2017-07-21,170.51
2017-07-28,166.04
2017-08-04,167.03
2017-08-11,165.4
2017-08-18,163.78
2017-08-25,164.46
2017-09-01,168.64
2017-09-08,169.31
