date,value
2015-01-02,103.34
2015-01-09,102.84
2015-01-16,101.56
2015-01-23,103.35
2015-01-30,100.56
2015-02-06,103.64
2015-02-13,105.745
2015-02-20,106.52
2015-02-27,106.43
2015-03-06,104.63
2015-03-13,104.07
2015-03-20,106.93
2015-03-27,104.24
2015-04-03,104.73
2015-04-10,106.32
2015-04-17,105.39
2015-04-24,107.05
2015-05-01,106.3
2015-05-08,106.77
2015-05-15,107.16
2015-05-22,107.54
2015-05-29,106.71
2015-06-05,106.11
2015-06-12,106.32
2015-06-19,106.98
2015-06-26,106.08
2015-07-03,104.88
2015-07-10,104.95
2015-07-17,107.07
2015-07-24,104.9
2015-07-31,106.1
2015-08-07,104.8
2015-08-14,105.5
2015-08-21,99.8399
2015-08-28,100.51
2015-09-04,97.36
2015-09-11,99.31
2015-09-18,99.23
2015-09-25,97.21
2015-10-02,97.99
2015-10-09,101.3
2015-10-16,102.09
2015-10-23,103.89
2015-10-30,104.16
2015-11-06,105.21
2015-11-13,101.43
2015-11-20,104.69
2015-11-27,104.93
2015-12-04,104.81
2015-12-11,100.92
2015-12-18,100.7
2015-12-25,103.105
2016-01-01,101.97
2016-01-08,95.7073
2016-01-15,93.45
2016-01-22,94.71
2016-01-29,96.12
2016-02-05,93.22
2016-02-12,92.25
2016-02-19,95.2699
2016-02-26,96.94
2016-03-04,99.79
2016-03-11,100.92
2016-03-18,102.27
2016-03-25,101.12
2016-04-01,103.14
2016-04-08,101.82
2016-04-15,103.7
2016-04-22,104.28
2016-04-29,103.02
2016-05-06,102.5
2016-05-13,102.09
2016-05-20,102.46
2016-05-27,104.83
2016-06-03,105.08
2016-06-10,104.86
2016-06-17,103.6337
2016-06-24,101.61
2016-07-01,104.87
2016-07-08,106.21
2016-07-15,107.8501
2016-07-22,108.52
2016-07-29,108.7099
2016-08-05,108.98
2016-08-12,109.2
2016-08-19,109.29
2016-08-26,108.57
2016-09-02,109.34
2016-09-09,106.9
2016-09-16,107.4799
2016-09-23,108.84
2016-09-30,108.53
2016-10-07,107.63
2016-10-14,106.54
2016-10-21,107.02
2016-10-28,106.16
2016-11-04,104.19
2016-11-11,108.45
2016-11-18,109.6
2016-11-25,111.34
2016-12-02,110.28
2016-12-09,113.81
2016-12-16,113.64
2016-12-23,113.25
2016-12-30,112.0499
2017-01-06,114.159
2017-01-13,114.0787
2017-01-20,113.89
2017-01-27,115.1
2017-02-03,115.32
2017-02-10,116.39
2017-02-17,118.16
2017-02-24,118.82
2017-03-03,119.55
2017-03-10,118.98
2017-03-17,119.47
2017-03-24,117.14
2017-03-31,118.26
2017-04-07,117.84
2017-04-14,116.57
2017-04-21,117.9084
2017-04-28,119.47
2017-05-05,120.2
2017-05-12,119.64
2017-05-19,119.34
2017-05-26,121.04
2017-06-02,122.31
2017-06-09,121.98
2017-06-16,121.95
2017-06-23,122.44
2017-06-30,121.33
2017-07-07,121.4
2017-07-14,123.09
2017-07-21,123.74
2017-07-28,123.65
2017-08-04,123.8101
2017-08-11,122.02
2017-08-18,121.3392
2017-08-25,122.34
2017-09-01,124.17
2017-09-08,123.37
2017-09-15,125.39
2017-09-22,125.537
2017-09-29,126.03
2017-10-06,127.6
2017-10-13,127.89
2017-10-20,128.8
2017-10-27,129.0964
2017-11-03,129.4
2017-11-10,129.21
2017-11-17,129.3205
2017-11-24,130.58
2017-12-01,132.5001
2017-12-08,132.89
2017-12-15,134.0472
2017-12-22,133.98
2017-12-29,133.62
2018-01-05,136.81
2018-01-12,139.09
2018-01-19,140.19
2018-01-26,143.0546
2018-02-02,137.75
2018-02-09,130.78
2018-02-16,137.0066
2018-02-23,137.0901
2018-03-02,134.72
2018-03-09,139.61
2018-03-16,137.91
2018-03-23,129.55
2018-03-30,132.12
2018-04-06,130.5296
2018-04-13,133.019
2018-04-20,133.579
2018-04-27,133.55
2018-05-04,133.37
2018-05-11,136.65
2018-05-18,136.23
2018-05-25,136.56
2018-06-01,137.31
2018-06-08,139.7
2018-06-15,139.91
2018-06-22,138.74
2018-06-29,136.34
2018-07-06,138.46
2018-07-13,140.46
2018-07-20,140.5
2018-07-27,141.05
2018-08-03,142.13
2018-08-10,142.06
2018-08-17,142.92
2018-08-24,144.25
2018-08-31,145.71
2018-09-07,144.25
2018-09-14,145.91
2018-09-21,147.0
2018-09-28,145.52
2018-10-05,143.73
2018-10-12,137.92
2018-10-19,137.77
2018-10-26,132.16
2018-11-02,135.92
2018-11-09,138.59
2018-11-16,136.54
2018-11-23,131.62
2018-11-30,137.69
2018-12-07,131.59
2018-12-14,129.85
2018-12-21,119.99
2018-12-28,123.31
2019-01-04,125.71
2019-01-11,129.235
2019-01-18,133.05
2019-01-25,132.8201
2019-02-01,135.1
2019-02-08,135.36
2019-02-15,138.91
2019-02-22,139.8
2019-03-01,140.47
2019-03-08,137.1859
2019-03-15,141.0558
