date,value
2015-01-02,44.64
2015-01-09,42.03
2015-01-16,38.95
2015-01-23,39.79
2015-01-30,38.1
2015-02-06,40.91
2015-02-13,43.27
2015-02-20,44.44
2015-02-27,44.34
2015-03-06,43.09
2015-03-13,43.22
2015-03-20,44.8
2015-03-27,44.28
2015-04-03,44.28
2015-04-10,46.6
2015-04-17,47.46
2015-04-24,46.31
2015-05-01,42.75
2015-05-08,43.75
2015-05-15,44.0
2015-05-22,43.57
2015-05-29,43.26
2015-06-05,43.64
2015-06-12,43.11
2015-06-19,43.54
2015-06-26,42.23
2015-07-03,40.42
2015-07-10,40.15
2015-07-17,39.98
2015-07-24,39.56
2015-07-31,42.12
2015-08-07,43.23
2015-08-14,44.16
2015-08-21,40.31
2015-08-28,39.96
2015-09-04,39.43
2015-09-11,40.19
2015-09-18,37.89
2015-09-25,37.36
2015-10-02,37.4
2015-10-09,41.35
2015-10-16,39.32
2015-10-23,39.75
2015-10-30,40.14
2015-11-06,41.21
2015-11-13,40.72
2015-11-20,42.38
2015-11-27,43.47
2015-12-04,44.6
2015-12-11,41.87
2015-12-18,40.78
2015-12-25,43.3
2016-01-01,41.95
2016-01-08,38.75
2016-01-15,37.64
2016-01-22,37.41
2016-01-29,39.23
2016-02-05,37.05
2016-02-12,36.08
2016-02-19,37.99
2016-02-26,38.86
2016-03-04,40.73
2016-03-11,41.75
2016-03-18,44.08
2016-03-25,43.27
2016-04-01,43.76
2016-04-08,41.2
2016-04-15,42.16
2016-04-22,43.77
2016-04-29,44.58
2016-05-06,48.65
2016-05-13,49.14
2016-05-20,49.22
2016-05-27,50.15
2016-06-03,51.5
2016-06-10,51.56
2016-06-17,51.24
2016-06-24,49.67
2016-07-01,49.74
2016-07-08,51.25
2016-07-15,52.7
2016-07-22,53.08
2016-07-29,53.52
2016-08-05,53.76
2016-08-12,53.51
2016-08-19,53.73
2016-08-26,54.48
2016-09-02,52.25
2016-09-09,50.15
2016-09-16,49.67
2016-09-23,50.65
2016-09-30,51.72
2016-10-07,51.83
2016-10-14,50.05
2016-10-21,50.55
2016-10-28,51.1
2016-11-04,49.25
2016-11-11,55.62
2016-11-18,58.15
2016-11-25,62.17
2016-12-02,60.66
2016-12-09,61.57
2016-12-16,58.79
2016-12-23,58.19
2016-12-30,57.0
2017-01-06,57.98
2017-01-13,58.16
2017-01-20,57.38
2017-01-27,60.36
2017-02-03,59.22
2017-02-10,57.4
2017-02-17,57.61
2017-02-24,56.03
2017-03-03,56.48
2017-03-10,56.42
2017-03-17,55.46
2017-03-24,54.13
2017-03-31,55.28
2017-04-07,54.51
2017-04-14,52.97
2017-04-21,53.54
2017-04-28,54.92
2017-05-05,54.66
2017-05-12,52.75
2017-05-19,53.01
2017-05-26,52.66
2017-06-02,53.2
2017-06-09,54.95
2017-06-16,53.82
2017-06-23,52.81
2017-06-30,54.39
2017-07-07,54.82
2017-07-14,54.37
2017-07-21,52.3
2017-07-28,52.39
2017-08-04,52.48
2017-08-11,52.58
2017-08-18,49.85
2017-08-25,51.94
2017-09-01,55.13
2017-09-08,54.63
2017-09-15,55.95
2017-09-22,57.54
2017-09-29,58.27
2017-10-06,58.96
2017-10-13,58.55
2017-10-20,58.82
2017-10-27,58.71
2017-11-03,59.29
2017-11-10,60.03
2017-11-17,58.63
2017-11-24,63.29
2017-12-01,65.46
2017-12-08,68.51
2017-12-15,66.19
2017-12-22,66.28
2017-12-29,65.96
2018-01-05,68.14
2018-01-12,69.56
2018-01-19,69.95
2018-01-26,69.95
2018-02-02,67.12
2018-02-09,62.23
2018-02-16,63.19
2018-02-23,62.35
2018-03-02,60.04
2018-03-09,60.8
2018-03-16,60.95
2018-03-23,55.57
2018-03-30,59.15
2018-04-06,58.01
2018-04-13,59.27
2018-04-20,60.0
2018-04-27,58.8
2018-05-04,56.84
2018-05-11,63.55
2018-05-18,63.74
2018-05-25,63.33
2018-06-01,65.41
2018-06-08,66.6
2018-06-15,64.55
2018-06-22,64.8
2018-06-29,63.49
2018-07-06,65.04
2018-07-13,66.32
2018-07-20,66.09
2018-07-27,67.26
2018-08-03,67.09
2018-08-10,71.88
2018-08-17,71.86
2018-08-24,72.78
2018-08-31,72.69
2018-09-07,73.62
2018-09-14,75.78
2018-09-21,77.61
2018-09-28,76.5
2018-10-05,76.54
2018-10-12,72.0
2018-10-19,72.28
2018-10-26,73.91
2018-11-02,75.14
2018-11-09,77.25
2018-11-16,74.18
2018-11-23,64.69
2018-11-30,65.67
2018-12-07,59.78
2018-12-14,58.7
2018-12-21,55.92
2018-12-28,57.58
2019-01-04,59.52
2019-01-11,60.47
2019-01-18,62.51
2019-01-25,63.77
2019-02-01,65.39
2019-02-08,65.73
2019-02-15,68.72
2019-02-22,74.45
2019-03-01,74.01
2019-03-08,71.9
2019-03-15,73.81
2019-03-22,73.07
2019-03-29,75.19
2019-04-05,76.71
2019-04-12,77.0
2019-04-19,76.93
2019-04-26,78.98
2019-05-03,77.01
2019-05-10,78.66
2019-05-17,76.54
2019-05-24,75.85
2019-05-31,75.29
2019-06-07,79.4
2019-06-14,78.3
2019-06-21,82.31
2019-06-28,84.39
2019-07-05,84.71
2019-07-12,85.21
2019-07-19,83.91
2019-07-26,84.96
2019-08-02,79.67
2019-08-09,85.9
2019-08-16,83.48
2019-08-23,85.01
2019-08-30,88.86
2019-09-06,92.32
2019-09-13,91.21
2019-09-20,91.79
2019-09-27,90.69
2019-10-04,89.82
2019-10-11,91.85
2019-10-18,92.9
2019-10-25,93.93
2019-11-01,96.07
2019-11-08,94.6
2019-11-15,94.33
2019-11-22,93.38
2019-11-29,92.09
2019-12-06,85.02
2019-12-13,90.03
2019-12-20,90.04
2019-12-27,89.54
2020-01-03,90.89
