date,value
2015-01-02,163.43
2015-01-09,161.79
2015-01-16,164.97
2015-01-23,175.555
2015-01-30,169.34
2015-02-06,171.79
2015-02-13,169.69
2015-02-20,172.42
2015-02-27,170.09
2015-03-06,172.12
2015-03-13,175.09
2015-03-20,189.01
2015-03-27,175.42
2015-04-03,168.86
2015-04-10,183.96
2015-04-17,187.18
2015-04-24,189.42
2015-05-01,180.74
2015-05-08,175.44
2015-05-15,178.01
2015-05-22,183.06
2015-05-29,179.35
2015-06-05,180.58
2015-06-12,178.59
2015-06-19,179.99
2015-06-26,174.12
2015-07-03,177.37
2015-07-10,178.77
2015-07-17,183.92
2015-07-24,184.4
2015-07-31,192.24
2015-08-07,181.79
2015-08-14,184.46
2015-08-21,170.32
2015-08-28,172.82
2015-09-04,162.18
2015-09-11,160.62
2015-09-18,160.01
2015-09-25,134.77
2015-10-02,137.5
2015-10-09,133.4
2015-10-16,138.27
2015-10-23,131.34
2015-10-30,137.28
2015-11-06,142.58
2015-11-13,134.77
2015-11-20,143.93
2015-11-27,149.42
2015-12-04,145.18
2015-12-11,134.26
2015-12-18,139.96
2015-12-25,142.74
2016-01-01,140.56
2016-01-08,128.0
2016-01-15,124.4
2016-01-22,132.82
2016-01-29,128.74
2016-02-05,121.77
2016-02-12,113.78
2016-02-19,123.07
2016-02-26,125.0
2016-03-04,123.76
2016-03-11,133.8
2016-03-18,118.3
2016-03-25,118.59
2016-04-01,133.82
2016-04-08,140.01
2016-04-15,144.79
2016-04-22,157.16
2016-04-29,150.7
2016-05-06,144.35
2016-05-13,145.66
2016-05-20,149.64
2016-05-27,152.09
2016-06-03,152.75
2016-06-10,150.76
2016-06-17,143.63
2016-06-24,137.9
2016-07-01,141.04
2016-07-08,139.88
2016-07-15,142.38
2016-07-22,141.96
2016-07-29,150.97
2016-08-05,150.63
2016-08-12,136.56
2016-08-19,136.22
2016-08-26,128.52
2016-09-02,120.84
2016-09-09,118.12
2016-09-16,126.04
2016-09-23,127.19
2016-09-30,121.48
2016-10-07,122.81
2016-10-14,118.34
2016-10-21,121.26
2016-10-28,113.6
2016-11-04,103.1
2016-11-11,113.11
2016-11-18,109.25
2016-11-25,110.98
2016-12-02,102.32
2016-12-09,102.3
2016-12-16,105.39
2016-12-23,110.4
2016-12-30,109.03
2017-01-06,115.16
2017-01-13,117.3
2017-01-20,123.88
2017-01-27,119.48
2017-02-03,124.45
2017-02-10,130.92
2017-02-17,137.19
2017-02-24,136.11
2017-03-03,134.01
2017-03-10,134.83
2017-03-17,134.77
2017-03-24,143.14
2017-03-31,145.13
2017-04-07,153.78
2017-04-14,153.11
2017-04-21,152.84
2017-04-28,159.28
2017-05-05,159.06
2017-05-12,153.79
2017-05-19,149.15
2017-05-26,151.11
2017-06-02,148.59
2017-06-09,154.91
2017-06-16,149.96
2017-06-23,158.8
2017-06-30,155.5
2017-07-07,154.49
2017-07-14,154.47
2017-07-21,161.13
2017-07-28,156.8
2017-08-04,155.6
2017-08-11,142.71
2017-08-18,144.4
2017-08-25,146.0
2017-09-01,147.57
2017-09-08,152.28
2017-09-15,151.48
2017-09-22,147.89
2017-09-29,146.25
2017-10-06,146.47
2017-10-13,141.38
2017-10-20,144.05
2017-10-27,133.95
2017-11-03,137.89
2017-11-10,138.7
2017-11-17,133.87
2017-11-24,138.7
2017-12-01,138.19
2017-12-08,138.97
2017-12-15,135.53
2017-12-22,132.78
2017-12-29,134.65
2018-01-05,135.59
2018-01-12,150.19
2018-01-19,148.7
2018-01-26,155.79
2018-02-02,143.83
2018-02-09,139.93
2018-02-16,145.76
2018-02-23,147.46
2018-03-02,141.45
2018-03-09,152.43
2018-03-16,154.09
2018-03-23,147.98
2018-03-30,150.99
2018-04-06,149.91
2018-04-13,156.07
2018-04-20,157.95
2018-04-27,153.79
2018-05-04,147.26
2018-05-11,164.42
2018-05-18,167.51
2018-05-25,165.02
2018-06-01,170.75
2018-06-08,176.79
2018-06-15,178.1
2018-06-22,178.5
2018-06-29,172.3
2018-07-06,177.67
2018-07-13,175.98
2018-07-20,176.49
2018-07-27,172.34
2018-08-03,176.05
2018-08-10,176.11
2018-08-17,173.81
2018-08-24,167.41
2018-08-31,170.92
2018-09-07,166.78
2018-09-14,163.07
2018-09-21,163.78
2018-09-28,168.13
2018-10-05,162.67
2018-10-12,158.82
2018-10-19,155.99
2018-10-26,154.29
2018-11-02,163.07
2018-11-09,145.57
2018-11-16,142.8
2018-11-23,150.09
2018-11-30,151.2
2018-12-07,141.17
2018-12-14,140.56
2018-12-21,115.94
2018-12-28,121.7
2019-01-04,128.75
2019-01-11,128.85
2019-01-18,129.07
2019-01-25,126.93
2019-02-01,128.35
2019-02-08,125.08
2019-02-15,125.93
2019-02-22,126.01
2019-03-01,138.98
2019-03-08,132.52
2019-03-15,136.71
2019-03-22,136.6
2019-03-29,142.95
2019-04-05,144.48
2019-04-12,137.12
2019-04-19,128.44
2019-04-26,130.99
2019-05-03,132.32
2019-05-10,139.17
2019-05-17,139.16
2019-05-24,136.76
2019-05-31,125.55
2019-06-07,130.97
2019-06-14,130.43
2019-06-21,134.37
2019-06-28,142.56
2019-07-05,141.07
2019-07-12,133.13
2019-07-19,136.62
2019-07-26,138.05
2019-08-02,139.66
2019-08-09,137.37
2019-08-16,134.83
2019-08-23,129.0
2019-08-30,128.15
2019-09-06,126.46
2019-09-13,131.41
2019-09-20,129.21
2019-09-27,127.26
2019-10-04,125.85
2019-10-11,118.67
2019-10-18,119.65
2019-10-25,123.85
2019-11-01,127.02
2019-11-08,130.14
2019-11-15,138.64
2019-11-22,146.29
2019-11-29,151.12
2019-12-06,149.46
2019-12-13,147.88
2019-12-20,153.25
2019-12-27,150.93
2020-01-03,146.09
