date,value
2015-01-02,43.61
2015-01-09,43.72
2015-01-16,42.5
2015-01-23,42.39
2015-01-30,40.81
2015-02-06,41.57
2015-02-13,43.19
2015-02-20,42.7
2015-02-27,42.22
2015-03-06,42.1
2015-03-13,42.08
2015-03-20,43.14
2015-03-27,42.79
2015-04-03,43.33
2015-04-10,43.45
2015-04-17,42.43
2015-04-24,40.04
2015-05-01,39.63
2015-05-08,39.77
2015-05-15,39.47
2015-05-22,40.93
2015-05-29,40.36
2015-06-05,40.22
2015-06-12,40.28
2015-06-19,40.14
2015-06-26,39.39
2015-07-03,38.41
2015-07-10,37.72
2015-07-17,38.4
2015-07-24,36.44
2015-07-31,37.99
2015-08-07,37.98
2015-08-14,37.61
2015-08-21,35.93
2015-08-28,36.38
2015-09-04,35.41
2015-09-11,35.96
2015-09-18,35.52
2015-09-25,34.47
2015-10-02,34.39
2015-10-09,36.36
2015-10-16,36.47
2015-10-23,36.95
2015-10-30,36.44
2015-11-06,37.02
2015-11-13,35.31
2015-11-20,35.64
2015-11-27,35.15
2015-12-04,33.96
2015-12-11,32.46
2015-12-18,30.84
2015-12-25,32.1
2016-01-01,31.89
2016-01-08,30.27
2016-01-15,30.29
2016-01-22,30.59
2016-01-29,34.39
2016-02-05,34.98
2016-02-12,33.52
2016-02-19,33.57
2016-02-26,35.41
2016-03-04,36.3
2016-03-11,36.28
2016-03-18,36.56
2016-03-25,36.01
2016-04-01,36.81
2016-04-08,35.42
2016-04-15,36.79
2016-04-22,39.19
2016-04-29,38.52
2016-05-06,37.66
2016-05-13,38.37
2016-05-20,41.13
2016-05-27,42.68
2016-06-03,43.26
2016-06-10,43.49
2016-06-17,42.99
2016-06-24,41.6
2016-07-01,42.88
2016-07-08,42.77
2016-07-15,43.19
2016-07-22,45.76
2016-07-29,45.57
2016-08-05,45.32
2016-08-12,43.81
2016-08-19,44.96
2016-08-26,43.7
2016-09-02,45.59
2016-09-09,45.7
2016-09-16,44.55
2016-09-23,44.39
2016-09-30,46.53
2016-10-07,45.29
2016-10-14,43.88
2016-10-21,44.06
2016-10-28,43.76
2016-11-04,40.88
2016-11-11,44.16
2016-11-18,44.71
2016-11-25,45.89
2016-12-02,45.32
2016-12-09,43.73
2016-12-16,42.08
2016-12-23,42.5
2016-12-30,41.19
2017-01-06,42.79
2017-01-13,43.66
2017-01-20,42.9
2017-01-27,43.73
2017-02-03,42.66
2017-02-10,41.85
2017-02-17,41.91
2017-02-24,41.82
2017-03-03,42.06
2017-03-10,41.23
2017-03-17,41.97
2017-03-24,41.22
2017-03-31,42.12
2017-04-07,40.99
2017-04-14,40.6
2017-04-21,42.04
2017-04-28,41.57
2017-05-05,41.97
2017-05-12,42.04
2017-05-19,42.6
2017-05-26,42.03
2017-06-02,42.25
2017-06-09,42.07
2017-06-16,41.86
2017-06-23,41.82
2017-06-30,43.36
2017-07-07,43.16
2017-07-14,43.87
2017-07-21,44.19
2017-07-28,39.64
2017-08-04,39.17
2017-08-11,38.67
2017-08-18,37.05
2017-08-25,38.83
2017-09-01,39.89
2017-09-08,39.16
2017-09-15,39.81
2017-09-22,39.89
2017-09-29,40.29
2017-10-06,41.07
2017-10-13,41.69
2017-10-20,41.62
2017-10-27,42.41
2017-11-03,40.68
2017-11-10,36.93
2017-11-17,36.39
2017-11-24,36.91
2017-12-01,37.42
2017-12-08,37.41
2017-12-15,37.26
2017-12-22,38.11
2017-12-29,38.11
2018-01-05,38.42
2018-01-12,39.8
2018-01-19,38.9
2018-01-26,41.43
2018-02-02,39.53
2018-02-09,36.29
2018-02-16,38.42
2018-02-23,38.82
2018-03-02,36.27
2018-03-09,38.54
2018-03-16,36.7
2018-03-23,34.33
2018-03-30,35.24
2018-04-06,33.64
2018-04-13,34.08
2018-04-20,34.27
2018-04-27,34.47
2018-05-04,36.25
2018-05-11,36.3
2018-05-18,35.95
2018-05-25,34.64
2018-06-01,33.73
2018-06-08,35.14
2018-06-15,35.04
2018-06-22,33.99
2018-06-29,33.45
2018-07-06,34.64
2018-07-13,35.12
2018-07-20,36.14
2018-07-27,36.06
2018-08-03,37.94
2018-08-10,36.9
2018-08-17,38.25
2018-08-24,39.21
2018-08-31,37.77
2018-09-07,38.3
2018-09-14,38.0
2018-09-21,36.96
2018-09-28,35.0
2018-10-05,36.31
2018-10-12,32.96
2018-10-19,32.93
2018-10-26,31.32
2018-11-02,32.5
2018-11-09,34.35
2018-11-16,33.44
2018-11-23,33.39
2018-11-30,34.78
2018-12-07,32.66
2018-12-14,31.97
2018-12-21,29.47
2018-12-28,29.61
2019-01-04,31.21
2019-01-11,32.18
2019-01-18,32.73
2019-01-25,32.71
2019-02-01,33.25
2019-02-08,34.0
2019-02-15,35.1
2019-02-22,35.77
2019-03-01,35.29
2019-03-08,35.88
2019-03-15,35.83
2019-03-22,36.13
2019-03-29,36.94
2019-04-05,36.19
2019-04-12,36.08
2019-04-19,36.75
2019-04-26,37.19
2019-05-03,39.58
2019-05-10,39.68
2019-05-17,38.95
2019-05-24,38.51
2019-05-31,38.52
2019-06-07,39.11
2019-06-14,39.95
