date,value
2015-01-02,123.16
2015-01-09,123.28
2015-01-16,121.823
2015-01-23,123.22
2015-01-30,118.185
2015-02-06,121.8515
2015-02-13,123.43
2015-02-20,124.58
2015-02-27,124.48
2015-03-06,121.96
2015-03-13,121.22
2015-03-20,124.228
2015-03-27,120.85
2015-04-03,121.19
2015-04-10,123.2
2015-04-17,121.79
2015-04-24,124.24
2015-05-01,123.54
2015-05-08,124.56
2015-05-15,125.3
2015-05-22,124.95
2015-05-29,124.32
2015-06-05,123.07
2015-06-12,123.71
2015-06-19,124.55
2015-06-26,123.097
2015-07-03,121.3
2015-07-10,121.64
2015-07-17,123.97
2015-07-24,121.52
2015-07-31,123.12
2015-08-07,122.45
2015-08-14,122.796
2015-08-21,116.12
2015-08-28,116.4
2015-09-04,112.77
2015-09-11,114.74
2015-09-18,114.79
2015-09-25,112.23
2015-10-02,113.52
2015-10-09,116.96
2015-10-16,117.86
2015-10-23,121.0
2015-10-30,121.5
2015-11-06,122.51
2015-11-13,118.5
2015-11-20,121.767
2015-11-27,121.68
2015-12-04,122.287
2015-12-11,118.42
2015-12-18,117.84
2015-12-25,120.81
2016-01-01,119.07
2016-01-08,112.4
2016-01-15,109.52
2016-01-22,110.59
2016-01-29,112.56
2016-02-05,109.41
2016-02-12,108.69
2016-02-19,111.97
2016-02-26,113.66
2016-03-04,116.35
2016-03-11,118.03
2016-03-18,119.35
2016-03-25,117.79
2016-04-01,119.83
2016-04-08,118.84
2016-04-15,121.18
2016-04-22,122.05
2016-04-29,120.54
2016-05-06,120.16
2016-05-13,119.7
2016-05-20,119.82
2016-05-27,122.1
2016-06-03,122.17
2016-06-10,122.23
2016-06-17,120.97
2016-06-24,119.13
2016-07-01,122.9
2016-07-08,124.3801
2016-07-15,126.29
2016-07-22,127.16
2016-07-29,127.7315
2016-08-05,128.7099
2016-08-12,129.153
2016-08-19,129.581
2016-08-26,128.42
2016-09-02,129.044
2016-09-09,126.0384
2016-09-16,127.772
2016-09-23,128.7
2016-09-30,128.24
2016-10-07,127.91
2016-10-14,127.4224
2016-10-21,127.54
2016-10-28,126.84
2016-11-04,124.63
2016-11-11,128.61
2016-11-18,129.87
2016-11-25,131.1012
2016-12-02,130.14
2016-12-09,133.49
2016-12-16,134.3
2016-12-23,133.8091
2016-12-30,132.67
2017-01-06,134.76
2017-01-13,134.66
2017-01-20,135.0
2017-01-27,135.93
2017-02-03,136.42
2017-02-10,137.61
2017-02-17,140.19
2017-02-24,141.84
2017-03-03,142.84
2017-03-10,142.84
2017-03-17,142.88
2017-03-24,141.11
2017-03-31,141.85
2017-04-07,141.84
2017-04-14,140.35
2017-04-21,141.42
2017-04-28,142.81
2017-05-05,144.27
2017-05-12,144.0939
2017-05-19,143.63
2017-05-26,145.86
2017-06-02,148.15
2017-06-09,146.79
2017-06-16,147.13
2017-06-23,148.12
2017-06-30,146.37
2017-07-07,146.4
2017-07-14,148.17
2017-07-21,148.49
2017-07-28,147.59
2017-08-04,148.74
2017-08-11,147.7736
2017-08-18,146.93
2017-08-25,147.87
2017-09-01,149.94
2017-09-08,149.29
2017-09-15,151.6
2017-09-22,150.75
2017-09-29,150.69
2017-10-06,152.2
2017-10-13,152.81
2017-10-20,154.46
2017-10-27,154.09
2017-11-03,154.7724
2017-11-10,155.16
2017-11-17,154.06
2017-11-24,155.6265
2017-12-01,158.32
2017-12-08,158.95
2017-12-15,160.26
2017-12-22,159.71
2017-12-29,158.9
2018-01-05,162.55
2018-01-12,165.178
2018-01-19,165.78
2018-01-26,167.9
2018-02-02,161.5
2018-02-09,153.71
2018-02-16,160.54
2018-02-23,160.88
2018-03-02,157.395
2018-03-09,162.39
2018-03-16,160.05
2018-03-23,150.15
2018-03-30,153.31
2018-04-06,151.62
2018-04-13,154.13
2018-04-20,154.05
2018-04-27,153.37
2018-05-04,154.0
2018-05-11,157.43
2018-05-18,157.02
2018-05-25,157.03
2018-06-01,156.69
2018-06-08,159.2
2018-06-15,158.83
2018-06-22,156.71
2018-06-29,153.89
2018-07-06,156.46
2018-07-13,158.21
2018-07-20,158.38
2018-07-27,160.9
2018-08-03,163.49
2018-08-10,162.59
2018-08-17,164.93
2018-08-24,165.66
2018-08-31,167.58
2018-09-07,167.0
2018-09-14,168.42
2018-09-21,169.91
2018-09-28,168.32
2018-10-05,167.89
2018-10-12,161.59
2018-10-19,161.55
2018-10-26,154.98
2018-11-02,157.35
2018-11-09,161.3
2018-11-16,159.15
2018-11-23,152.64
2018-11-30,158.14
2018-12-07,151.24
2018-12-14,148.58
2018-12-21,137.87
2018-12-28,141.2
2019-01-04,142.5253
2019-01-11,146.01
2019-01-18,149.87
2019-01-25,149.4639
2019-02-01,152.86
2019-02-08,153.39
2019-02-15,156.85
2019-02-22,157.6031
2019-03-01,158.68
2019-03-08,155.49
2019-03-15,160.36
2019-03-22,157.83
2019-03-29,160.01
2019-04-05,163.3283
2019-04-12,164.4647
2019-04-19,165.88
2019-04-26,167.1285
2019-05-03,168.39
2019-05-10,164.61
2019-05-17,163.1055
2019-05-24,159.93
2019-05-31,155.49
2019-06-07,163.29
2019-06-14,163.93
2019-06-21,165.5362
2019-06-28,165.1432
2019-07-05,167.0335
2019-07-12,168.33
2019-07-19,166.4
2019-07-26,168.9574
2019-08-02,164.3962
2019-08-09,164.1337
2019-08-16,162.7592
2019-08-23,159.9046
2019-08-30,165.69
2019-09-06,168.23
2019-09-13,170.47
2019-09-20,169.4957
2019-09-27,166.7785
2019-10-04,166.6672
2019-10-11,168.2819
2019-10-18,169.0739
2019-10-25,171.2193
2019-11-01,173.8229
2019-11-08,176.7131
2019-11-15,178.8
2019-11-22,177.5922
2019-11-29,179.38
2019-12-06,179.821
2019-12-13,181.6319
2019-12-20,183.4731
2019-12-27,184.82
2020-01-03,185.38
