date,value
2015-01-02,112.91
2015-01-09,112.4899
2015-01-16,111.12
2015-01-23,114.24
2015-01-30,112.55
2015-02-06,115.25
2015-02-13,118.72
2015-02-20,120.19
2015-02-27,119.95
2015-03-06,119.31
2015-03-13,118.06
2015-03-20,121.98
2015-03-27,118.23
2015-04-03,118.22
2015-04-10,120.316
2015-04-17,118.61
2015-04-24,121.58
2015-05-01,119.7699
2015-05-08,120.0601
2015-05-15,120.861
2015-05-22,121.83
2015-05-29,120.322
2015-06-05,120.11
2015-06-12,119.6477
2015-06-19,120.78
2015-06-26,120.74
2015-07-03,119.74
2015-07-10,120.03
2015-07-17,124.92
2015-07-24,122.56
2015-07-31,123.74
2015-08-07,121.02
2015-08-14,122.01
2015-08-21,114.42
2015-08-28,116.73
2015-09-04,112.74
2015-09-11,115.77
2015-09-18,116.16
2015-09-25,113.6001
2015-10-02,114.72
2015-10-09,117.56
2015-10-16,118.99
2015-10-23,122.02
2015-10-30,123.11
2015-11-06,124.08
2015-11-13,119.47
2015-11-20,124.61
2015-11-27,124.48
2015-12-04,124.3927
2015-12-11,119.58
2015-12-18,118.7
2015-12-25,120.952
2016-01-01,120.29
2016-01-08,112.37
2016-01-15,109.93
2016-01-22,112.52
2016-01-29,112.62
2016-02-05,107.0
2016-02-12,106.38
2016-02-19,109.87
2016-02-26,112.03
2016-03-04,114.47
2016-03-11,115.13
2016-03-18,116.54
2016-03-25,116.19
2016-04-01,119.42
2016-04-08,117.5
2016-04-15,119.38
2016-04-22,118.95
2016-04-29,116.3
2016-05-06,116.53
2016-05-13,116.09
2016-05-20,116.83
2016-05-27,119.69
2016-06-03,119.61
2016-06-10,118.57
2016-06-17,116.56
2016-06-24,114.25
2016-07-01,117.74
2016-07-08,119.93
2016-07-15,121.11
2016-07-22,122.305
2016-07-29,123.15
2016-08-05,123.6
2016-08-12,123.61
2016-08-19,122.86
2016-08-26,122.01
2016-09-02,122.3399
2016-09-09,119.66
2016-09-16,120.55
2016-09-23,122.2919
2016-09-30,121.93
2016-10-07,120.9886
2016-10-14,119.59
2016-10-21,120.9
2016-10-28,118.94
2016-11-04,116.19
2016-11-11,119.15
2016-11-18,119.9
2016-11-25,121.26
2016-12-02,118.87
2016-12-09,122.67
2016-12-16,122.39
2016-12-23,122.37
2016-12-30,121.02
2017-01-06,124.36
2017-01-13,124.99
2017-01-20,124.65
2017-01-27,126.31
2017-02-03,126.03
2017-02-10,128.01
2017-02-17,129.62
2017-02-24,130.27
2017-03-03,131.33
2017-03-10,131.37
2017-03-17,132.07
2017-03-24,130.46
2017-03-31,131.67
2017-04-07,131.44
2017-04-14,130.56
2017-04-21,132.75
2017-04-28,136.32
2017-05-05,137.22
2017-05-12,137.59
2017-05-19,137.4259
2017-05-26,140.41
2017-06-02,142.13
2017-06-09,140.3
2017-06-16,140.4
2017-06-23,141.93
2017-06-30,139.24
2017-07-07,139.53
2017-07-14,142.89
2017-07-21,144.8
2017-07-28,144.66
2017-08-04,144.16
2017-08-11,142.34
2017-08-18,141.96
2017-08-25,142.48
2017-09-01,145.65
2017-09-08,145.21
2017-09-15,146.38
2017-09-22,145.97
