date,value
2015-01-02,85.79
2015-01-09,84.76
2015-01-16,83.1599
2015-01-23,84.549
2015-01-30,81.64
2015-02-06,84.85
2015-02-13,86.2719
2015-02-20,86.3139
2015-02-27,85.94
2015-03-06,84.1103
2015-03-13,83.466
2015-03-20,85.38
2015-03-27,83.004
2015-04-03,83.76
2015-04-10,85.5
2015-04-17,85.34
2015-04-24,86.0848
2015-05-01,86.52
2015-05-08,86.9742
2015-05-15,86.8395
2015-05-22,87.03
2015-05-29,86.7098
2015-06-05,85.71
2015-06-12,86.0714
2015-06-19,86.43
2015-06-26,85.2999
2015-07-03,84.53
2015-07-10,84.358
2015-07-17,85.67
2015-07-24,83.461
2015-07-31,84.43
2015-08-07,83.335
2015-08-14,84.186
2015-08-21,79.6799
2015-08-28,79.5999
2015-09-04,77.398
2015-09-11,78.1501
2015-09-18,77.8699
2015-09-25,77.1
2015-10-02,78.02
2015-10-09,81.46
2015-10-16,82.28
2015-10-23,83.46
2015-10-30,83.17
2015-11-06,83.96
2015-11-13,81.21
2015-11-20,83.52
2015-11-27,83.72
2015-12-04,83.466
2015-12-11,80.319
2015-12-18,80.83
2015-12-25,82.83
2016-01-01,81.76
2016-01-08,77.36
2016-01-15,76.17
2016-01-22,76.8801
2016-01-29,78.9
2016-02-05,77.99
2016-02-12,77.39
2016-02-19,78.9544
2016-02-26,79.79
2016-03-04,82.2755
2016-03-11,83.3107
2016-03-18,84.75
2016-03-25,83.2701
2016-04-01,84.25
2016-04-08,83.29
2016-04-15,84.5969
2016-04-22,85.58
2016-04-29,84.85
2016-05-06,84.4
2016-05-13,84.08
2016-05-20,84.32
2016-05-27,86.11
2016-06-03,86.1301
2016-06-10,86.57
2016-06-17,86.17
2016-06-24,84.51
2016-07-01,87.0
2016-07-08,87.65
2016-07-15,89.17
2016-07-22,89.35
2016-07-29,88.44
2016-08-05,88.7399
2016-08-12,88.82
2016-08-19,89.04
2016-08-26,88.52
2016-09-02,89.469
2016-09-09,87.94
2016-09-16,87.451
2016-09-23,88.63
2016-09-30,88.14
2016-10-07,87.85
2016-10-14,86.9301
2016-10-21,86.63
2016-10-28,86.97
2016-11-04,85.58
2016-11-11,89.69
2016-11-18,90.33
2016-11-25,91.99
2016-12-02,92.12
2016-12-09,95.28
2016-12-16,95.4546
2016-12-23,95.1199
2016-12-30,94.1112
2017-01-06,95.02
2017-01-13,94.42
2017-01-20,94.0523
2017-01-27,94.96
2017-02-03,95.21
2017-02-10,95.623
2017-02-17,97.23
2017-02-24,97.82
2017-03-03,98.83
2017-03-10,97.8949
2017-03-17,97.99
2017-03-24,95.2332
2017-03-31,96.2026
2017-04-07,95.36
2017-04-14,94.1963
2017-04-21,94.2457
2017-04-28,95.0501
2017-05-05,95.46
2017-05-12,94.7067
2017-05-19,94.16
2017-05-26,95.02
2017-06-02,95.14
2017-06-09,96.47
2017-06-16,96.23
2017-06-23,95.8
2017-06-30,95.9956
2017-07-07,95.79
2017-07-14,96.21
2017-07-21,96.28
2017-07-28,97.1
2017-08-04,97.72
2017-08-11,96.1698
2017-08-18,95.61
2017-08-25,96.62
2017-09-01,97.19
2017-09-08,95.96
2017-09-15,98.375
2017-09-22,99.64
2017-09-29,99.61
2017-10-06,100.9597
2017-10-13,100.9222
2017-10-20,101.93
2017-10-27,101.82
2017-11-03,101.7
2017-11-10,100.81
2017-11-17,100.75
2017-11-24,101.4715
2017-12-01,104.21
2017-12-08,104.79
2017-12-15,106.0502
2017-12-22,105.91
2017-12-29,105.59
2018-01-05,107.151
2018-01-12,108.7
2018-01-19,109.91
2018-01-26,112.5701
2018-02-02,107.7
2018-02-09,101.99
2018-02-16,106.05
2018-02-23,105.6
2018-03-02,103.5252
2018-03-09,106.69
2018-03-16,105.86
2018-03-23,98.79
2018-03-30,101.56
2018-04-06,100.18
2018-04-13,102.35
2018-04-20,102.03
2018-04-27,102.1099
2018-05-04,100.47
2018-05-11,103.08
2018-05-18,102.79
2018-05-25,102.7488
2018-06-01,102.7931
2018-06-08,104.6399
2018-06-15,103.74
2018-06-22,102.78
2018-06-29,101.6642
2018-07-06,102.46
2018-07-13,103.42
2018-07-20,103.46
2018-07-27,104.9632
2018-08-03,106.28
2018-08-10,105.659
2018-08-17,107.12
2018-08-24,107.3301
2018-08-31,107.5618
2018-09-07,107.3961
2018-09-14,108.0701
2018-09-21,110.09
2018-09-28,107.372
2018-10-05,108.0499
2018-10-12,103.99
2018-10-19,104.9338
2018-10-26,100.67
2018-11-02,103.4201
2018-11-09,106.21
2018-11-16,105.1
2018-11-23,102.15
2018-11-30,106.46
2018-12-07,101.8442
2018-12-14,100.42
2018-12-21,93.8452
2018-12-28,95.62
2019-01-04,97.98
2019-01-11,99.4455
2019-01-18,101.91
2019-01-25,101.38
2019-02-01,102.9596
2019-02-08,102.24
2019-02-15,105.07
2019-02-22,105.7502
2019-03-01,105.7342
2019-03-08,103.8045
2019-03-15,106.6094
2019-03-22,104.5815
2019-03-29,105.4091
2019-04-05,107.1381
2019-04-12,107.73
2019-04-19,107.5
2019-04-26,107.34
2019-05-03,108.1575
2019-05-10,105.676
2019-05-17,105.3902
2019-05-24,105.1175
2019-05-31,101.4906
2019-06-07,106.2096
2019-06-14,106.94
2019-06-21,107.94
2019-06-28,107.9253
2019-07-05,109.6
2019-07-12,110.19
2019-07-19,109.64
2019-07-26,111.04
2019-08-02,107.5078
2019-08-09,106.4021
2019-08-16,105.3605
2019-08-23,103.79
2019-08-30,106.37
2019-09-06,108.86
2019-09-13,111.5345
2019-09-20,111.2486
2019-09-27,110.09
2019-10-04,109.0722
2019-10-11,109.54
2019-10-18,110.2122
2019-10-25,112.0536
2019-11-01,113.8
2019-11-08,115.1108
2019-11-15,114.8794
2019-11-22,115.0506
2019-11-29,115.5359
2019-12-06,115.9123
2019-12-13,116.6434
2019-12-20,117.3139
2019-12-27,117.5308
2020-01-03,116.9139
