date,value
2015-01-02,147.164
2015-01-09,146.55
2015-01-16,144.602
2015-01-23,147.29
2015-01-30,144.97
2015-02-06,148.98
2015-02-13,152.83
2015-02-20,154.39
2015-02-27,153.24
2015-03-06,151.202
2015-03-13,150.96
2015-03-20,155.25
2015-03-27,152.27
2015-04-03,153.84
2015-04-10,154.55
2015-04-17,152.4999
2015-04-24,154.2999
2015-05-01,153.4
2015-05-08,154.1399
2015-05-15,155.29
2015-05-22,156.7099
2015-05-29,154.99
2015-06-05,154.492
2015-06-12,154.19
2015-06-19,155.82
2015-06-26,153.5
2015-07-03,151.81
2015-07-10,151.36
2015-07-17,152.4
2015-07-24,149.21
2015-07-31,152.17
2015-08-07,150.71
2015-08-14,152.1927
2015-08-21,144.64
2015-08-28,144.75
2015-09-04,140.8
2015-09-11,143.48
2015-09-18,143.2841
2015-09-25,139.0501
2015-10-02,139.622
2015-10-09,145.384
2015-10-16,145.49
2015-10-23,146.42
2015-10-30,147.53
2015-11-06,148.59
2015-11-13,143.08
2015-11-20,147.65
2015-11-27,148.99
2015-12-04,147.74
2015-12-11,141.95
2015-12-18,140.58
2015-12-25,144.47
2016-01-01,143.06
2016-01-08,134.11
2016-01-15,129.85
2016-01-22,131.62
2016-01-29,133.7
2016-02-05,130.14
2016-02-12,128.14
2016-02-19,132.468
2016-02-26,135.96
2016-03-04,140.58
2016-03-11,142.45
2016-03-18,144.66
2016-03-25,142.3801
2016-04-01,145.75
2016-04-08,143.6
2016-04-15,146.33
2016-04-22,147.46
2016-04-29,145.93
2016-05-06,146.02
2016-05-13,145.18
2016-05-20,145.68
2016-05-27,149.25
2016-06-03,150.31
2016-06-10,149.938
2016-06-17,148.35
2016-06-24,145.67
2016-07-01,149.4851
2016-07-08,151.7485
2016-07-15,154.2799
2016-07-22,155.88
2016-07-29,156.66
2016-08-05,156.41
2016-08-12,156.33
2016-08-19,156.41
2016-08-26,155.37
2016-09-02,157.06
2016-09-09,151.57
2016-09-16,151.66
2016-09-23,154.83
2016-09-30,154.4201
2016-10-07,152.18
2016-10-14,150.59
2016-10-21,150.9
2016-10-28,148.34
2016-11-04,146.58
2016-11-11,152.12
2016-11-18,154.73
2016-11-25,157.5102
2016-12-02,155.8
2016-12-09,161.44
2016-12-16,159.03
2016-12-23,158.79
2016-12-30,157.28
2017-01-06,160.03
2017-01-13,160.39
2017-01-20,159.97
2017-01-27,161.98
2017-02-03,162.81
2017-02-10,164.77
2017-02-17,166.86
2017-02-24,167.92
2017-03-03,168.23
2017-03-10,166.65
2017-03-17,168.2
2017-03-24,165.04
2017-03-31,166.61
2017-04-07,166.36
