date,value
2015-01-02,137.7
2015-01-09,136.44
2015-01-16,135.12
2015-01-23,136.96
2015-01-30,134.34
2015-02-06,138.59
2015-02-13,141.02
2015-02-20,141.984
2015-02-27,142.01
2015-03-06,139.576
2015-03-13,141.26
2015-03-20,145.56
2015-03-27,142.25
2015-04-03,143.81
2015-04-10,143.8862
2015-04-17,142.002
2015-04-24,144.129
2015-05-01,141.78
2015-05-08,142.5573
2015-05-15,144.18
2015-05-22,145.33
2015-05-29,144.2702
2015-06-05,144.8886
2015-06-12,145.8
2015-06-19,147.38
2015-06-26,146.09
2015-07-03,143.26
2015-07-10,142.68
2015-07-17,142.69
2015-07-24,138.96
2015-07-31,140.45
2015-08-07,137.83
2015-08-14,138.77
2015-08-21,132.6171
2015-08-28,132.63
2015-09-04,130.0954
2015-09-11,131.7501
2015-09-18,132.44
2015-09-25,128.45
2015-10-02,128.22
2015-10-09,134.067
2015-10-16,133.0561
2015-10-23,133.34
2015-10-30,133.86
2015-11-06,136.406
2015-11-13,130.9404
2015-11-20,134.765
2015-11-27,137.26
2015-12-04,134.72
2015-12-11,128.2501
2015-12-18,127.35
2015-12-25,130.9665
2016-01-01,128.49
2016-01-08,121.416
2016-01-15,115.268
2016-01-22,118.034
2016-01-29,119.944
2016-02-05,117.525
2016-02-12,115.73
2016-02-19,120.32
2016-02-26,124.18
2016-03-04,129.14
2016-03-11,130.1
2016-03-18,132.38
2016-03-25,128.708
2016-04-01,133.115
2016-04-08,130.275
2016-04-15,134.13
2016-04-22,135.51
2016-04-29,133.61
2016-05-06,133.51
2016-05-13,131.433
2016-05-20,131.59
2016-05-27,136.12
2016-06-03,137.515
2016-06-10,136.9
2016-06-17,134.995
2016-06-24,132.43
2016-07-01,135.52
2016-07-08,138.1971
2016-07-15,141.929
2016-07-22,143.1734
2016-07-29,143.892
2016-08-05,144.71
2016-08-12,144.3776
2016-08-19,145.75
2016-08-26,145.84
2016-09-02,147.2224
2016-09-09,142.9619
2016-09-16,142.3
2016-09-23,145.95
2016-09-30,144.73
2016-10-07,143.16
2016-10-14,141.15
2016-10-21,140.44
2016-10-28,139.14
2016-11-04,136.52
2016-11-11,147.11
2016-11-18,151.9692
2016-11-25,155.151
2016-12-02,153.1496
2016-12-09,160.75
2016-12-16,157.71
2016-12-23,157.68
2016-12-30,156.22
2017-01-06,157.35
2017-01-13,157.62
2017-01-20,155.849
2017-01-27,157.94
2017-02-03,158.92
2017-02-10,159.96
2017-02-17,161.12
2017-02-24,161.1104
2017-03-03,160.8653
2017-03-10,157.49
2017-03-17,160.0
2017-03-24,156.09
2017-03-31,159.559
2017-04-07,157.19
2017-04-14,155.7731
2017-04-21,159.07
2017-04-28,161.1
2017-05-05,160.9165
2017-05-12,158.94
2017-05-19,157.78
2017-05-26,158.64
2017-06-02,161.152
2017-06-09,163.39
2017-06-16,161.26
2017-06-23,160.76
2017-06-30,161.5483
2017-07-07,161.0623
2017-07-14,161.91
2017-07-21,162.532
2017-07-28,161.9292
2017-08-04,160.5791
2017-08-11,156.55
2017-08-18,154.83
2017-08-25,156.9988
2017-09-01,159.5442
2017-09-08,157.63
2017-09-15,160.8775
2017-09-22,163.2178
2017-09-29,166.721
2017-10-06,168.26
2017-10-13,168.1212
2017-10-20,168.5444
2017-10-27,167.59
2017-11-03,165.63
2017-11-10,164.77
2017-11-17,166.9192
2017-11-24,169.3013
2017-12-01,171.96
2017-12-08,172.04
2017-12-15,172.76
2017-12-22,174.32
