date,value
2015-01-02,134.1599
2015-01-09,133.48
2015-01-16,132.73
2015-01-23,135.05
2015-01-30,132.84
2015-02-06,137.43
2015-02-13,139.9
2015-02-20,141.74
2015-02-27,141.89
2015-03-06,140.07
2015-03-13,141.08
2015-03-20,145.334
2015-03-27,142.17
2015-04-03,143.682
2015-04-10,146.098
2015-04-17,143.74
2015-04-24,145.42
2015-05-01,140.38
2015-05-08,142.0
2015-05-15,142.87
2015-05-22,144.46
2015-05-29,143.76
2015-06-05,145.61
2015-06-12,145.77
2015-06-19,149.18
2015-06-26,147.757
2015-07-03,143.74
2015-07-10,145.29
2015-07-17,147.6712
2015-07-24,144.4
2015-07-31,146.62
2015-08-07,141.2734
2015-08-14,141.92
2015-08-21,136.3
2015-08-28,136.854
2015-09-04,133.5401
2015-09-11,136.2801
2015-09-18,137.76
2015-09-25,131.2799
2015-10-02,130.69
2015-10-09,136.32
2015-10-16,134.7549
2015-10-23,134.5654
2015-10-30,135.774
2015-11-06,139.903
2015-11-13,135.3599
2015-11-20,137.45
2015-11-27,140.6007
2015-12-04,139.14
2015-12-11,133.3
2015-12-18,132.33
2015-12-25,135.9214
2016-01-01,134.68
2016-01-08,123.8644
2016-01-15,117.04
2016-01-22,118.8734
2016-01-29,117.99
2016-02-05,112.435
2016-02-12,109.2899
2016-02-19,115.42
2016-02-26,119.2841
2016-03-04,125.2
2016-03-11,125.0662
2016-03-18,126.64
2016-03-25,123.4303
2016-04-01,128.4728
2016-04-08,127.59
2016-04-15,130.696
2016-04-22,133.31
2016-04-29,130.52
2016-05-06,127.8214
2016-05-13,127.11
2016-05-20,128.571
2016-05-27,134.05
2016-06-03,136.29
2016-06-10,135.43
2016-06-17,133.9
2016-06-24,130.9926
2016-07-01,134.6725
2016-07-08,137.238
2016-07-15,139.16
2016-07-22,141.36
2016-07-29,142.91
2016-08-05,144.01
2016-08-12,143.4639
2016-08-19,143.45
2016-08-26,143.48
2016-09-02,144.93
2016-09-09,141.77
2016-09-16,142.1988
2016-09-23,144.96
