date,value
2015-01-02,128.38
2015-01-09,125.65
2015-01-16,124.666
2015-01-23,126.295
2015-01-30,124.08
2015-02-06,128.53
2015-02-13,130.092
2015-02-20,130.4725
2015-02-27,130.49
2015-03-06,128.41
2015-03-13,129.25
2015-03-20,132.5701
2015-03-27,129.42
2015-04-03,131.57
2015-04-10,131.676
2015-04-17,130.32
2015-04-24,131.22
2015-05-01,129.0299
2015-05-08,128.95
2015-05-15,129.54
2015-05-22,129.95
2015-05-29,128.915
2015-06-05,128.93
2015-06-12,129.57
2015-06-19,130.47
2015-06-26,129.23
2015-07-03,126.0
2015-07-10,125.7188
2015-07-17,125.574
2015-07-24,121.94
2015-07-31,123.62
2015-08-07,121.5931
2015-08-14,123.22
2015-08-21,118.0
2015-08-28,117.5612
2015-09-04,115.16
2015-09-11,116.02
2015-09-18,116.4352
2015-09-25,113.82
2015-10-02,112.705
2015-10-09,119.53
2015-10-16,118.84
2015-10-23,119.734
2015-10-30,119.3399
2015-11-06,121.7631
2015-11-13,116.75
2015-11-20,120.31
2015-11-27,122.18
2015-12-04,120.2725
2015-12-11,114.3
2015-12-18,113.309
2015-12-25,117.1134
2016-01-01,114.77
2016-01-08,106.47
2016-01-15,102.35
2016-01-22,102.83
2016-01-29,105.82
2016-02-05,104.235
2016-02-12,101.65
2016-02-19,104.9
2016-02-26,108.42
2016-03-04,115.5543
2016-03-11,117.08
2016-03-18,119.2
2016-03-25,116.48
2016-04-01,119.12
2016-04-08,116.39
2016-04-15,120.76
2016-04-22,122.7
2016-04-29,122.29
2016-05-06,120.21
2016-05-13,118.65
2016-05-20,119.275
2016-05-27,122.2698
2016-06-03,123.77
2016-06-10,124.77
2016-06-17,123.24
2016-06-24,120.087
2016-07-01,122.36
2016-07-08,123.0052
2016-07-15,126.31
2016-07-22,126.81
2016-07-29,127.38
2016-08-05,128.33
2016-08-12,128.1384
2016-08-19,129.68
2016-08-26,129.11
2016-09-02,130.458
2016-09-09,127.135
2016-09-16,126.2701
2016-09-23,129.4894
2016-09-30,130.4907
2016-10-07,128.6872
2016-10-14,127.0895
2016-10-21,127.9499
2016-10-28,125.5143
2016-11-04,123.2856
2016-11-11,133.14
2016-11-18,137.4149
2016-11-25,140.96
2016-12-02,140.87
2016-12-09,147.8
2016-12-16,144.5
2016-12-23,144.28
2016-12-30,142.8
2017-01-06,145.27
2017-01-13,144.6597
2017-01-20,143.8
2017-01-27,145.3401
2017-02-03,146.03
2017-02-10,147.24
2017-02-17,147.57
2017-02-24,147.34
2017-03-03,147.23
2017-03-10,143.25
2017-03-17,145.63
2017-03-24,140.34
2017-03-31,144.19
2017-04-07,142.9875
2017-04-14,140.56
2017-04-21,143.93
2017-04-28,143.63
2017-05-05,142.4416
2017-05-12,139.26
2017-05-19,138.77
2017-05-26,138.68
2017-06-02,140.09
2017-06-09,142.09
2017-06-16,140.85
2017-06-23,139.42
2017-06-30,140.938
2017-07-07,140.04
2017-07-14,142.2797
2017-07-21,142.71
2017-07-28,142.3283
2017-08-04,141.3269
2017-08-11,137.34
2017-08-18,135.5364
2017-08-25,137.4404
2017-09-01,140.0
2017-09-08,138.1
2017-09-15,141.97
2017-09-22,143.9
2017-09-29,146.63
2017-10-06,147.66
2017-10-13,147.79
2017-10-20,148.08
2017-10-27,147.22
2017-11-03,145.64
2017-11-10,144.27
2017-11-17,145.2301
2017-11-24,146.9602
2017-12-01,150.7055
2017-12-08,150.79
2017-12-15,150.13
2017-12-22,151.7803
2017-12-29,152.259
2018-01-05,153.3395
2018-01-12,156.25
2018-01-19,155.97
2018-01-26,156.87
2018-02-02,149.82
2018-02-09,140.5036
2018-02-16,147.3495
2018-02-23,146.6002
2018-03-02,143.8878
2018-03-09,148.69
2018-03-16,148.14
2018-03-23,140.19
2018-03-30,143.03
2018-04-06,141.7799
2018-04-13,144.289
2018-04-20,145.31
2018-04-27,145.5573
2018-05-04,145.3
2018-05-11,148.21
2018-05-18,150.5557
2018-05-25,150.854
2018-06-01,152.7346
2018-06-08,155.4864
2018-06-15,154.37
2018-06-22,155.6048
2018-06-29,152.4679
2018-07-06,155.0298
2018-07-13,154.43
2018-07-20,154.55
2018-07-27,153.5
2018-08-03,155.3951
2018-08-10,155.5812
2018-08-17,156.5811
2018-08-24,158.5959
2018-08-31,157.7299
2018-09-07,155.961
2018-09-14,157.1401
2018-09-21,157.41
2018-09-28,153.741
2018-10-05,150.36
2018-10-12,143.02
2018-10-19,142.8715
2018-10-26,137.2408
2018-11-02,141.4352
2018-11-09,143.47
2018-11-16,141.38
2018-11-23,137.56
2018-11-30,142.0
2018-12-07,135.3525
2018-12-14,130.43
2018-12-21,120.0198
2018-12-28,122.5666
2019-01-04,127.1076
2019-01-11,132.9473
2019-01-18,137.0809
2019-01-25,137.2
2019-02-01,139.0936
2019-02-08,138.82
2019-02-15,143.1283
2019-02-22,144.9523
2019-03-01,143.8764
2019-03-08,138.17
2019-03-15,139.97
2019-03-22,134.8881
2019-03-29,137.88
2019-04-05,142.9985
2019-04-12,144.11
2019-04-19,142.83
2019-04-26,143.2294
2019-05-03,144.0242
2019-05-10,140.4079
2019-05-17,137.4614
2019-05-24,134.17
2019-05-31,129.765
2019-06-07,134.45
2019-06-14,134.69
2019-06-21,135.25
2019-06-28,137.06
2019-07-05,138.051
2019-07-12,137.0484
2019-07-19,135.27
2019-07-26,138.1612
2019-08-02,132.4397
2019-08-09,129.6052
2019-08-16,127.2446
2019-08-23,124.4296
2019-08-30,127.91
2019-09-06,130.4239
2019-09-13,137.8271
2019-09-20,135.1895
2019-09-27,133.13
2019-10-04,130.661
2019-10-11,132.04
2019-10-18,134.0339
2019-10-25,136.4039
2019-11-01,138.42
2019-11-08,140.4126
2019-11-15,139.4876
2019-11-22,138.3811
2019-11-29,140.08
2019-12-06,141.4262
2019-12-13,142.2809
2019-12-20,144.2005
2019-12-27,143.5142
2020-01-03,142.6752
