date,value
2015-01-02,36.15
2015-01-09,36.6
2015-01-16,35.08
2015-01-23,34.6
2015-01-30,35.21
2015-02-06,33.13
2015-02-13,34.86
2015-02-20,33.77
2015-02-27,35.5
2015-03-06,35.25
2015-03-13,33.19
2015-03-20,32.9
2015-03-27,31.59
2015-04-03,33.9
2015-04-10,33.88
2015-04-17,35.52
2015-04-24,36.02
2015-05-01,36.51
2015-05-08,34.81
2015-05-15,31.5
2015-05-22,32.39
2015-05-29,31.04
2015-06-05,31.93
2015-06-12,35.15
2015-06-19,33.88
2015-06-26,33.24
2015-07-03,33.85
2015-07-10,33.75
2015-07-17,34.57
2015-07-24,31.96
2015-07-31,30.56
2015-08-07,30.46
2015-08-14,28.64
2015-08-21,25.35
2015-08-28,26.97
2015-09-04,25.67
2015-09-11,27.1
2015-09-18,25.84
2015-09-25,26.33
2015-10-02,28.41
2015-10-09,30.09
2015-10-16,32.06
2015-10-23,33.57
2015-10-30,33.81
2015-11-06,34.79
2015-11-13,32.08
2015-11-20,31.81
2015-11-27,31.29
2015-12-04,29.57
2015-12-11,28.66
2015-12-18,30.15
2015-12-25,31.08
2016-01-01,29.46
2016-01-08,27.41
2016-01-15,25.96
2016-01-22,26.49
2016-01-29,27.83
2016-02-05,27.53
2016-02-12,27.92
2016-02-19,29.14
2016-02-26,27.33
2016-03-04,31.84
2016-03-11,30.56
2016-03-18,30.84
2016-03-25,30.53
2016-04-01,30.99
2016-04-08,30.19
2016-04-15,32.22
2016-04-22,31.7
2016-04-29,29.8
2016-05-06,29.5
2016-05-13,28.2
2016-05-20,28.86
2016-05-27,30.65
2016-06-03,29.94
2016-06-10,28.65
2016-06-17,29.25
2016-06-24,29.3
2016-07-01,29.59
2016-07-08,31.27
2016-07-15,32.21
2016-07-22,30.95
2016-07-29,31.82
2016-08-05,33.6
2016-08-12,32.63
2016-08-19,33.37
2016-08-26,33.36
2016-09-02,33.33
2016-09-09,32.91
2016-09-16,33.55
2016-09-23,34.84
2016-09-30,33.38
2016-10-07,32.46
2016-10-14,32.19
2016-10-21,32.6
2016-10-28,33.51
2016-11-04,33.68
2016-11-11,32.75
2016-11-18,34.17
2016-11-25,35.05
2016-12-02,35.34
2016-12-09,34.49
2016-12-16,32.99
2016-12-23,33.17
2016-12-30,33.8
2017-01-06,33.95
2017-01-13,35.19
2017-01-20,35.05
2017-01-27,35.13
2017-02-03,35.78
2017-02-10,35.65
2017-02-17,35.79
2017-02-24,36.04
2017-03-03,35.6
2017-03-10,35.5
2017-03-17,37.17
2017-03-24,36.88
2017-03-31,36.66
2017-04-07,38.96
2017-04-14,40.52
2017-04-21,39.75
2017-04-28,40.99
2017-05-05,42.5
2017-05-12,43.56
2017-05-19,43.76
2017-05-26,43.59
2017-06-02,44.12
2017-06-09,43.89
2017-06-16,43.67
2017-06-23,46.35
2017-06-30,44.73
2017-07-07,45.31
2017-07-14,47.31
2017-07-21,48.12
2017-07-28,48.16
2017-08-04,55.39
2017-08-11,55.63
2017-08-18,56.68
2017-08-25,58.06
2017-09-01,59.92
2017-09-08,58.99
2017-09-15,58.66
2017-09-22,61.75
2017-09-29,60.61
2017-10-06,60.86
2017-10-13,64.76
2017-10-20,62.05
2017-10-27,62.29
2017-11-03,61.23
2017-11-10,63.8
2017-11-17,62.57
2017-11-24,61.95
2017-12-01,56.9
2017-12-08,58.01
2017-12-15,59.76
2017-12-22,61.25
2017-12-29,60.85
2018-01-05,62.51
2018-01-12,65.64
2018-01-19,67.0
2018-01-26,69.12
2018-02-02,69.03
2018-02-09,66.28
2018-02-16,67.85
2018-02-23,69.57
2018-03-02,76.39
2018-03-09,83.71
2018-03-16,83.72
2018-03-23,85.44
2018-03-30,86.04
2018-04-06,87.39
2018-04-13,91.27
2018-04-20,89.27
2018-04-27,81.34
2018-05-04,93.76
2018-05-11,97.85
2018-05-18,102.63
2018-05-25,105.78
2018-06-01,109.76
2018-06-08,110.21
2018-06-15,107.1
2018-06-22,105.06
2018-06-29,97.64
2018-07-06,97.98
